"count","category","result.taxonid","result.scientific_name","result.subspecies","result.rank","result.subpopulation"
14661,"DD",167005,"Abbottina binhi",NA,NA,NA
14661,"DD",42641,"Abditomys latidens",NA,NA,NA
14661,"DD",46521889,"Abies balsamea var. phanerolepis","phanerolepis","var.",NA
14661,"DD",191564,"Abies homolepis var. umbellata","umbellata","var.",NA
14661,"DD",34129,"Abies sachalinensis var. gracilis","gracilis","var.",NA
14661,"DD",191572,"Abies sachalinensis var. nemorensis","nemorensis","var.",NA
14661,"DD",47756038,"Ablepharus darvazi",NA,NA,NA
14661,"DD",183435,"Aboma etheostoma",NA,NA,NA
14661,"DD",163038,"Abralia armata",NA,NA,NA
14661,"DD",163037,"Abralia astrolineata",NA,NA,NA
14661,"DD",163352,"Abralia dubia",NA,NA,NA
14661,"DD",163325,"Abralia fasciolata",NA,NA,NA
14661,"DD",163030,"Abralia grimpei",NA,NA,NA
14661,"DD",162984,"Abralia heminuchalis",NA,NA,NA
14661,"DD",163231,"Abralia marisarabica",NA,NA,NA
14661,"DD",163142,"Abralia multihamata",NA,NA,NA
14661,"DD",176067,"Abralia omiae",NA,NA,NA
14661,"DD",163134,"Abralia renschi",NA,NA,NA
14661,"DD",163024,"Abralia robsoni",NA,NA,NA
14661,"DD",163157,"Abralia siedleckyi",NA,NA,NA
14661,"DD",162922,"Abralia spaercki",NA,NA,NA
14661,"DD",163316,"Abraliopsis atlantica",NA,NA,NA
14661,"DD",162951,"Abraliopsis chuni",NA,NA,NA
14661,"DD",163063,"Abraliopsis hoylei",NA,NA,NA
14661,"DD",162982,"Abraliopsis tui",NA,NA,NA
14661,"DD",136334,"Abrocoma budini",NA,NA,NA
14661,"DD",136367,"Abrocoma famatina",NA,NA,NA
14661,"DD",136302,"Abrocoma uspallata",NA,NA,NA
14661,"DD",136546,"Abrocoma vaccarum",NA,NA,NA
14661,"DD",63674,"Abronia bogerti",NA,NA,NA
14661,"DD",63679,"Abronia leurolepis",NA,NA,NA
14661,"DD",63683,"Abronia mitchelli",NA,NA,NA
14661,"DD",63686,"Abronia ochoterenai",NA,NA,NA
14661,"DD",63687,"Abronia ornelasi",NA,NA,NA
14661,"DD",63688,"Abronia ramirezi",NA,NA,NA
14661,"DD",63689,"Abronia reidi",NA,NA,NA
14661,"DD",19891683,"Abrus fruticulosus",NA,NA,NA
14661,"DD",188621,"Abudefduf hoefleri",NA,NA,NA
14661,"DD",188368,"Abudefduf margariteus",NA,NA,NA
14661,"DD",60469170,"Abyssoberyx levisquamosus",NA,NA,NA
14661,"DD",19891442,"Acacia donaldii",NA,NA,NA
14661,"DD",19892591,"Acacia hirta",NA,NA,NA
14661,"DD",34514,"Acacia schlechteri",NA,NA,NA
14661,"DD",159075,"Acanthagrion hartei",NA,NA,NA
14661,"DD",169606,"Acanthalburnus urmianus",NA,NA,NA
14661,"DD",158881,"Acanthallagma luteum",NA,NA,NA
14661,"DD",158936,"Acanthallagma strohmi",NA,NA,NA
14661,"DD",185010,"Acantharctus delfini",NA,NA,NA
14661,"DD",185059,"Acantharctus posteli",NA,NA,NA
14661,"DD",47141354,"Acanthemblemaria harpeza",NA,NA,NA
14661,"DD",47141712,"Acanthemblemaria paula",NA,NA,NA
14661,"DD",59,"Acanthinula spinifera",NA,NA,NA
14661,"DD",154987,"Acanthistius brasilianus",NA,NA,NA
14661,"DD",13151858,"Acanthodactylus boueti",NA,NA,NA
14661,"DD",199609,"Acanthodactylus gongrorhynchatus",NA,NA,NA
14661,"DD",199608,"Acanthodactylus masirae",NA,NA,NA
14661,"DD",29483,"Acanthodactylus nilsoni",NA,NA,NA
14661,"DD",197432,"Acanthodactylus taghitensis",NA,NA,NA
14661,"DD",78788172,"Acanthoderus spinosus",NA,NA,NA
14661,"DD",103167203,"Acanthodrilus ravus",NA,NA,NA
14661,"DD",199862,"Acantholimon gabrieljaniae",NA,NA,NA
14661,"DD",199863,"Acantholimon vedicum",NA,NA,NA
14661,"DD",170230,"Acanthopagrus akazakii",NA,NA,NA
14661,"DD",47136868,"Acanthopagrus catenula",NA,NA,NA
14661,"DD",170263,"Acanthopagrus latus",NA,NA,NA
14661,"DD",170217,"Acanthopagrus longispinnis",NA,NA,NA
14661,"DD",170228,"Acanthopagrus omanensis",NA,NA,NA
14661,"DD",170188,"Acanthopagrus randalli",NA,NA,NA
14661,"DD",170235,"Acanthopagrus taiwanensis",NA,NA,NA
14661,"DD",134781,"Acanthopotamon fungosum",NA,NA,NA
14661,"DD",134527,"Acanthopotamon panningi",NA,NA,NA
14661,"DD",193768,"Acanthostracion notacanthus",NA,NA,NA
14661,"DD",177984,"Acanthurus polyzona",NA,NA,NA
