"name","result.year","result.code","result.category"
"Ameca splendens","1996","EW","Extinct in the Wild"
"Ameca splendens","1994","E","Endangered"
"Ameca splendens","1990","E","Endangered"
"Anaxyrus baxteri","2004","EW","Extinct in the Wild"
"Aylacostoma chloroticum","2000","EW","Extinct in the Wild"
"Aylacostoma guaraniticum","2000","EW","Extinct in the Wild"
"Aylacostoma stigmaticum","2000","EW","Extinct in the Wild"
"Betula szaferi","1998","EW","Extinct in the Wild"
"Bromus interruptus","1998","EX","Extinct"
"Brugmansia arborea","2014","EW","Extinct in the Wild"
"Brugmansia aurea","2014","EW","Extinct in the Wild"
"Brugmansia aurea","1998","VU","Vulnerable"
"Brugmansia insignis","2014","EW","Extinct in the Wild"
"Brugmansia sanguinea","2014","EW","Extinct in the Wild"
"Brugmansia suaveolens","2014","EW","Extinct in the Wild"
"Brugmansia versicolor","2014","EW","Extinct in the Wild"
"Brugmansia versicolor","2004","NT","Near Threatened"
"Brugmansia versicolor","1998","VU","Vulnerable"
"Brugmansia vulcanicola","2014","EW","Extinct in the Wild"
"Corvus hawaiiensis","2016","EW","Extinct in the Wild"
"Corvus hawaiiensis","2013","EW","Extinct in the Wild"
"Corvus hawaiiensis","2012","EW","Extinct in the Wild"
"Corvus hawaiiensis","2010","EW","Extinct in the Wild"
"Corvus hawaiiensis","2008","EW","Extinct in the Wild"
"Corvus hawaiiensis","2004","EW","Extinct in the Wild"
"Corvus hawaiiensis","2000","CR","Critically Endangered"
"Corvus hawaiiensis","1996","CR","Critically Endangered"
"Corvus hawaiiensis","1994","CR","Critically Endangered"
"Corvus hawaiiensis","1988","T","Threatened"
"Corypha taliera","1998","EW","Extinct in the Wild"
"Cryosophila williamsii","1998","EW","Extinct in the Wild"
"Cryosophila williamsii","1998","V","Vulnerable"
"Cryptoblepharus egeriae","2017","EW","Extinct in the Wild"
"Cyanea pinnatifida","2003","EW","Extinct in the Wild"
"Cyanea superba","2003","EW","Extinct in the Wild"
"Cyanea superba","1998","CR","Critically Endangered"
"Cyprinodon alvarezi","1996","EW","Extinct in the Wild"
"Cyprinodon alvarezi","1994","V","Vulnerable"
"Cyprinodon alvarezi","1990","E","Endangered"
"Cyprinodon alvarezi","1988","E","Endangered"
"Cyprinodon alvarezi","1986","E","Endangered"
"Cyprinodon longidorsalis","1996","EW","Extinct in the Wild"
"Cyrtandra waiolani","2003","EW","Extinct in the Wild"
"Diplazium laffanianum","2014","EW","Extinct in the Wild"
"Diplazium laffanianum","1998","Ex","Extinct"
"Elaphurus davidianus","2016","EW","Extinct in the Wild"
"Elaphurus davidianus","2008","EW","Extinct in the Wild"
"Elaphurus davidianus","1996","CR","Critically Endangered"
"Elaphurus davidianus","1994","E","Endangered"
"Elaphurus davidianus","1990","E","Endangered"
"Elaphurus davidianus","1965",NA,"""Very rare but believed to be stable or increasing"""
"Encephalartos brevifoliolatus","2010","EW","Extinct in the Wild"
"Encephalartos brevifoliolatus","2006","EW","Extinct in the Wild"
"Encephalartos brevifoliolatus","2003","CR","Critically Endangered"
"Encephalartos brevifoliolatus","1998","E","Endangered"
"Encephalartos nubimontanus","2010","EW","Extinct in the Wild"
"Encephalartos nubimontanus","2006","EW","Extinct in the Wild"
"Encephalartos nubimontanus","2003","CR","Critically Endangered"
"Encephalartos nubimontanus","1998","E","Endangered"
"Encephalartos relictus","2010","EW","Extinct in the Wild"
"Encephalartos relictus","2003","EW","Extinct in the Wild"
"Encephalartos woodii","2010","EW","Extinct in the Wild"
"Encephalartos woodii","2003","EW","Extinct in the Wild"
"Encephalartos woodii","1998","EX","Extinct"
"Erythroxylum echinodendron","1998","E","Endangered"
"Erythroxylum echinodendron","1998","EW","Extinct in the Wild"
"Euphorbia mayurnathanii","1998","EW","Extinct in the Wild"
"Firmiana major","1998","EW","Extinct in the Wild"
"Firmiana major","1998","R","Rare"
"Franklinia alatamaha","2015","EW","Extinct in the Wild"
"Franklinia alatamaha","1998","E","Endangered"
"Franklinia alatamaha","1998","EW","Extinct in the Wild"
"Franklinia alatamaha","1978","Ex","Extinct"
"Hypotaenidia owstoni","2016","EW","Extinct in the Wild"
"Hypotaenidia owstoni","2012","EW","Extinct in the Wild"
"Hypotaenidia owstoni","2010","EW","Extinct in the Wild"
"Hypotaenidia owstoni","2008","EW","Extinct in the Wild"
"Hypotaenidia owstoni","2004","EW","Extinct in the Wild"
"Hypotaenidia owstoni","2000","EW","Extinct in the Wild"
"Hypotaenidia owstoni","1996","EW","Extinct in the Wild"
"Hypotaenidia owstoni","1994","EW","Extinct in the Wild"
"Hypotaenidia owstoni","1988","T","Threatened"
"Kokia cookei","1998","E","Endangered"
"Kokia cookei","1998","EW","Extinct in the Wild"
"Lachanodes arborea","2016","EW","Extinct in the Wild"
"Lachanodes arborea","2003","CR","Critically Endangered"
"Lachanodes arborea","1998","VU","Vulnerable"
"Lepidodactylus listeri","2017","EW","Extinct in the Wild"
"Lepidodactylus listeri","1996","VU","Vulnerable"
"Lepidodactylus listeri","1994","V","Vulnerable"
"Leptogryllus deceptor","1996","EW","Extinct in the Wild"
"Leptogryllus deceptor","1994","I","Indeterminate"
"Leptogryllus deceptor","1990","I","Indeterminate"
"Leptogryllus deceptor","1988","I","Indeterminate"
"Leptogryllus deceptor","1986","I","Indeterminate"
"Lysimachia minoricensis","2006","EW","Extinct in the Wild"
"Lysimachia minoricensis","1998","E","Endangered"
"Mangifera casturi","2016","EW","Extinct in the Wild"
"Mangifera casturi","1998","EW","Extinct in the Wild"
"Mangifera rubropetala","1998","EW","Extinct in the Wild"
"Megupsilon aporus","1996","EW","Extinct in the Wild"
