"count","category","result.taxonid","result.scientific_name","result.subspecies","result.rank","result.subpopulation"
902,"EX",44072,"Acaena exigua",NA,NA,NA
902,"EX",195373,"Acalypha dikuluwensis",NA,NA,NA
902,"EX",37854,"Acalypha rubrinervis",NA,NA,NA
902,"EX",199821,"Acalypha wilderi",NA,NA,NA
902,"EX",82,"Acanthametropus pecatonica",NA,NA,NA
902,"EX",167,"Achatinella abbreviata",NA,NA,NA
902,"EX",211,"Achatinella apexfulva ssp. vittata","vittata","ssp.",NA
902,"EX",170,"Achatinella buddii",NA,NA,NA
902,"EX",210,"Achatinella bulimoides ssp. rosea","rosea","ssp.",NA
902,"EX",173,"Achatinella caesia",NA,NA,NA
902,"EX",174,"Achatinella casta",NA,NA,NA
902,"EX",179,"Achatinella decora",NA,NA,NA
902,"EX",180,"Achatinella dimorpha",NA,NA,NA
902,"EX",181,"Achatinella elegans",NA,NA,NA
902,"EX",184,"Achatinella juddii",NA,NA,NA
902,"EX",185,"Achatinella juncea",NA,NA,NA
902,"EX",186,"Achatinella lehuiensis",NA,NA,NA
902,"EX",189,"Achatinella livida",NA,NA,NA
902,"EX",192,"Achatinella papyracea",NA,NA,NA
902,"EX",198,"Achatinella spaldingi",NA,NA,NA
902,"EX",202,"Achatinella thaanumi",NA,NA,NA
902,"EX",204,"Achatinella valida",NA,NA,NA
902,"EX",44074,"Achyranthes atollensis",NA,NA,NA
902,"EX",251,"Acipenser nudiventris Aral Sea stock",NA,NA,"Aral Sea stock"
902,"EX",103780156,"Acrocephalus astrolabii",NA,NA,NA
902,"EX",103780078,"Acrocephalus luscinius",NA,NA,NA
902,"EX",22735592,"Acrocephalus musae",NA,NA,NA
902,"EX",103780109,"Acrocephalus nijoi",NA,NA,NA
902,"EX",103780103,"Acrocephalus yamashinae",NA,NA,NA
902,"EX",46603,"Adiantum lianxianense",NA,NA,NA
902,"EX",524,"Advena campbelli",NA,NA,NA
902,"EX",62184893,"Aegolius gradyi",NA,NA,NA
902,"EX",611,"Afrocyclops pauliani",NA,NA,NA
902,"EX",704,"Agrotis crinigera",NA,NA,NA
902,"EX",705,"Agrotis fasciata",NA,NA,NA
902,"EX",706,"Agrotis kerri",NA,NA,NA
902,"EX",707,"Agrotis laysanensis",NA,NA,NA
902,"EX",708,"Agrotis photophila",NA,NA,NA
902,"EX",709,"Agrotis procellaris",NA,NA,NA
902,"EX",103823212,"Akialoa ellisiana",NA,NA,NA
902,"EX",103823431,"Akialoa lanaiensis",NA,NA,NA
902,"EX",22728910,"Akialoa obscura",NA,NA,NA
902,"EX",103823250,"Akialoa stejnegeri",NA,NA,NA
902,"EX",780,"Alasmidonta mccordi",NA,NA,NA
902,"EX",777,"Alasmidonta robusta",NA,NA,NA
902,"EX",778,"Alasmidonta wrightiana",NA,NA,NA
902,"EX",787,"Alburnus akili",NA,NA,NA
902,"EX",19018670,"Alburnus nicaeensis",NA,NA,NA
902,"EX",813,"Alcelaphus buselaphus ssp. buselaphus","buselaphus","ssp.",NA
902,"EX",22691601,"Alectroenas nitidissimus",NA,NA,NA
902,"EX",62759683,"Alectroenas payandeei",NA,NA,NA
902,"EX",44579175,"Alinea luciae",NA,NA,NA
902,"EX",879,"Alloperla roberti",NA,NA,NA
902,"EX",22691052,"Alopecoenas ferrugineus",NA,NA,NA
902,"EX",22691056,"Alopecoenas salamonis",NA,NA,NA
902,"EX",22729490,"Alopochen kervazoi",NA,NA,NA
902,"EX",22728658,"Alopochen mauritiana",NA,NA,NA
902,"EX",989,"Amastra albolabris",NA,NA,NA
902,"EX",990,"Amastra cornea",NA,NA,NA
902,"EX",991,"Amastra crassilabrum",NA,NA,NA
902,"EX",992,"Amastra elongata",NA,NA,NA
902,"EX",993,"Amastra forbesi",NA,NA,NA
902,"EX",994,"Amastra pellucida",NA,NA,NA
902,"EX",995,"Amastra porcus",NA,NA,NA
902,"EX",996,"Amastra reticulata",NA,NA,NA
902,"EX",997,"Amastra subrostrata",NA,NA,NA
902,"EX",998,"Amastra subsoror",NA,NA,NA
902,"EX",999,"Amastra tenuispira",NA,NA,NA
902,"EX",1000,"Amastra umbilicata",NA,NA,NA
902,"EX",22728705,"Amazona martinicana",NA,NA,NA
902,"EX",22728701,"Amazona violacea",NA,NA,NA
902,"EX",1164,"Amphicyclotulus guadeloupensis",NA,NA,NA
902,"EX",1168,"Amphigyra alabamensis",NA,NA,NA
902,"EX",166049,"Anabarilius macrolepis",NA,NA,NA
902,"EX",22728666,"Anas marecula",NA,NA,NA
902,"EX",22728662,"Anas theodori",NA,NA,NA
902,"EX",22728814,"Anthornis melanocephala",NA,NA,NA
902,"EX",22728884,"Aphanapteryx bonasia",NA,NA,NA
902,"EX",1848,"Aphanius splendens",NA,NA,NA
902,"EX",61225,"Aplocheilichthys sp. nov. 'Naivasha'",NA,NA,NA
902,"EX",22710496,"Aplonis corvina",NA,NA,NA
902,"EX",22710511,"Aplonis fusca",NA,NA,NA
902,"EX",22710499,"Aplonis mavornata",NA,NA,NA
902,"EX",22734867,"Aplonis ulietensis",NA,NA,NA
902,"EX",22724513,"Ara tricolor",NA,NA,NA
902,"EX",18290783,"Argocoffeopsis lemblinii",NA,NA,NA
902,"EX",2100,"Argyresthia castaneela",NA,NA,NA
902,"EX",44078,"Argyroxiphium virescens",NA,NA,NA
902,"EX",61652,"Astragalus nitidiflorus",NA,NA,NA
902,"EX",54518,"Atelopus ignescens",NA,NA,NA
902,"EX",54522,"Atelopus longirostris",NA,NA,NA
902,"EX",54561,"Atelopus vogli",NA,NA,NA
902,"EX",11768,"Athearnia crassa",NA,NA,NA
902,"EX",22728754,"Atlantisia podarces",NA,NA,NA
902,"EX",2411,"Auriculella expansa",NA,NA,NA
902,"EX",2412,"Auriculella uniplicata",NA,NA,NA
902,"EX",61247,"Barbus microbarbis",NA,NA,NA
902,"EX",195376,"Basananthe cupricola",NA,NA,NA
902,"EX",63545,"Begonia eiromischa",NA,NA,NA
902,"EX",2733,"Belgrandiella intermedia",NA,NA,NA
902,"EX",62183030,"Bermuteo avivorus",NA,NA,NA
902,"EX",71510353,"Bettongia anhydra",NA,NA,NA
902,"EX",136805,"Bettongia pusilla",NA,NA,NA
902,"EX",39087,"Blutaparon rigidum",NA,NA,NA
902,"EX",2864,"Bolyeria multocarinata",NA,NA,NA
902,"EX",2885,"Boromys offella",NA,NA,NA
902,"EX",2886,"Boromys torrei",NA,NA,NA
902,"EX",136721,"Bos primigenius",NA,NA,NA
902,"EX",3121,"Brotomys voratus",NA,NA,NA
902,"EX",22728804,"Bulweria bifax",NA,NA,NA
902,"EX",155997,"Bythinella gibbosa",NA,NA,NA
902,"EX",184739,"Bythinella limnopsis",NA,NA,NA
902,"EX",184511,"Bythinella mauritanica",NA,NA,NA
902,"EX",184705,"Bythinella microcochlia",NA,NA,NA
902,"EX",184553,"Bythinella punica",NA,NA,NA
902,"EX",32226,"Byttneria ivorensis",NA,NA,NA
902,"EX",22728873,"Cabalus modestus",NA,NA,NA
902,"EX",3523,"Caldwellia philyrina",NA,NA,NA
902,"EX",22734732,"Caloenas maculata",NA,NA,NA
902,"EX",3626,"Caloprymnus campestris",NA,NA,NA
902,"EX",153825,"Cambarellus alvarezi",NA,NA,NA
902,"EX",153621,"Cambarellus chihuahuae",NA,NA,NA
902,"EX",3714,"Campolaemus perexilis",NA,NA,NA
902,"EX",35330,"Campomanesia lundiana",NA,NA,NA
902,"EX",3719,"Campsicnemus mirabilis",NA,NA,NA
902,"EX",22680418,"Camptorhynchus labradorius",NA,NA,NA
902,"EX",22728892,"Caracara lutosa",NA,NA,NA
902,"EX",3875,"Carelia anceophila",NA,NA,NA
902,"EX",3876,"Carelia bicolor",NA,NA,NA
902,"EX",3877,"Carelia cochlea",NA,NA,NA
902,"EX",3878,"Carelia cumingiana",NA,NA,NA
902,"EX",3879,"Carelia dolei",NA,NA,NA
902,"EX",3880,"Carelia evelynae",NA,NA,NA
902,"EX",3881,"Carelia glossema",NA,NA,NA
902,"EX",3882,"Carelia hyattiana",NA,NA,NA
902,"EX",3883,"Carelia kalalauensis",NA,NA,NA
902,"EX",3884,"Carelia knudseni",NA,NA,NA
902,"EX",3885,"Carelia lirata",NA,NA,NA
902,"EX",3886,"Carelia lymani",NA,NA,NA
902,"EX",3887,"Carelia mirabilis",NA,NA,NA
902,"EX",3888,"Carelia necra",NA,NA,NA
902,"EX",3889,"Carelia olivacea",NA,NA,NA
