"count","category","result.taxonid","result.scientific_name","result.subspecies","result.rank","result.subpopulation"
5892,"CR",3,"Aaadonta angaurana",NA,NA,NA
5892,"CR",198783,"Aaadonta constricta ssp. babelthuapi","babelthuapi","ssp.",NA
5892,"CR",198784,"Aaadonta constricta ssp. constricta","constricta","ssp.",NA
5892,"CR",198785,"Aaadonta constricta ssp. komakanensis","komakanensis","ssp.",NA
5892,"CR",198786,"Aaadonta fuscozonata ssp. depressa","depressa","ssp.",NA
5892,"CR",198787,"Aaadonta fuscozonata ssp. fuscozonata","fuscozonata","ssp.",NA
5892,"CR",6,"Aaadonta irregularis",NA,NA,NA
5892,"CR",7,"Aaadonta kinlochi",NA,NA,NA
5892,"CR",8,"Aaadonta pelewana",NA,NA,NA
5892,"CR",9,"Aaptosyax grypus",NA,NA,NA
5892,"CR",32318,"Abies beshanzuensis",NA,NA,NA
5892,"CR",44724,"Abies delavayi ssp. fansipanensis","fansipanensis","ssp.",NA
5892,"CR",30478,"Abies nebrodensis",NA,NA,NA
5892,"CR",30320,"Abies numidica",NA,NA,NA
5892,"CR",32319,"Abies yuanbaoshanensis",NA,NA,NA
5892,"CR",18,"Abrocoma boliviensis",NA,NA,NA
5892,"CR",203014,"Abronia campbelli",NA,NA,NA
5892,"CR",29479,"Abronia frosti",NA,NA,NA
5892,"CR",44059,"Abutilon eremitopetalum",NA,NA,NA
5892,"CR",44060,"Abutilon menziesii",NA,NA,NA
5892,"CR",44061,"Abutilon sandwicense",NA,NA,NA
5892,"CR",43894,"Acacia anegadensis",NA,NA,NA
5892,"CR",31642,"Acacia belairioides",NA,NA,NA
5892,"CR",31644,"Acacia roigii",NA,NA,NA
5892,"CR",45173,"Acalypha ecuadorica",NA,NA,NA
5892,"CR",45174,"Acalypha eggersii",NA,NA,NA
5892,"CR",35066,"Acalypha raivavensis",NA,NA,NA
5892,"CR",158924,"Acanthagrion taxaense",NA,NA,NA
5892,"CR",60633,"Acanthobrama centisquama",NA,NA,NA
5892,"CR",203404,"Acanthobrama hadiyahensis",NA,NA,NA
5892,"CR",19017787,"Acanthobrama tricolor",NA,NA,NA
5892,"CR",61454,"Acanthodactylus beershebensis",NA,NA,NA
5892,"CR",164562,"Acanthodactylus harranensis",NA,NA,NA
5892,"CR",61459,"Acanthodactylus mechriguensis",NA,NA,NA
5892,"CR",61463,"Acanthodactylus spinicauda",NA,NA,NA
5892,"CR",38181,"Acanthophoenix rubra",NA,NA,NA
5892,"CR",19674914,"Acanthothericles bicoloripes",NA,NA,NA
5892,"CR",112788439,"Acer binzayedii",NA,NA,NA
5892,"CR",31335,"Acer buergerianum var. formosanum","formosanum","var.",NA
5892,"CR",46386,"Acer leipoense",NA,NA,NA
5892,"CR",32854,"Acer oblongum var. membranaceum","membranaceum","var.",NA
5892,"CR",103451945,"Acer skutchii",NA,NA,NA
5892,"CR",176325,"Achalinus jinggangensis",NA,NA,NA
5892,"CR",40966,"Acharagma aguirreanum",NA,NA,NA
5892,"CR",168,"Achatinella apexfulva",NA,NA,NA
5892,"CR",169,"Achatinella bellula",NA,NA,NA
5892,"CR",171,"Achatinella bulimoides",NA,NA,NA
5892,"CR",172,"Achatinella byronii",NA,NA,NA
5892,"CR",175,"Achatinella cestus",NA,NA,NA
5892,"CR",176,"Achatinella concavospira",NA,NA,NA
5892,"CR",177,"Achatinella curta",NA,NA,NA
5892,"CR",178,"Achatinella decipiens",NA,NA,NA
5892,"CR",182,"Achatinella fulgens",NA,NA,NA
5892,"CR",183,"Achatinella fuscobasis",NA,NA,NA
5892,"CR",209,"Achatinella leucorrhaphe",NA,NA,NA
5892,"CR",188,"Achatinella lila",NA,NA,NA
5892,"CR",190,"Achatinella lorata",NA,NA,NA
5892,"CR",191,"Achatinella mustelina",NA,NA,NA
5892,"CR",193,"Achatinella phaeozona",NA,NA,NA
5892,"CR",194,"Achatinella pulcherrima",NA,NA,NA
5892,"CR",195,"Achatinella pupukanioe",NA,NA,NA
5892,"CR",197,"Achatinella sowerbyana",NA,NA,NA
5892,"CR",199,"Achatinella stewartii",NA,NA,NA
5892,"CR",200,"Achatinella swiftii",NA,NA,NA
5892,"CR",201,"Achatinella taeniolata",NA,NA,NA
5892,"CR",203,"Achatinella turgida",NA,NA,NA
5892,"CR",205,"Achatinella viridans",NA,NA,NA
5892,"CR",207,"Achatinella vulpina",NA,NA,NA
5892,"CR",212,"Acheilognathus elongatus",NA,NA,NA
5892,"CR",44075,"Achyranthes mutica",NA,NA,NA
5892,"CR",44147,"Achyranthes splendens var. rotundata","rotundata","var.",NA
5892,"CR",43093,"Achyrocline glandulosa",NA,NA,NA
5892,"CR",43095,"Achyrocline mollis",NA,NA,NA
5892,"CR",20638495,"Acilacris furcatus",NA,NA,NA
5892,"CR",20638574,"Acilacris kristinae",NA,NA,NA
5892,"CR",221,"Acinonyx jubatus ssp. hecki","hecki","ssp.",NA
5892,"CR",220,"Acinonyx jubatus ssp. venaticus","venaticus","ssp.",NA
5892,"CR",231,"Acipenser dabryanus",NA,NA,NA
5892,"CR",232,"Acipenser gueldenstaedtii",NA,NA,NA
5892,"CR",241,"Acipenser mikadoi",NA,NA,NA
5892,"CR",224,"Acipenser naccarii",NA,NA,NA
5892,"CR",225,"Acipenser nudiventris",NA,NA,NA
5892,"CR",235,"Acipenser persicus",NA,NA,NA
5892,"CR",228,"Acipenser schrenckii",NA,NA,NA
5892,"CR",236,"Acipenser sinensis",NA,NA,NA
5892,"CR",229,"Acipenser stellatus",NA,NA,NA
5892,"CR",230,"Acipenser sturio",NA,NA,NA
5892,"CR",44561,"Acipenser transmontanus Fraser River Nechako subpopulation",NA,NA,"Fraser River Nechako subpopulation"
5892,"CR",43184845,"Acizzia veski",NA,NA,NA
5892,"CR",31052,"Acmopyle sahniana",NA,NA,NA
5892,"CR",50126558,"Aconitum chasmanthum",NA,NA,NA
5892,"CR",65403156,"Acostaea rivolii",NA,NA,NA
5892,"CR",103870843,"Acridotheres melanopterus",NA,NA,NA
5892,"CR",103871084,"Acridotheres tertius",NA,NA,NA
5892,"CR",103870973,"Acridotheres tricolor",NA,NA,NA
5892,"CR",39187,"Acritodon nephophilus",NA,NA,NA
5892,"CR",22714797,"Acrocephalus familiaris",NA,NA,NA
5892,"CR",103780118,"Acrocephalus hiwae",NA,NA,NA
5892,"CR",22735588,"Acrocephalus longirostris",NA,NA,NA
5892,"CR",22714826,"Acrocephalus rimitarae",NA,NA,NA
5892,"CR",156051,"Acroloxus macedonicus",NA,NA,NA
5892,"CR",98990553,"Acropogon tireliae",NA,NA,NA
5892,"CR",133381,"Acropora cervicornis",NA,NA,NA
5892,"CR",133006,"Acropora palmata",NA,NA,NA
5892,"CR",16896690,"Acrostira bellamyi",NA,NA,NA
5892,"CR",15038553,"Acrostira euphorbiae",NA,NA,NA
5892,"CR",161476,"Acroteriobatus variegatus",NA,NA,NA
5892,"CR",156791,"Actinella arridens",NA,NA,NA
5892,"CR",507,"Actinella obserata",NA,NA,NA
5892,"CR",36328,"Actinodaphne cuspidata",NA,NA,NA
5892,"CR",31223,"Actinodaphne lanata",NA,NA,NA
5892,"CR",512,"Addax nasomaculatus",NA,NA,NA
5892,"CR",38406,"Adelobotrys panamensis",NA,NA,NA
5892,"CR",54457,"Adenomus dasi",NA,NA,NA
5892,"CR",54458,"Adenomus kandianus",NA,NA,NA
5892,"CR",78772698,"Adenophorus periens",NA,NA,NA
5892,"CR",522,"Adetomyrma venatrix",NA,NA,NA
5892,"CR",523,"Adrianichthys kruyti",NA,NA,NA
5892,"CR",44392746,"Aechmea cymosopaniculata",NA,NA,NA
