"name","result.year","result.code","result.category"
"Aaadonta angaurana","2012","CR","Critically Endangered"
"Aaadonta angaurana","1996","DD","Data Deficient"
"Aaadonta angaurana","1994","V","Vulnerable"
"Aaadonta irregularis","2012","CR","Critically Endangered"
"Aaadonta irregularis","1996","DD","Data Deficient"
"Aaadonta irregularis","1994","V","Vulnerable"
"Aaadonta kinlochi","2012","CR","Critically Endangered"
"Aaadonta kinlochi","1996","DD","Data Deficient"
"Aaadonta kinlochi","1994","V","Vulnerable"
"Aaadonta pelewana","2012","CR","Critically Endangered"
"Aaadonta pelewana","1996","DD","Data Deficient"
"Aaadonta pelewana","1994","V","Vulnerable"
"Aaptosyax grypus","2011","CR","Critically Endangered"
"Aaptosyax grypus","1996","DD","Data Deficient"
"Abies beshanzuensis","2013","CR","Critically Endangered"
"Abies beshanzuensis","1998","CR","Critically Endangered"
"Abies beshanzuensis","1998","E","Endangered"
"Abies nebrodensis","1998","CR","Critically Endangered"
"Abies nebrodensis","1998","E","Endangered"
"Abies numidica","2011","CR","Critically Endangered"
"Abies numidica","1998","V","Vulnerable"
"Abies numidica","1998","VU","Vulnerable"
"Abies yuanbaoshanensis","2011","CR","Critically Endangered"
"Abies yuanbaoshanensis","2000","CR","Critically Endangered"
"Abies yuanbaoshanensis","1998","CR","Critically Endangered"
"Abies yuanbaoshanensis","1998","E","Endangered"
"Abrocoma boliviensis","2016","CR","Critically Endangered"
"Abrocoma boliviensis","2008","CR","Critically Endangered"
"Abrocoma boliviensis","1996","VU","Vulnerable"
"Abronia campbelli","2013","CR","Critically Endangered"
"Abronia frosti","2013","CR","Critically Endangered"
"Abutilon eremitopetalum","2003","CR","Critically Endangered"
"Abutilon menziesii","2003","CR","Critically Endangered"
"Abutilon sandwicense","2003","CR","Critically Endangered"
"Acacia anegadensis","2003","CR","Critically Endangered"
"Acacia belairioides","1998","CR","Critically Endangered"
"Acacia belairioides","1998","I","Indeterminate"
"Acacia roigii","1998","CR","Critically Endangered"
"Acacia roigii","1998","E","Endangered"
"Acalypha ecuadorica","2004","CR","Critically Endangered"
"Acalypha eggersii","2004","CR","Critically Endangered"
"Acalypha raivavensis","1998","CR","Critically Endangered"
"Acalypha raivavensis","1998","E","Endangered"
"Acanthagrion taxaense","2009","CR","Critically Endangered"
"Acanthobrama centisquama","2014","CR","Critically Endangered"
"Acanthobrama centisquama","2006","EN","Endangered"
"Acanthobrama hadiyahensis","2015","CR","Critically Endangered"
"Acanthobrama tricolor","2014","CR","Critically Endangered"
"Acanthodactylus beershebensis","2006","CR","Critically Endangered"
"Acanthodactylus harranensis","2009","CR","Critically Endangered"
"Acanthodactylus mechriguensis","2006","CR","Critically Endangered"
"Acanthodactylus spinicauda","2006","CR","Critically Endangered"
"Acanthophoenix rubra","1998","CR","Critically Endangered"
"Acanthophoenix rubra","1998","V","Vulnerable"
"Acer binzayedii","2017","CR","Critically Endangered"
"Acer leipoense","2004","CR","Critically Endangered"
"Acer skutchii","2017","CR","Critically Endangered"
"Achalinus jinggangensis","2014","CR","Critically Endangered"
"Achalinus jinggangensis","2010","DD","Data Deficient"
"Acharagma aguirreanum","2002","CR","Critically Endangered"
"Achatinella apexfulva","1996","CR","Critically Endangered"
"Achatinella apexfulva","1994","E","Endangered"
"Achatinella apexfulva","1990","E","Endangered"
"Achatinella apexfulva","1983","E","Endangered"
"Achatinella bellula","1996","CR","Critically Endangered"
"Achatinella bellula","1994","E","Endangered"
"Achatinella bellula","1990","E","Endangered"
"Achatinella bellula","1983","E","Endangered"
"Achatinella bulimoides","1996","CR","Critically Endangered"
"Achatinella bulimoides","1994","E","Endangered"
"Achatinella bulimoides","1990","E","Endangered"
"Achatinella bulimoides","1983","E","Endangered"
"Achatinella byronii","1996","CR","Critically Endangered"
"Achatinella byronii","1994","E","Endangered"
"Achatinella byronii","1990","E","Endangered"
"Achatinella byronii","1983","E","Endangered"
"Achatinella cestus","1996","CR","Critically Endangered"
"Achatinella cestus","1994","E","Endangered"
"Achatinella cestus","1990","Ex","Extinct"
"Achatinella cestus","1983","E","Endangered"
"Achatinella concavospira","1996","CR","Critically Endangered"
"Achatinella concavospira","1994","E","Endangered"
"Achatinella concavospira","1990","E","Endangered"
"Achatinella concavospira","1983","E","Endangered"
"Achatinella curta","1996","CR","Critically Endangered"
"Achatinella curta","1994","E","Endangered"
"Achatinella curta","1990","E","Endangered"
"Achatinella curta","1983","E","Endangered"
"Achatinella decipiens","1996","CR","Critically Endangered"
"Achatinella decipiens","1994","E","Endangered"
"Achatinella decipiens","1990","E","Endangered"
"Achatinella decipiens","1983","E","Endangered"
"Achatinella fulgens","1996","CR","Critically Endangered"
"Achatinella fulgens","1994","E","Endangered"
"Achatinella fulgens","1990","E","Endangered"
"Achatinella fulgens","1983","E","Endangered"
