"name","result.year","result.code","result.category"
"Abbottina binhi","2012","DD","Data Deficient"
"Abditomys latidens","2016","DD","Data Deficient"
"Abditomys latidens","2008","DD","Data Deficient"
"Abditomys latidens","1996","LR/lc","Lower Risk/least concern"
"Ablepharus darvazi","2017","DD","Data Deficient"
"Aboma etheostoma","2010","DD","Data Deficient"
"Abralia armata","2014","DD","Data Deficient"
"Abralia astrolineata","2014","DD","Data Deficient"
"Abralia dubia","2014","DD","Data Deficient"
"Abralia fasciolata","2014","DD","Data Deficient"
"Abralia grimpei","2014","DD","Data Deficient"
"Abralia heminuchalis","2014","DD","Data Deficient"
"Abralia marisarabica","2014","DD","Data Deficient"
"Abralia multihamata","2014","DD","Data Deficient"
"Abralia omiae","2014","DD","Data Deficient"
"Abralia renschi","2014","DD","Data Deficient"
"Abralia robsoni","2014","DD","Data Deficient"
"Abralia siedleckyi","2014","DD","Data Deficient"
"Abralia spaercki","2014","DD","Data Deficient"
"Abraliopsis atlantica","2014","DD","Data Deficient"
"Abraliopsis chuni","2014","DD","Data Deficient"
"Abraliopsis hoylei","2014","DD","Data Deficient"
"Abraliopsis tui","2014","DD","Data Deficient"
"Abrocoma budini","2016","DD","Data Deficient"
"Abrocoma budini","2008","DD","Data Deficient"
"Abrocoma famatina","2016","DD","Data Deficient"
"Abrocoma famatina","2008","DD","Data Deficient"
"Abrocoma uspallata","2016","DD","Data Deficient"
"Abrocoma uspallata","2008","DD","Data Deficient"
"Abrocoma vaccarum","2016","DD","Data Deficient"
"Abrocoma vaccarum","2008","DD","Data Deficient"
"Abronia bogerti","2007","DD","Data Deficient"
"Abronia leurolepis","2007","DD","Data Deficient"
"Abronia mitchelli","2007","DD","Data Deficient"
"Abronia ochoterenai","2013","DD","Data Deficient"
"Abronia ochoterenai","2007","DD","Data Deficient"
"Abronia ornelasi","2007","DD","Data Deficient"
"Abronia ramirezi","2007","DD","Data Deficient"
"Abronia reidi","2007","DD","Data Deficient"
"Abrus fruticulosus","2012","DD","Data Deficient"
"Abudefduf hoefleri","2015","DD","Data Deficient"
"Abudefduf margariteus","2017","DD","Data Deficient"
"Abyssoberyx levisquamosus","2015","DD","Data Deficient"
"Acacia donaldii","2012","DD","Data Deficient"
"Acacia hirta","2012","DD","Data Deficient"
"Acacia schlechteri","1998","DD","Data Deficient"
"Acacia schlechteri","1998","K","Insufficiently Known"
"Acanthagrion hartei","2016","DD","Data Deficient"
"Acanthagrion hartei","2009","DD","Data Deficient"
"Acanthalburnus urmianus","2009","DD","Data Deficient"
"Acanthallagma luteum","2009","DD","Data Deficient"
"Acanthallagma strohmi","2009","DD","Data Deficient"
"Acantharctus delfini","2011","DD","Data Deficient"
"Acantharctus posteli","2011","DD","Data Deficient"
"Acanthemblemaria harpeza","2015","DD","Data Deficient"
"Acanthemblemaria harpeza","2014","VU","Vulnerable"
"Acanthemblemaria paula","2015","DD","Data Deficient"
"Acanthemblemaria paula","2014","VU","Vulnerable"
"Acanthinula spinifera","2011","DD","Data Deficient"
"Acanthinula spinifera","1996","DD","Data Deficient"
"Acanthinula spinifera","1994","R","Rare"
"Acanthistius brasilianus","2010","DD","Data Deficient"
"Acanthodactylus boueti","2013","DD","Data Deficient"
"Acanthodactylus gongrorhynchatus","2012","DD","Data Deficient"
"Acanthodactylus masirae","2012","DD","Data Deficient"
"Acanthodactylus nilsoni","2009","DD","Data Deficient"
"Acanthodactylus taghitensis","2013","DD","Data Deficient"
"Acanthoderus spinosus","2017","DD","Data Deficient"
"Acanthodrilus ravus","2017","DD","Data Deficient"
"Acantholimon gabrieljaniae","2014","DD","Data Deficient"
"Acantholimon vedicum","2014","DD","Data Deficient"
"Acanthopagrus akazakii","2014","DD","Data Deficient"
"Acanthopagrus catenula","2014","DD","Data Deficient"
"Acanthopagrus latus","2014","DD","Data Deficient"
"Acanthopagrus longispinnis","2014","DD","Data Deficient"
"Acanthopagrus omanensis","2014","DD","Data Deficient"
"Acanthopagrus randalli","2014","DD","Data Deficient"
"Acanthopagrus taiwanensis","2014","DD","Data Deficient"
"Acanthopotamon fungosum","2008","DD","Data Deficient"
"Acanthopotamon panningi","2008","DD","Data Deficient"
"Acanthostracion notacanthus","2015","DD","Data Deficient"
"Acanthurus polyzona","2012","DD","Data Deficient"
"Acantopsis spectabilis","2012","DD","Data Deficient"
"Acantopsis spectabilis","2011","DD","Data Deficient"
"Acantopsis thiemmedhi","2012","DD","Data Deficient"
"Acartiapotamon inflatum","2008","DD","Data Deficient"
"Acentrogobius therezieni","2016","DD","Data Deficient"
"Acentrogobius therezieni","2004","DD","Data Deficient"
"Acentronura australe","2016","DD","Data Deficient"
"Acentronura australe","2006","DD","Data Deficient"
"Acentronura larsonae","2016","DD","Data Deficient"
"Acestrocephalus anomalus","2016","DD","Data Deficient"
"Achatina vignoniana","1996","DD","Data Deficient"
"Acheilognathus deignani","2011","DD","Data Deficient"
"Acheilognathus elongatoides","2011","DD","Data Deficient"
"Acheilognathus kyphus","2009","DD","Data Deficient"
"Acheilognathus macropterus","2011","DD","Data Deficient"
"Acheilognathus meridianus","2011","DD","Data Deficient"
"Acheilognathus polyspinus","2011","DD","Data Deficient"
"Acheilognathus tonkinensis","2011","DD","Data Deficient"
"Aciagrion huaanensis","2013","DD","Data Deficient"
"Aciagrion macrootithenae","2010","DD","Data Deficient"
"Aciagrion macrootithenae","2007","DD","Data Deficient"
"Aciagrion rarum","1996","DD","Data Deficient"
"Aciagrion rarum","1994","I","Indeterminate"
"Aciagrion rarum","1990","I","Indeterminate"
"Aciagrion rarum","1988","I","Indeterminate"
"Aciagrion rarum","1986","I","Indeterminate"
"Aciagrion zambiense","2017","DD","Data Deficient"
"Acianthera bicarinata","2013","DD","Data Deficient"
"Acicula douctouyrensis","2011","DD","Data Deficient"
"Acinipe ignatii","2016","DD","Data Deficient"
"Acomys cilicicus","1996","CR","Critically Endangered"
"Acomys minous","1996","VU","Vulnerable"
"Acomys nesiotes","2000","DD","Data Deficient"
"Acomys nesiotes","1996","LR/nt","Lower Risk/near threatened"
"Aconaemys porteri","2016","DD","Data Deficient"
"Aconaemys porteri","2008","DD","Data Deficient"
"Aconaemys sagei","2016","DD","Data Deficient"
"Aconaemys sagei","2013","DD","Data Deficient"
"Aconaemys sagei","2008","DD","Data Deficient"
"Aconaemys sagei","1996","LR/lc","Lower Risk/least concern"
"Acreichthys hajam","2010","DD","Data Deficient"
"Acrocephalus orinus","2017","DD","Data Deficient"
"Acrocephalus orinus","2016","DD","Data Deficient"
"Acrocephalus orinus","2012","DD","Data Deficient"
"Acrocephalus orinus","2008","DD","Data Deficient"
"Acrocephalus orinus","2004","DD","Data Deficient"
"Acrocephalus orinus","2000","NR","Not Recognized"
"Acrocephalus orinus","1994","NR","Not Recognized"
"Acrocephalus orinus","1988","NR","Not Recognized"
"Acrochordonichthys gyrinus","2012","DD","Data Deficient"
"Acrochordonichthys septentrionalis","2012","DD","Data Deficient"
"Acrogomphus fraseri","2011","DD","Data Deficient"
"Acroloxus arachleicus","2011","DD","Data Deficient"
