"count","category","result.taxonid","result.scientific_name","result.subspecies","result.rank","result.subpopulation"
8842,"EN",4,"Aaadonta constricta",NA,NA,NA
8842,"EN",5,"Aaadonta fuscozonata",NA,NA,NA
8842,"EN",13188339,"Abeliophyllum distichum",NA,NA,NA
8842,"EN",32463,"Abies fanjingshanensis",NA,NA,NA
8842,"EN",32101,"Abies fraseri",NA,NA,NA
8842,"EN",42285,"Abies guatemalensis",NA,NA,NA
8842,"EN",46186032,"Abies guatemalensis var. guatemalensis","guatemalensis","var.",NA
8842,"EN",42286,"Abies hickelii",NA,NA,NA
8842,"EN",34123,"Abies hickelii var. hickelii","hickelii","var.",NA
8842,"EN",34125,"Abies hickelii var. oaxacana","oaxacana","var.",NA
8842,"EN",31244,"Abies koreana",NA,NA,NA
8842,"EN",31325,"Abies nordmanniana ssp. equi-trojani","equi-trojani","ssp.",NA
8842,"EN",42295,"Abies pinsapo",NA,NA,NA
8842,"EN",34126,"Abies pinsapo var. marocana","marocana","var.",NA
8842,"EN",30309,"Abies pinsapo var. pinsapo","pinsapo","var.",NA
8842,"EN",32320,"Abies ziyuanensis",NA,NA,NA
8842,"EN",203013,"Abronia aurita",NA,NA,NA
8842,"EN",63675,"Abronia chiszari",NA,NA,NA
8842,"EN",63676,"Abronia deppii",NA,NA,NA
8842,"EN",203015,"Abronia fimbriata",NA,NA,NA
8842,"EN",63677,"Abronia fuscolabialis",NA,NA,NA
8842,"EN",203016,"Abronia gaiophantasma",NA,NA,NA
8842,"EN",63678,"Abronia graminea",NA,NA,NA
8842,"EN",63681,"Abronia martindelcampoi",NA,NA,NA
8842,"EN",63682,"Abronia matudai",NA,NA,NA
8842,"EN",203017,"Abronia meledona",NA,NA,NA
8842,"EN",20,"Abronia montecristoi",NA,NA,NA
8842,"EN",203018,"Abronia salvadorensis",NA,NA,NA
8842,"EN",68002718,"Abrus sambiranensis",NA,NA,NA
8842,"EN",19892461,"Acacia allenii",NA,NA,NA
8842,"EN",22483867,"Acacia aprica",NA,NA,NA
8842,"EN",19893073,"Acacia bifaria",NA,NA,NA
8842,"EN",19892724,"Acacia brachypoda",NA,NA,NA
8842,"EN",32968,"Acacia bucheri",NA,NA,NA
8842,"EN",19891443,"Acacia chrysotricha",NA,NA,NA
8842,"EN",31643,"Acacia daemon",NA,NA,NA
8842,"EN",22483967,"Acacia imitans",NA,NA,NA
8842,"EN",37917,"Acacia mathuataensis",NA,NA,NA
8842,"EN",19891778,"Acacia menabeensis",NA,NA,NA
8842,"EN",98222838,"Acacia phasmoides",NA,NA,NA
8842,"EN",22483801,"Acacia pygmaea",NA,NA,NA
8842,"EN",19892935,"Acacia repanda",NA,NA,NA
8842,"EN",31645,"Acacia zapatensis",NA,NA,NA
8842,"EN",45175,"Acalypha schimpffii",NA,NA,NA
8842,"EN",43,"Acanthaeschna victoria",NA,NA,NA
8842,"EN",49254351,"Acanthagrion williamsoni",NA,NA,NA
8842,"EN",46628,"Acanthephippium sinense",NA,NA,NA
8842,"EN",75,"Acanthochelys pallidipectoris",NA,NA,NA
8842,"EN",61452,"Acanthodactylus ahmaddisii",NA,NA,NA
8842,"EN",61455,"Acanthodactylus blanci",NA,NA,NA
8842,"EN",61462,"Acanthodactylus schreiberi",NA,NA,NA
8842,"EN",19672351,"Acanthoxia aculeus",NA,NA,NA
8842,"EN",48153861,"Acanthus austromontanus",NA,NA,NA
8842,"EN",65880410,"Acarodes gutta",NA,NA,NA
8842,"EN",22695659,"Accipiter gundlachi",NA,NA,NA
8842,"EN",138,"Acerodon humilis",NA,NA,NA
8842,"EN",139,"Acerodon jubatus",NA,NA,NA
8842,"EN",135683,"Achondrostoma occidentale",NA,NA,NA
8842,"EN",184445,"Achondrostoma salmantinum",NA,NA,NA
8842,"EN",47348726,"Achyropsis filifolia",NA,NA,NA
8842,"EN",193402,"Achyrospermum seychellarum",NA,NA,NA
8842,"EN",163601,"Aciagrion fasciculare",NA,NA,NA
8842,"EN",44393049,"Acianthera compressicaulis",NA,NA,NA
8842,"EN",44392403,"Acianthera variegata",NA,NA,NA
8842,"EN",38409,"Acidocroton gentryi",NA,NA,NA
8842,"EN",45659,"Aciotis aristellata",NA,NA,NA
8842,"EN",244,"Acipenser baerii",NA,NA,NA
8842,"EN",257,"Acipenser transmontanus Kootenai River subpopulation",NA,NA,"Kootenai River subpopulation"
8842,"EN",195114,"Acis nicaeensis",NA,NA,NA
8842,"EN",13186336,"Acisoma ascalaphoides",NA,NA,NA
8842,"EN",68981261,"Acizzia mccarthyi",NA,NA,NA
8842,"EN",103635467,"Acmadenia candida",NA,NA,NA
8842,"EN",50126560,"Aconitum heterophyllum",NA,NA,NA
8842,"EN",44977934,"Acontias poecilus",NA,NA,NA
8842,"EN",41230,"Acontias rieppeli",NA,NA,NA
8842,"EN",179957,"Acridocarpus alopecurus var. machaeropterus","machaeropterus","var.",NA
8842,"EN",179842,"Acridocarpus congestus",NA,NA,NA
8842,"EN",201646,"Acridocarpus monodii",NA,NA,NA
8842,"EN",179582,"Acridocarpus pauciglandulosus",NA,NA,NA
8842,"EN",179340,"Acridocarpus scheffleri",NA,NA,NA
8842,"EN",22714802,"Acrocephalus aequinoctialis",NA,NA,NA
8842,"EN",104003523,"Acrocephalus caffer",NA,NA,NA
8842,"EN",22714757,"Acrocephalus griseldis",NA,NA,NA
8842,"EN",22714704,"Acrocephalus sorghophilus",NA,NA,NA
8842,"EN",22714832,"Acrocephalus vaughani",NA,NA,NA
8842,"EN",313,"Acrodipsas illidgei",NA,NA,NA
8842,"EN",103632552,"Acrodon purpureostylus",NA,NA,NA
8842,"EN",37418,"Acropogon aoupiniensis",NA,NA,NA
8842,"EN",37419,"Acropogon bullatus",NA,NA,NA
8842,"EN",98988589,"Acropogon grandiflorus",NA,NA,NA
8842,"EN",98988693,"Acropogon jaffrei",NA,NA,NA
8842,"EN",98988728,"Acropogon margaretae",NA,NA,NA
8842,"EN",37422,"Acropogon megaphyllus",NA,NA,NA
8842,"EN",98989011,"Acropogon moratianus",NA,NA,NA
8842,"EN",98989048,"Acropogon paagoumenensis",NA,NA,NA
8842,"EN",133206,"Acropora roseni",NA,NA,NA
8842,"EN",132913,"Acropora rudis",NA,NA,NA
8842,"EN",133254,"Acropora suharsonoi",NA,NA,NA
8842,"EN",46609,"Acrorumohra hasseltii",NA,NA,NA
8842,"EN",16896956,"Acrostira tamarani",NA,NA,NA
8842,"EN",16896959,"Acrostira tenerifae",NA,NA,NA
8842,"EN",34365,"Acsmithia vitiense",NA,NA,NA
8842,"EN",19672398,"Acteana alazonica",NA,NA,NA
8842,"EN",22726874,"Actenoides bougainvillei",NA,NA,NA
8842,"EN",22726883,"Actenoides excelsus",NA,NA,NA
8842,"EN",502,"Actinella carinofausta",NA,NA,NA
8842,"EN",46392,"Actinidia stellatopilosa",NA,NA,NA
8842,"EN",195374,"Actiniopteris kornasii",NA,NA,NA
8842,"EN",31220,"Actinodaphne bourneae",NA,NA,NA
8842,"EN",31222,"Actinodaphne campanulata var. obtusa","obtusa","var.",NA
8842,"EN",31224,"Actinodaphne salicina",NA,NA,NA
8842,"EN",39022,"Actinokentia huerlimannii",NA,NA,NA
8842,"EN",30388,"Adansonia grandidieri",NA,NA,NA
8842,"EN",33612,"Adansonia perrieri",NA,NA,NA
8842,"EN",30389,"Adansonia suarezensis",NA,NA,NA
8842,"EN",513,"Adelocosa anops",NA,NA,NA
8842,"EN",56302,"Adelophryne maranguapensis",NA,NA,NA
8842,"EN",515,"Adelopoma stolli",NA,NA,NA
8842,"EN",521,"Adelphicos daryi",NA,NA,NA
8842,"EN",203337,"Adelphicos ibarrorum",NA,NA,NA
