"name","result.year","result.code","result.category"
"Aaadonta constricta","2012","EN","Endangered"
"Aaadonta constricta","1996","DD","Data Deficient"
"Aaadonta constricta","1994","V","Vulnerable"
"Aaadonta fuscozonata","2012","EN","Endangered"
"Aaadonta fuscozonata","1996","DD","Data Deficient"
"Aaadonta fuscozonata","1994","V","Vulnerable"
"Abeliophyllum distichum","2016","EN","Endangered"
"Abies fanjingshanensis","2013","EN","Endangered"
"Abies fanjingshanensis","1998","E","Endangered"
"Abies fanjingshanensis","1998","EN","Endangered"
"Abies fraseri","2013","EN","Endangered"
"Abies fraseri","1998","V","Vulnerable"
"Abies fraseri","1998","VU","Vulnerable"
"Abies guatemalensis","2013","EN","Endangered"
"Abies guatemalensis","1998","V","Vulnerable"
"Abies guatemalensis","1998","VU","Vulnerable"
"Abies hickelii","2013","EN","Endangered"
"Abies hickelii","1998","VU","Vulnerable"
"Abies koreana","2011","EN","Endangered"
"Abies koreana","1998","LR/nt","Lower Risk/near threatened"
"Abies koreana","1998","R","Rare"
"Abies pinsapo","2011","EN","Endangered"
"Abies pinsapo","1998","LR/nt","Lower Risk/near threatened"
"Abies ziyuanensis","2011","EN","Endangered"
"Abies ziyuanensis","1998","CR","Critically Endangered"
"Abies ziyuanensis","1998","E","Endangered"
"Abronia aurita","2013","EN","Endangered"
"Abronia chiszari","2007","EN","Endangered"
"Abronia deppii","2007","EN","Endangered"
"Abronia fimbriata","2014","EN","Endangered"
"Abronia fuscolabialis","2007","EN","Endangered"
"Abronia gaiophantasma","2014","EN","Endangered"
"Abronia graminea","2007","EN","Endangered"
"Abronia martindelcampoi","2007","EN","Endangered"
"Abronia matudai","2013","EN","Endangered"
"Abronia matudai","2007","EN","Endangered"
"Abronia meledona","2013","EN","Endangered"
"Abronia montecristoi","2013","EN","Endangered"
"Abronia montecristoi","1996","CR","Critically Endangered"
"Abronia montecristoi","1994","E","Endangered"
"Abronia salvadorensis","2013","EN","Endangered"
"Abrus sambiranensis","2016","EN","Endangered"
"Acacia allenii","2012","EN","Endangered"
"Acacia aprica","2017","EN","Endangered"
"Acacia bifaria","2012","EN","Endangered"
"Acacia brachypoda","2012","EN","Endangered"
"Acacia bucheri","1998","EN","Endangered"
"Acacia bucheri","1998","R","Rare"
"Acacia chrysotricha","2012","EN","Endangered"
"Acacia daemon","1998","EN","Endangered"
"Acacia daemon","1998","R","Rare"
"Acacia imitans","2017","EN","Endangered"
"Acacia mathuataensis","2016","EN","Endangered"
"Acacia mathuataensis","1998","CR","Critically Endangered"
"Acacia menabeensis","2012","EN","Endangered"
"Acacia phasmoides","2017","EN","Endangered"
"Acacia pygmaea","2017","EN","Endangered"
"Acacia repanda","2012","EN","Endangered"
"Acacia zapatensis","1998","EN","Endangered"
"Acacia zapatensis","1998","V","Vulnerable"
"Acalypha schimpffii","2004","EN","Endangered"
"Acanthaeschna victoria","2017","EN","Endangered"
"Acanthaeschna victoria","1996","VU","Vulnerable"
"Acanthaeschna victoria","1994","K","Insufficiently Known"
"Acanthaeschna victoria","1990","K","Insufficiently Known"
"Acanthaeschna victoria","1988","V","Vulnerable"
"Acanthagrion williamsoni","2016","EN","Endangered"
"Acanthephippium sinense","2004","EN","Endangered"
"Acanthochelys pallidipectoris","2016","EN","Endangered"
"Acanthochelys pallidipectoris","1996","VU","Vulnerable"
"Acanthochelys pallidipectoris","1994","R","Rare"
"Acanthochelys pallidipectoris","1990","R","Rare"
"Acanthochelys pallidipectoris","1988","R","Rare"
"Acanthochelys pallidipectoris","1986","R","Rare"
"Acanthochelys pallidipectoris","1982","R","Rare"
"Acanthodactylus ahmaddisii","2006","EN","Endangered"
"Acanthodactylus blanci","2006","EN","Endangered"
"Acanthodactylus schreiberi","2009","EN","Endangered"
"Acanthodactylus schreiberi","2006","EN","Endangered"
"Acanthoxia aculeus","2013","EN","Endangered"
"Acanthus austromontanus","2015","EN","Endangered"
"Acarodes gutta","2017","EN","Endangered"
"Accipiter gundlachi","2017","EN","Endangered"
"Accipiter gundlachi","2016","EN","Endangered"
"Accipiter gundlachi","2015","EN","Endangered"
"Accipiter gundlachi","2012","EN","Endangered"
"Accipiter gundlachi","2008","EN","Endangered"
"Accipiter gundlachi","2004","EN","Endangered"
"Accipiter gundlachi","2000","EN","Endangered"
"Accipiter gundlachi","1996","EN","Endangered"
"Accipiter gundlachi","1994","EN","Endangered"
"Accipiter gundlachi","1988","T","Threatened"
"Acerodon humilis","2016","EN","Endangered"
"Acerodon humilis","2008","EN","Endangered"
"Acerodon humilis","1996","VU","Vulnerable"
"Acerodon jubatus","2016","EN","Endangered"
"Acerodon jubatus","2008","EN","Endangered"
"Acerodon jubatus","1996","EN","Endangered"
"Acerodon jubatus","1994","E","Endangered"
"Achondrostoma salmantinum","2011","EN","Endangered"
"Achyropsis filifolia","2013","EN","Endangered"
"Achyrospermum seychellarum","2011","EN","Endangered"
"Achyrospermum seychellarum","1997","E","Endangered"
"Aciagrion fasciculare","2009","EN","Endangered"
"Acianthera compressicaulis","2013","EN","Endangered"
"Acianthera variegata","2013","EN","Endangered"
"Acidocroton gentryi","1998","EN","Endangered"
"Aciotis aristellata","2004","EN","Endangered"
"Acipenser baerii","2010","EN","Endangered"
"Acipenser baerii","1996","VU","Vulnerable"
"Acipenser transmontanus Kootenai River subpopulation","2004","EN","Endangered"
"Acipenser transmontanus Kootenai River subpopulation","1996","EN","Endangered"
"Acisoma ascalaphoides","2017","EN","Endangered"
"Acisoma ascalaphoides","2016","LC","Least Concern"
"Acisoma ascalaphoides","2013","LC","Least Concern"
"Acizzia mccarthyi","2015","EN","Endangered"
"Acmadenia candida","2016","EN","Endangered"
"Acmadenia candida","1998","Ex","Extinct"
"Aconitum heterophyllum","2015","EN","Endangered"
"Acontias poecilus","2017","EN","Endangered"
"Acontias rieppeli","2017","EN","Endangered"
"Acontias rieppeli","1996","VU","Vulnerable"
"Acontias rieppeli","1994","R","Rare"
"Acridocarpus congestus","2013","EN","Endangered"
"Acridocarpus monodii","2011","EN","Endangered"
"Acridocarpus monodii","1998","R","Rare"
"Acridocarpus pauciglandulosus","2013","EN","Endangered"
"Acridocarpus scheffleri","2013","EN","Endangered"
"Acrocephalus aequinoctialis","2016","EN","Endangered"
"Acrocephalus aequinoctialis","2012","EN","Endangered"
"Acrocephalus aequinoctialis","2009","EN","Endangered"
"Acrocephalus aequinoctialis","2008","LC","Least Concern"
"Acrocephalus aequinoctialis","2004","LC","Least Concern"
"Acrocephalus aequinoctialis","2000","LR/lc","Lower Risk/least concern"
"Acrocephalus aequinoctialis","1994","LR/lc","Lower Risk/least concern"
"Acrocephalus aequinoctialis","1988","LR/lc","Lower Risk/least concern"
"Acrocephalus caffer","2016","EN","Endangered"
"Acrocephalus griseldis","2017","EN","Endangered"
"Acrocephalus griseldis","2016","EN","Endangered"
"Acrocephalus griseldis","2012","EN","Endangered"
"Acrocephalus griseldis","2008","EN","Endangered"
"Acrocephalus griseldis","2006","EN","Endangered"
"Acrocephalus griseldis","2004","EN","Endangered"
"Acrocephalus griseldis","2000","LR/nt","Lower Risk/near threatened"
"Acrocephalus griseldis","1994","LR/nt","Lower Risk/near threatened"
"Acrocephalus griseldis","1988","LR/lc","Lower Risk/least concern"
"Acrocephalus sorghophilus","2017","EN","Endangered"
"Acrocephalus sorghophilus","2016","EN","Endangered"
"Acrocephalus sorghophilus","2013","EN","Endangered"
"Acrocephalus sorghophilus","2012","VU","Vulnerable"
"Acrocephalus sorghophilus","2008","VU","Vulnerable"
"Acrocephalus sorghophilus","2004","VU","Vulnerable"
"Acrocephalus sorghophilus","2000","VU","Vulnerable"
"Acrocephalus sorghophilus","1996","VU","Vulnerable"
"Acrocephalus sorghophilus","1994","VU","Vulnerable"
"Acrocephalus sorghophilus","1988","T","Threatened"
"Acrocephalus vaughani","2016","EN","Endangered"
"Acrocephalus vaughani","2014","EN","Endangered"
"Acrocephalus vaughani","2012","EN","Endangered"
"Acrocephalus vaughani","2008","EN","Endangered"
"Acrocephalus vaughani","2004","VU","Vulnerable"
"Acrocephalus vaughani","2000","VU","Vulnerable"
"Acrocephalus vaughani","1996","VU","Vulnerable"
"Acrocephalus vaughani","1994","NR","Not Recognized"
"Acrocephalus vaughani","1988","NR","Not Recognized"
"Acrodipsas illidgei","1996","EN","Endangered"
"Acrodipsas illidgei","1994","R","Rare"
"Acrodon purpureostylus","2016","EN","Endangered"
"Acropogon aoupiniensis","2017","EN","Endangered"
"Acropogon aoupiniensis","1998","V","Vulnerable"
"Acropogon aoupiniensis","1998","VU","Vulnerable"
"Acropogon bullatus","2017","EN","Endangered"
"Acropogon bullatus","2010","NT","Near Threatened"
"Acropogon bullatus","1998","V","Vulnerable"
"Acropogon bullatus","1998","VU","Vulnerable"
"Acropogon grandiflorus","2017","EN","Endangered"
"Acropogon jaffrei","2017","EN","Endangered"
"Acropogon margaretae","2017","EN","Endangered"
"Acropogon megaphyllus","2017","EN","Endangered"
"Acropogon megaphyllus","1998","V","Vulnerable"
"Acropogon megaphyllus","1998","VU","Vulnerable"
"Acropogon moratianus","2017","EN","Endangered"
"Acropogon paagoumenensis","2017","EN","Endangered"
"Acropora roseni","2008","EN","Endangered"
"Acropora rudis","2008","EN","Endangered"
"Acropora suharsonoi","2008","EN","Endangered"
"Acrorumohra hasseltii","2004","EN","Endangered"
"Acrostira tamarani","2016","EN","Endangered"
"Acrostira tamarani","2012","NT","Near Threatened"
"Acrostira tenerifae","2016","EN","Endangered"
"Acsmithia vitiense","2016","EN","Endangered"
"Acsmithia vitiense","1998","EN","Endangered"
"Acsmithia vitiense","1998","V","Vulnerable"
"Actenoides bougainvillei","2016","EN","Endangered"
"Actenoides bougainvillei","2014","EN","Endangered"
"Actenoides excelsus","2017","EN","Endangered"
"Actenoides excelsus","2016","EN","Endangered"
"Actenoides excelsus","2014","EN","Endangered"
"Actinella carinofausta","2011","EN","Endangered"
"Actinella carinofausta","2000","VU","Vulnerable"
"Actinella carinofausta","1996","LR/nt","Lower Risk/near threatened"
"Actinella carinofausta","1994","R","Rare"
"Actinidia stellatopilosa","2004","EN","Endangered"
"Actiniopteris kornasii","2012","EN","Endangered"
"Actinodaphne bourneae","1998","E","Endangered"
"Actinodaphne bourneae","1998","EN","Endangered"
"Actinodaphne salicina","1998","EN","Endangered"
"Actinodaphne salicina","1998","I","Indeterminate"
"Actinokentia huerlimannii","2017","EN","Endangered"
"Actinokentia huerlimannii","1998","LR/cd","Lower Risk/conservation dependent"
"Adansonia grandidieri","2016","EN","Endangered"
"Adansonia grandidieri","1998","EN","Endangered"
"Adansonia grandidieri","1998","K","Insufficiently Known"
"Adansonia perrieri","1998","EN","Endangered"
"Adansonia perrieri","1998","K","Insufficiently Known"
"Adansonia suarezensis","2017","EN","Endangered"
"Adansonia suarezensis","1998","EN","Endangered"
"Adansonia suarezensis","1998","K","Insufficiently Known"
"Adelocosa anops","1996","EN","Endangered"
"Adelocosa anops","1994","E","Endangered"
"Adelocosa anops","1990","E","Endangered"
"Adelocosa anops","1988","E","Endangered"
"Adelocosa anops","1986","E","Endangered"
"Adelocosa anops","1983","E","Endangered"
"Adelophryne maranguapensis","2004","EN","Endangered"
"Adelopoma stolli","1996","EN","Endangered"
"Adelphicos daryi","2014","EN","Endangered"
"Adelphicos daryi","1996","EN","Endangered"
"Adelphicos daryi","1994","I","Indeterminate"
"Adelphicos ibarrorum","2013","EN","Endangered"
"Adenia dolichosiphon","2013","EN","Endangered"
"Adenia kigogoensis","2013","EN","Endangered"
"Adenia racemosa","2013","EN","Endangered"
"Adenia schliebenii","2013","EN","Endangered"
"Adenocarpus ombriosus","2011","EN","Endangered"
"Adenogramma rigida","2016","EN","Endangered"
"Adenomus kelaartii","2004","EN","Endangered"
"Adenophorus epigaeus","2016","EN","Endangered"
"Adiantum fengianum","2004","EN","Endangered"
"Adiantum sinicum","2004","EN","Endangered"
"Adinandra griffithii","1998","E","Endangered"
"Adinandra griffithii","1998","EN","Endangered"
"Advena charon","1996","EN","Endangered"
"Aechmea kentii","2003","EN","Endangered"
"Aechmea kleinii","2014","EN","Endangered"
"Aechmea kleinii","1998","R","Rare"
"Aechmea manzanaresiana","2013","EN","Endangered"
"Aechmea manzanaresiana","2003","EN","Endangered"
"Aechmea tayoensis","2003","EN","Endangered"
"Aegiphila lopez-palacii","2004","EN","Endangered"
"Aegiphila monticola","2004","EN","Endangered"
"Aegiphila monticola","1998","VU","Vulnerable"
"Aegiphila schimpffii","2004","EN","Endangered"
"Aeonium gorgoneum","2017","EN","Endangered"
"Aepypodius bruijnii","2016","EN","Endangered"
"Aepypodius bruijnii","2012","EN","Endangered"
"Aepypodius bruijnii","2008","EN","Endangered"
"Aepypodius bruijnii","2005","VU","Vulnerable"
"Aepypodius bruijnii","2004","VU","Vulnerable"
"Aepypodius bruijnii","2000","VU","Vulnerable"
