"count","category","result.taxonid","result.scientific_name","result.subspecies","result.rank","result.subpopulation"
75,"EW",1117,"Ameca splendens",NA,NA,NA
75,"EW",54583,"Anaxyrus baxteri",NA,NA,NA
75,"EW",29612,"Aylacostoma chloroticum",NA,NA,NA
75,"EW",29611,"Aylacostoma guaraniticum",NA,NA,NA
75,"EW",29613,"Aylacostoma stigmaticum",NA,NA,NA
75,"EW",34308,"Betula szaferi",NA,NA,NA
75,"EW",165228,"Bromus bromoideus",NA,NA,NA
75,"EW",165247,"Bromus interruptus",NA,NA,NA
75,"EW",51247708,"Brugmansia arborea",NA,NA,NA
75,"EW",38124,"Brugmansia aurea",NA,NA,NA
75,"EW",51247667,"Brugmansia insignis",NA,NA,NA
75,"EW",51247690,"Brugmansia sanguinea",NA,NA,NA
75,"EW",51247699,"Brugmansia suaveolens",NA,NA,NA
75,"EW",38125,"Brugmansia versicolor",NA,NA,NA
75,"EW",51247712,"Brugmansia vulcanicola",NA,NA,NA
75,"EW",22706052,"Corvus hawaiiensis",NA,NA,NA
75,"EW",38493,"Corypha taliera",NA,NA,NA
75,"EW",30366,"Cryosophila williamsii",NA,NA,NA
75,"EW",102327291,"Cryptoblepharus egeriae",NA,NA,NA
75,"EW",44109,"Cyanea pinnatifida",NA,NA,NA
75,"EW",44135,"Cyanea superba",NA,NA,NA
75,"EW",34028,"Cyanea superba ssp. superba","superba","ssp.",NA
75,"EW",6144,"Cyprinodon alvarezi",NA,NA,NA
75,"EW",6174,"Cyprinodon longidorsalis",NA,NA,NA
75,"EW",44056,"Cyrtandra waiolani",NA,NA,NA
75,"EW",56605187,"Diplazium laffanianum",NA,NA,NA
75,"EW",7121,"Elaphurus davidianus",NA,NA,NA
75,"EW",41882,"Encephalartos brevifoliolatus",NA,NA,NA
75,"EW",41896,"Encephalartos nubimontanus",NA,NA,NA
75,"EW",41764,"Encephalartos relictus",NA,NA,NA
75,"EW",41881,"Encephalartos woodii",NA,NA,NA
75,"EW",31680,"Erythroxylum echinodendron",NA,NA,NA
75,"EW",37613,"Euphorbia mayurnathanii",NA,NA,NA
75,"EW",32349,"Firmiana major",NA,NA,NA
75,"EW",30408,"Franklinia alatamaha",NA,NA,NA
75,"EW",22692441,"Hypotaenidia owstoni",NA,NA,NA
75,"EW",30932,"Kokia cookei",NA,NA,NA
75,"EW",37595,"Lachanodes arborea",NA,NA,NA
75,"EW",11559,"Lepidodactylus listeri",NA,NA,NA
75,"EW",11690,"Leptogryllus deceptor",NA,NA,NA
75,"EW",61670,"Lysimachia minoricensis",NA,NA,NA
75,"EW",32059,"Mangifera casturi",NA,NA,NA
75,"EW",37503,"Mangifera rubropetala",NA,NA,NA
75,"EW",13013,"Megupsilon aporus",NA,NA,NA
75,"EW",22678486,"Mitu mitu",NA,NA,NA
75,"EW",54837,"Nectophrynoides asperginis",NA,NA,NA
75,"EW",2173,"Nilssonia nigricans",NA,NA,NA
75,"EW",185459,"Nymphaea thermarum",NA,NA,NA
75,"EW",15568,"Oryx dammah",NA,NA,NA
75,"EW",16286,"Partula dentifera",NA,NA,NA
75,"EW",16288,"Partula faba",NA,NA,NA
75,"EW",16275,"Partula hebe",NA,NA,NA
75,"EW",16277,"Partula mirabilis",NA,NA,NA
75,"EW",16278,"Partula mooreana",NA,NA,NA
75,"EW",16320,"Partula nodosa",NA,NA,NA
75,"EW",16293,"Partula rosea",NA,NA,NA
75,"EW",16281,"Partula suturalis",NA,NA,NA
75,"EW",16345,"Partula suturalis ssp. strigosa","strigosa","ssp.",NA
75,"EW",16344,"Partula suturalis ssp. vexillum","vexillum","ssp.",NA
75,"EW",16346,"Partula taeniata ssp. elongata","elongata","ssp.",NA
75,"EW",16348,"Partula taeniata ssp. nucleola","nucleola","ssp.",NA
75,"EW",16347,"Partula taeniata ssp. simulans","simulans","ssp.",NA
75,"EW",16283,"Partula tohiveana",NA,NA,NA
75,"EW",16330,"Partula tristis",NA,NA,NA
75,"EW",16295,"Partula varia",NA,NA,NA
75,"EW",37821,"Rhododendron kanehirai",NA,NA,NA
75,"EW",133711,"Senecio leucopeplus",NA,NA,NA
75,"EW",20285,"Skiffia francesae",NA,NA,NA
75,"EW",30392,"Sophora toromiro",NA,NA,NA
75,"EW",20745,"Stenodus leucichthys",NA,NA,NA
75,"EW",37996,"Terminalia acuminata",NA,NA,NA
75,"EW",21741,"Thermosphaeroma thermophilum",NA,NA,NA
75,"EW",22725862,"Todiramphus cinnamominus",NA,NA,NA
75,"EW",30560,"Trochetiopsis erythroxylon",NA,NA,NA
75,"EW",22690740,"Zenaida graysoni",NA,NA,NA
