"name","result.year","result.code","result.category"
"Acaena exigua","2016","EX","Extinct"
"Acaena exigua","2003","EX","Extinct"
"Acalypha dikuluwensis","2012","EX","Extinct"
"Acalypha rubrinervis","2016","EX","Extinct"
"Acalypha rubrinervis","1998","EX","Extinct"
"Acalypha wilderi","2014","EX","Extinct"
"Acalypha wilderi","1998","E","Endangered"
"Acanthametropus pecatonica","1996","EX","Extinct"
"Acanthametropus pecatonica","1994","Ex","Extinct"
"Acanthametropus pecatonica","1990","Ex","Extinct"
"Acanthametropus pecatonica","1988","Ex","Extinct"
"Acanthametropus pecatonica","1986","Ex","Extinct"
"Achatinella abbreviata","1996","EX","Extinct"
"Achatinella abbreviata","1994","Ex?","Extinct?"
"Achatinella abbreviata","1990","Ex","Extinct"
"Achatinella abbreviata","1983","E","Endangered"
"Achatinella buddii","1996","EX","Extinct"
"Achatinella buddii","1994","Ex","Extinct"
"Achatinella buddii","1990","Ex","Extinct"
"Achatinella buddii","1983","E","Endangered"
"Achatinella caesia","1996","EX","Extinct"
"Achatinella caesia","1994","Ex","Extinct"
"Achatinella caesia","1990","Ex","Extinct"
"Achatinella caesia","1983","E","Endangered"
"Achatinella casta","1996","EX","Extinct"
"Achatinella casta","1994","Ex","Extinct"
"Achatinella casta","1990","Ex","Extinct"
"Achatinella casta","1983","E","Endangered"
"Achatinella decora","1996","EX","Extinct"
"Achatinella decora","1994","Ex","Extinct"
"Achatinella decora","1990","Ex","Extinct"
"Achatinella decora","1983","E","Endangered"
"Achatinella dimorpha","1996","EX","Extinct"
"Achatinella dimorpha","1994","Ex?","Extinct?"
"Achatinella dimorpha","1990","Ex","Extinct"
"Achatinella dimorpha","1983","E","Endangered"
"Achatinella elegans","1996","EX","Extinct"
"Achatinella elegans","1994","Ex?","Extinct?"
"Achatinella elegans","1990","Ex","Extinct"
"Achatinella elegans","1983","E","Endangered"
"Achatinella juddii","1996","EX","Extinct"
"Achatinella juddii","1994","Ex?","Extinct?"
"Achatinella juddii","1990","Ex","Extinct"
"Achatinella juddii","1983","E","Endangered"
"Achatinella juncea","1996","EX","Extinct"
"Achatinella juncea","1994","Ex?","Extinct?"
"Achatinella juncea","1990","Ex","Extinct"
"Achatinella juncea","1983","E","Endangered"
"Achatinella lehuiensis","1996","EX","Extinct"
"Achatinella lehuiensis","1994","Ex","Extinct"
"Achatinella lehuiensis","1990","Ex","Extinct"
"Achatinella lehuiensis","1983","E","Endangered"
"Achatinella livida","1996","EX","Extinct"
"Achatinella livida","1994","Ex","Extinct"
"Achatinella livida","1990","Ex","Extinct"
"Achatinella livida","1983","E","Endangered"
"Achatinella papyracea","1996","EX","Extinct"
"Achatinella papyracea","1994","Ex","Extinct"
"Achatinella papyracea","1990","Ex","Extinct"
"Achatinella papyracea","1983","E","Endangered"
"Achatinella spaldingi","1996","EX","Extinct"
"Achatinella spaldingi","1994","Ex","Extinct"
"Achatinella spaldingi","1990","Ex","Extinct"
"Achatinella spaldingi","1983","E","Endangered"
"Achatinella thaanumi","1996","EX","Extinct"
"Achatinella thaanumi","1994","Ex","Extinct"
"Achatinella thaanumi","1990","Ex","Extinct"
"Achatinella thaanumi","1983","E","Endangered"
"Achatinella valida","1996","EX","Extinct"
"Achatinella valida","1994","Ex","Extinct"
"Achatinella valida","1990","Ex","Extinct"
"Achatinella valida","1983","E","Endangered"
"Achyranthes atollensis","2003","EX","Extinct"
"Acipenser nudiventris Aral Sea stock","1996","EX","Extinct"
"Acrocephalus astrolabii","2017","EX","Extinct"
"Acrocephalus astrolabii","2016","EX","Extinct"
"Acrocephalus luscinius","2017","EX","Extinct"
"Acrocephalus luscinius","2016","EX","Extinct"
"Acrocephalus musae","2017","EX","Extinct"
"Acrocephalus musae","2016","EX","Extinct"
"Acrocephalus nijoi","2017","EX","Extinct"
"Acrocephalus nijoi","2016","EX","Extinct"
"Acrocephalus yamashinae","2017","EX","Extinct"
"Acrocephalus yamashinae","2016","EX","Extinct"
"Adiantum lianxianense","2004","EX","Extinct"
"Advena campbelli","1996","EX","Extinct"
"Aegolius gradyi","2016","EX","Extinct"
"Aegolius gradyi","2014","EX","Extinct"
"Afrocyclops pauliani","1996","EX","Extinct"
"Agrotis crinigera","1996","EX","Extinct"
"Agrotis crinigera","1994","Ex?","Extinct?"
"Agrotis crinigera","1990","Ex?","Extinct?"
"Agrotis crinigera","1988","Ex?","Extinct?"
"Agrotis crinigera","1986","Ex?","Extinct?"
"Agrotis fasciata","1996","EX","Extinct"
"Agrotis fasciata","1994","Ex","Extinct"
"Agrotis fasciata","1990","Ex","Extinct"
"Agrotis fasciata","1988","Ex","Extinct"
"Agrotis fasciata","1986","Ex","Extinct"
"Agrotis kerri","1996","EX","Extinct"
"Agrotis kerri","1994","Ex?","Extinct?"
"Agrotis kerri","1990","Ex?","Extinct?"
"Agrotis kerri","1988","Ex?","Extinct?"
"Agrotis kerri","1986","Ex?","Extinct?"
"Agrotis laysanensis","1996","EX","Extinct"
"Agrotis laysanensis","1994","Ex","Extinct"
"Agrotis laysanensis","1990","Ex","Extinct"
"Agrotis laysanensis","1988","Ex","Extinct"
"Agrotis laysanensis","1986","Ex","Extinct"
"Agrotis photophila","1996","EX","Extinct"
"Agrotis photophila","1994","Ex","Extinct"
"Agrotis photophila","1990","Ex","Extinct"
"Agrotis photophila","1988","Ex","Extinct"
"Agrotis photophila","1986","Ex","Extinct"
"Agrotis procellaris","1996","EX","Extinct"
"Agrotis procellaris","1994","Ex","Extinct"
"Agrotis procellaris","1990","Ex","Extinct"
"Agrotis procellaris","1988","Ex","Extinct"
"Agrotis procellaris","1986","Ex","Extinct"
"Akialoa ellisiana","2017","EX","Extinct"
"Akialoa ellisiana","2016","EX","Extinct"
"Akialoa lanaiensis","2017","EX","Extinct"
"Akialoa lanaiensis","2016","EX","Extinct"
"Akialoa obscura","2017","EX","Extinct"
"Akialoa obscura","2016","EX","Extinct"
"Akialoa obscura","2012","EX","Extinct"
"Akialoa obscura","2008","EX","Extinct"
"Akialoa obscura","2004","EX","Extinct"
"Akialoa obscura","2000","EX","Extinct"
"Akialoa obscura","1996","EX","Extinct"
"Akialoa obscura","1994","EX","Extinct"
"Akialoa obscura","1988","T","Threatened"
"Akialoa stejnegeri","2017","EX","Extinct"
"Akialoa stejnegeri","2016","EX","Extinct"
"Alasmidonta mccordi","2011","EX","Extinct"
"Alasmidonta mccordi","2000","EX","Extinct"
"Alasmidonta mccordi","1996","CR","Critically Endangered"
"Alasmidonta robusta","2000","EX","Extinct"
"Alasmidonta robusta","1996","CR","Critically Endangered"
"Alasmidonta robusta","1994","Ex","Extinct"
"Alasmidonta robusta","1990","E","Endangered"
"Alasmidonta robusta","1988","E","Endangered"
"Alasmidonta robusta","1986","I","Indeterminate"
"Alasmidonta wrightiana","2000","EX","Extinct"
"Alasmidonta wrightiana","1996","CR","Critically Endangered"
"Alasmidonta wrightiana","1994","I","Indeterminate"
"Alasmidonta wrightiana","1990","I","Indeterminate"
"Alasmidonta wrightiana","1988","I","Indeterminate"
"Alasmidonta wrightiana","1986","I","Indeterminate"
"Alburnus akili","2014","EX","Extinct"
"Alburnus akili","2006","EX","Extinct"
"Alburnus akili","1996","VU","Vulnerable"
"Alburnus akili","1994","I","Indeterminate"
"Alburnus nicaeensis","2014","EX","Extinct"
"Alectroenas nitidissimus","2016","EX","Extinct"
"Alectroenas nitidissimus","2014","EX","Extinct"
"Alectroenas nitidissimus","2012","EX","Extinct"
"Alectroenas nitidissimus","2008","EX","Extinct"
"Alectroenas nitidissimus","2004","EX","Extinct"
"Alectroenas nitidissimus","2000","EX","Extinct"
"Alectroenas nitidissimus","1994","EX","Extinct"
"Alectroenas nitidissimus","1988","EX","Extinct"
"Alectroenas payandeei","2017","EX","Extinct"
"Alectroenas payandeei","2016","EX","Extinct"
"Alectroenas payandeei","2014","EX","Extinct"
"Alinea luciae","2016","EX","Extinct"
"Alloperla roberti","1996","EX","Extinct"
"Alloperla roberti","1994","Ex","Extinct"
"Alloperla roberti","1990","Ex","Extinct"
"Alloperla roberti","1988","Ex","Extinct"
"Alloperla roberti","1986","Ex","Extinct"
"Alopecoenas ferrugineus","2016","EX","Extinct"
"Alopecoenas ferrugineus","2012","EX","Extinct"
"Alopecoenas ferrugineus","2008","EX","Extinct"
"Alopecoenas ferrugineus","2004","EX","Extinct"
"Alopecoenas ferrugineus","2000","EX","Extinct"
"Alopecoenas ferrugineus","1994","EX","Extinct"
"Alopecoenas ferrugineus","1988","EX","Extinct"
"Alopecoenas salamonis","2016","EX","Extinct"
"Alopecoenas salamonis","2012","EX","Extinct"
"Alopecoenas salamonis","2008","EX","Extinct"
"Alopecoenas salamonis","2005","EX","Extinct"
"Alopecoenas salamonis","2004","CR","Critically Endangered"
"Alopecoenas salamonis","2000","CR","Critically Endangered"
"Alopecoenas salamonis","1996","CR","Critically Endangered"
