"name","result.year","result.code","result.category"
"Acanthocobitis urophthalmus","1996","LR/cd","Lower Risk/conservation dependent"
"Acanthocobitis urophthalmus","1994","V","Vulnerable"
"Acronychia porteri","1998","LR/cd","Lower Risk/conservation dependent"
"Adinandra angulata","1998","LR/cd","Lower Risk/conservation dependent"
"Adinandra angulata","1998","V","Vulnerable"
"Adinandra integerrima","1998","LR/cd","Lower Risk/conservation dependent"
"Adinandra integerrima","1998","nt","Not Threatened"
"Adinandra parvifolia","1998","LR/cd","Lower Risk/conservation dependent"
"Alberta magna","1998","LR/cd","Lower Risk/conservation dependent"
"Alberta magna","1998","R","Rare"
"Alseodaphne dura","1998","LR/cd","Lower Risk/conservation dependent"
"Alseodaphne garciniaecarpa","1998","LR/cd","Lower Risk/conservation dependent"
"Antidesma cruciforme","1998","LR/cd","Lower Risk/conservation dependent"
"Antidesma cruciforme","1998","V","Vulnerable"
"Apiopetalum velutinum","1998","LR/cd","Lower Risk/conservation dependent"
"Apiopetalum velutinum","1998","R","Rare"
"Arbutus xalapensis","1998","LR/cd","Lower Risk/conservation dependent"
"Archidendron pahangense","1998","LR/cd","Lower Risk/conservation dependent"
"Artemia monica","1996","LR/cd","Lower Risk/conservation dependent"
"Artemia monica","1994","I","Indeterminate"
"Artemia monica","1990","I","Indeterminate"
"Artemia monica","1988","I","Indeterminate"
"Artemia monica","1986","I","Indeterminate"
"Atalaya capensis","1998","LR/cd","Lower Risk/conservation dependent"
"Atalaya capensis","1998","R","Rare"
"Attheyella yemanjae","1996","LR/cd","Lower Risk/conservation dependent"
"Aureliana fasciculata","1998","LR/cd","Lower Risk/conservation dependent"
"Austrobuxus montis-do","1998","LR/cd","Lower Risk/conservation dependent"
"Austrobuxus montis-do","1998","R","Rare"
"Baccaurea hookeri","1998","I","Indeterminate"
"Baccaurea hookeri","1998","LR/cd","Lower Risk/conservation dependent"
"Baccaurea latifolia","1998","LR/cd","Lower Risk/conservation dependent"
"Baccaurea latifolia","1998","V","Vulnerable"
"Baccaurea polyneura","1998","LR/cd","Lower Risk/conservation dependent"
"Baccaurea polyneura","1998","V","Vulnerable"
"Balaena mysticetus Bering-Chukchi-Beaufort Sea subpopulation","1996","LR/cd","Lower Risk/conservation dependent"
"Balanops balansae","1998","LR/cd","Lower Risk/conservation dependent"
"Balanops balansae","1998","R","Rare"
"Belontia signata","1996","LR/cd","Lower Risk/conservation dependent"
"Belontia signata","1994","R","Rare"
"Belontia signata","1990","R","Rare"
"Belontia signata","1988","R","Rare"
"Belontia signata","1986","R","Rare"
"Bikkia pachyphylla","1998","LR/cd","Lower Risk/conservation dependent"
"Bikkia pachyphylla","1998","R","Rare"
"Brunellia farallonensis","1998","LR/cd","Lower Risk/conservation dependent"
"Brunellia farallonensis","1998","V","Vulnerable"
"Bulnesia sarmientoi","1998","LR/cd","Lower Risk/conservation dependent"
"Calandrinia galapagosa","2000","LR/cd","Lower Risk/conservation dependent"
"Canarium pseudosumatranum","1998","LR/cd","Lower Risk/conservation dependent"
"Canarium pseudosumatranum","1998","V","Vulnerable"
"Canarium reniforme","1998","LR/cd","Lower Risk/conservation dependent"
"Canarium reniforme","1998","V","Vulnerable"
"Canthocamptus campaneri","1996","LR/cd","Lower Risk/conservation dependent"
"Casearia coriifolia","1998","LR/cd","Lower Risk/conservation dependent"
"Casearia coriifolia","1998","R","Rare"
"Chionanthus caudifolius","1998","LR/cd","Lower Risk/conservation dependent"
"Chionanthus caudifolius","1998","V","Vulnerable"
"Chionanthus lancifolius","1998","LR/cd","Lower Risk/conservation dependent"
"Chionanthus lancifolius","1998","V","Vulnerable"
"Chrysophyllum brenesii","1998","LR/cd","Lower Risk/conservation dependent"
"Chrysophyllum flexuosum","1998","LR/cd","Lower Risk/conservation dependent"
"Chrysophyllum flexuosum","1998","R","Rare"
"Chrysophyllum inornatum","1998","LR/cd","Lower Risk/conservation dependent"
"Chrysophyllum inornatum","1998","R","Rare"
"Cinnamomum micranthum","1998","LR/cd","Lower Risk/conservation dependent"
"Cleistanthus kingii","1998","I","Indeterminate"
"Cleistanthus kingii","1998","LR/cd","Lower Risk/conservation dependent"
"Cleistanthus lanuginosus","1998","LR/cd","Lower Risk/conservation dependent"
"Cleistanthus lanuginosus","1998","V","Vulnerable"
"Clethra hendersonii","1998","LR/cd","Lower Risk/conservation dependent"
"Clethra hendersonii","1998","V","Vulnerable"
"Cola semecarpophylla","1998","LR/cd","Lower Risk/conservation dependent"
"Cotoneaster granatensis","1998","LR/cd","Lower Risk/conservation dependent"
"Cotoneaster granatensis","1998","nt","Not Threatened"
"Craspedopoma hespericum","1996","LR/cd","Lower Risk/conservation dependent"
"Craspedopoma hespericum","1994","V","Vulnerable"
"Cullenia rosayroana","1998","LR/cd","Lower Risk/conservation dependent"
"Cullenia rosayroana","1998","R","Rare"
"Cupania mollis","1998","LR/cd","Lower Risk/conservation dependent"
"Cyathocalyx olivaceus","1998","LR/cd","Lower Risk/conservation dependent"
"Cyathocalyx olivaceus","1998","V","Vulnerable"
"Cyathocalyx scortechinii","1998","LR/cd","Lower Risk/conservation dependent"
"Cyathocalyx scortechinii","1998","V","Vulnerable"
"Dacryodes kingii","1998","LR/cd","Lower Risk/conservation dependent"
"Dacryodes kingii","1998","V","Vulnerable"
"Dehaasia lancifolia","1998","LR/cd","Lower Risk/conservation dependent"
"Deinbollia longiacuminata","1998","LR/cd","Lower Risk/conservation dependent"
"Deinbollia longiacuminata","1998","R","Rare"
"Diospyros johorensis","1998","LR/cd","Lower Risk/conservation dependent"
"Diospyros johorensis","1998","V","Vulnerable"
"Diospyros macrocarpa","1998","LR/cd","Lower Risk/conservation dependent"
"Diospyros macrocarpa","1998","R","Rare"
"Diplodiscus scortechinii","1998","LR/cd","Lower Risk/conservation dependent"
"Diplodiscus scortechinii","1998","V","Vulnerable"
"Drypetes cockburnii","1998","LR/cd","Lower Risk/conservation dependent"
"Elaeocarpus cordifolius","1998","LR/cd","Lower Risk/conservation dependent"
"Elaeocarpus cruciatus","1998","LR/cd","Lower Risk/conservation dependent"
"Elaeocarpus glabrescens","1998","LR/cd","Lower Risk/conservation dependent"
"Elaeocarpus nanus","1998","LR/cd","Lower Risk/conservation dependent"
"Elaeocarpus pseudopaniculatus","1998","LR/cd","Lower Risk/conservation dependent"
"Elaeocarpus reticosus","1998","LR/cd","Lower Risk/conservation dependent"
"Elaeocarpus sallehiana","1998","LR/cd","Lower Risk/conservation dependent"
"Elaeocarpus symingtonii","1998","LR/cd","Lower Risk/conservation dependent"
