"name","result.year","result.code","result.category"
"Abarema commutata","1998","LR/lc","Lower Risk/least concern"
"Acacia chiapensis","1998","LR/lc","Lower Risk/least concern"
"Acacia furcatispina","1998","LR/lc","Lower Risk/least concern"
"Acacia permixta","1998","LR/lc","Lower Risk/least concern"
"Acacia visco","1998","LR/lc","Lower Risk/least concern"
"Actinodaphne malaccensis","1998","LR/lc","Lower Risk/least concern"
"Actinodaphne montana","1998","LR/lc","Lower Risk/least concern"
"Actinodaphne pruinosa","1998","LR/lc","Lower Risk/least concern"
"Aegiphila cordifolia","1998","LR/lc","Lower Risk/least concern"
"Aegiphila sordida","1998","LR/lc","Lower Risk/least concern"
"Ageratina macbridei","1998","LR/lc","Lower Risk/least concern"
"Aglaia argentea","1998","LR/lc","Lower Risk/least concern"
"Aglaia elaeagnoidea","1998","LR/lc","Lower Risk/least concern"
"Aglaia elliptica","1998","LR/lc","Lower Risk/least concern"
"Aglaia lawii","1998","LR/lc","Lower Risk/least concern"
"Aglaia odoratissima","1998","LR/lc","Lower Risk/least concern"
"Aglaia sapindina","1998","LR/lc","Lower Risk/least concern"
"Aglaia spectabilis","1998","LR/lc","Lower Risk/least concern"
"Aglaia tomentosa","1998","LR/lc","Lower Risk/least concern"
"Ailanthus integrifolia","1998","LR/lc","Lower Risk/least concern"
"Aiouea acarodomatifera","1998","LR/lc","Lower Risk/least concern"
"Aiouea benthamiana","1998","LR/lc","Lower Risk/least concern"
"Aiouea lehmannii","1998","LR/lc","Lower Risk/least concern"
"Aiphanes hirsuta","1998","LR/lc","Lower Risk/least concern"
"Aiphanes linearis","1998","LR/lc","Lower Risk/least concern"
"Aiphanes ulei","1998","LR/lc","Lower Risk/least concern"
"Alangium griffithi","1998","LR/lc","Lower Risk/least concern"
"Alangium javanicum","1998","LR/lc","Lower Risk/least concern"
"Alangium nobile","1998","LR/lc","Lower Risk/least concern"
"Albizia decandra","1998","LR/lc","Lower Risk/least concern"
"Albizia pistaciifolia","1998","LR/lc","Lower Risk/least concern"
"Alligator mississippiensis","1996","LR/lc","Lower Risk/least concern"
"Allophylus rhomboidalis","1998","LR/lc","Lower Risk/least concern"
"Alniphyllum eberhardtii","1998","LR/lc","Lower Risk/least concern"
"Alphitonia marquesensis","1998","LR/lc","Lower Risk/least concern"
"Alphonsea curtisii","1998","LR/lc","Lower Risk/least concern"
"Alphonsea maingayi","1998","LR/lc","Lower Risk/least concern"
"Alseodaphne foxiana","1998","LR/lc","Lower Risk/least concern"
"Alseodaphne macrantha","1998","LR/lc","Lower Risk/least concern"
"Alseodaphne ridleyi","1998","LR/lc","Lower Risk/least concern"
"Alstonia angustifolia","1998","LR/lc","Lower Risk/least concern"
"Alstonia macrophylla","1998","LR/lc","Lower Risk/least concern"
"Alstonia pneumatophora","1998","LR/lc","Lower Risk/least concern"
"Alstonia rupestris","1998","LR/lc","Lower Risk/least concern"
"Alstonia scholaris","1998","LR/lc","Lower Risk/least concern"
"Alstonia spatulata","1998","LR/lc","Lower Risk/least concern"
"Ambassis elongatus","1996","LR/lc","Lower Risk/least concern"
"Ambassis elongatus","1994","K","Insufficiently Known"
"Amplirhagada elevata","1996","LR/lc","Lower Risk/least concern"
"Amplirhagada elevata","1994","V","Vulnerable"
"Aniba robusta","1998","LR/lc","Lower Risk/least concern"
