"name","before","after","N/G","year","state1","state2","result.year"
"Cephalophus spadix","VU","EN","G","2007",3,4,2007
"Gazella spekei","VU","EN","G","2007",3,4,2007
"Gorilla gorilla","EN","CR","G","2007",4,5,2007
"Lipotes vexillifer","CR","CR (PE)","G","2007",5,5,2007
"Mazama chunyi","DD","VU","N","2007",0,3,2007
"Procapra picticaudata","LC","NT","G","2007",1,2,2007
"Ardea insignis","EN","CR","N","2007",4,5,2007
"Aythya innotata","CR (PE)","CR","N","2007",5,5,2007
"Brachypteryx hyperythra","VU","NT","N","2007",3,2,2007
"Branta ruficollis","VU","EN","G","2007",3,4,2007
"Charadrius pallidus","LC","NT","N","2007",1,2,2007
"Charadrius sanctaehelenae","VU","CR","G","2007",3,5,2007
"Chthonicola sagittatus","NT","LC","N","2007",2,1,2007
"Cinclodes pabsti","LC","NT","N","2007",1,2,2007
"Coeligena orina","LC","CR","N","2007",1,5,2007
"Corvus unicolor","CR (PE)","CR","N","2007",5,5,2007
"Euphagus carolinus","LC","VU","N","2007",1,3,2007
"Eurystomus azureus","VU","NT","N","2007",3,2,2007
"Ficedula henrici","VU","NT","N","2007",3,2,2007
"Francolinus streptophorus","LC","NT","N","2007",1,2,2007
"Gallicolumba crinigera","EN","VU","N","2007",4,3,2007
"Garrulax courtoisi","LC","CR","N","2007",1,5,2007
"Gypopsitta pyrilia","VU","NT","N","2007",3,2,2007
"Gyps africanus","LC","NT","N","2007",1,2,2007
"Gyps rueppellii","LC","NT","N","2007",1,2,2007
"Heteromirafra sidamoensis","VU","EN","N","2007",3,4,2007
"Heteromunia pectoralis","NT","LC","N","2007",2,1,2007
"Houbaropsis bengalensis","EN","CR","G","2007",4,5,2007
"Macroagelaius subalaris","CR","EN","N","2007",5,4,2007
"Macronectes giganteus","VU","NT","N","2007",3,2,2007
"Melamprosops phaeosoma","CR","CR (PE)","N","2007",5,5,2007
"Neophron percnopterus","LC","EN","G","2007",1,4,2007
"Oxyura maccoa","LC","NT","N","2007",1,2,2007
"Pelecanus philippensis","VU","NT","N","2007",3,2,2007
"Penelopina nigra","NT","VU","N","2007",2,3,2007
"Phapitreron cinereiceps","CR","EN","N","2007",5,4,2007
"Phoebastria irrorata","VU","CR","G","2007",3,5,2007
"Procellaria conspicillata","CR","VU","N","2007",5,3,2007
"Psittacula eques","CR","EN","G","2007",5,4,2007
"Psittacus erithacus","LC","NT","N","2007",1,2,2007
"Sarcogyps calvus","LC","VU","G","2007",1,3,2007
"Sheppardia gunningi","VU","NT","N","2007",3,2,2007
"Siphonorhis brewsteri","DD","NT","N","2007",0,2,2007
"Trigonoceps occipitalis","LC","VU","N","2007",1,3,2007
"Aspidoscelis hyperythra","DD","LC","N","2007",0,1,2007
"Gavialis gangeticus","EN","CR","G","2007",4,5,2007
"Heloderma horridum","VU","LC","N","2007",3,1,2007
"Heloderma suspectum","VU","NT","N","2007",3,2,2007
"Kinosternon creaseri","LR/nt","LC","N","2007",2,1,2007
"Kinosternon oaxacae","LR/nt","DD","N","2007",2,0,2007
"Rhinoclemmys rubida","VU","NT","N","2007",3,2,2007
"Thamnophis hammondii","DD","LC","N","2007",0,1,2007
"Xantusia riversiana","VU","LC","N","2007",3,1,2007
"Serranochromis meridianus","LR/cd","EN","G","2007",2,4,2007
"Sphyrna mokarran","DD","EN","N","2007",0,4,2007
"Squatina aculeata","EN","CR","N","2007",4,5,2007
"Squatina guggenheim","VU","EN","N","2007",3,4,2007
"Squatina oculata","EN","CR","N","2007",4,5,2007
"Croilia mossambica","LR/nt","LC","N","2007",2,1,2007
"Barbus andrewi","VU","EN","N","2007",3,4,2007
"Barbus brevipinnis","VU","NT","N","2007",3,2,2007
"Barbus calidus","EN","VU","N","2007",4,3,2007
"Barbus hospes","LR/nt","LC","N","2007",2,1,2007
"Barbus treurensis","LR/cd","EN","N","2007",2,4,2007
"Barbus trevelyani","CR","EN","N","2007",5,4,2007
"Labeo seeberi","CR","EN","N","2007",5,4,2007
"Opsaridium peringueyi","VU","LC","N","2007",3,1,2007
"Pseudobarbus afer","LR/nt","EN","N","2007",2,4,2007
"Pseudobarbus asper","VU","EN","N","2007",3,4,2007
"Pseudobarbus burchelli","EN","CR","N","2007",4,5,2007
"Pseudobarbus burgi","CR","EN","N","2007",5,4,2007
"Pseudobarbus quathlambae","CR","EN","N","2007",5,4,2007
"Pseudobarbus tenuis","EN","NT","N","2007",4,2,2007
"Nothobranchius kafuensis","EN","LC","N","2007",4,1,2007
"Nothobranchius kirki","DD","LC","N","2007",0,1,2007
"Nothobranchius orthonotus","VU","LC","N","2007",3,1,2007
"Sandelia capensis","LR/lc","DD","N","2007",1,0,2007
"Chetia brevis","VU","EN","N","2007",3,4,2007
"Redigobius dewaali","LR/nt","LC","N","2007",2,1,2007
"Silhouettea sibayi","LR/nt","EN","N","2007",2,4,2007
"Cromileptes altivelis","DD","VU","N","2007",0,3,2007
"Mycteroperca jordani","VU","EN","N","2007",3,4,2007
"Galaxias zebratus","LR/nt","DD","N","2007",2,0,2007
"Austroglanis barnardi","CR","EN","N","2007",5,4,2007
"Austroglanis sclateri","DD","LC","N","2007",0,1,2007
"Chiloglanis bifurcus","CR","EN","N","2007",5,4,2007
"Aciagrion heterosticta","LC","DD","N","2007",1,0,2007
"Aeshna persephone","VU","LC","N","2007",3,1,2007
"Africallagma cuneistigma","EN","VU","N","2007",4,3,2007
"Anoglypta launcestonensis","VU","NT","N","2007",3,2,2007
"Bellamya monardi","EN","NT","N","2007",4,2,2007
"Biomphalaria angulosa","LR/nt","LC","N","2007",2,1,2007
"Biomphalaria salinarum","LR/nt","DD","N","2007",2,0,2007
"Bulinus canescens","LR/nt","LC","N","2007",2,1,2007
"Discocharopa mimosa","DD","LC","N","2007",0,1,2007
"Ecchlorolestes nylephtha","LC","NT","N","2007",1,2,2007
"Enallagma recurvatum","VU","LC","N","2007",3,1,2007
"Gomphus consanguis","VU","EN","N","2007",3,4,2007
"Gomphus sandrius","EN","VU","N","2007",4,3,2007
"Gomphus septima","VU","LC","N","2007",3,1,2007
"Ischnura gemina","EN","VU","N","2007",4,3,2007
"Lanistes neavei","VU","LC","N","2007",3,1,2007
"Metacnemis angusta","DD","VU","N","2007",0,3,2007
"Nehalennia pallidula","VU","NT","N","2007",3,2,2007
"Neurogomphus dissimilis","LC","DD","N","2007",1,0,2007
"Notogomphus zernyi","LC","DD","N","2007",1,0,2007
"Ophiogomphus acuminatus","VU","NT","N","2007",3,2,2007
"Ophiogomphus anomalus","LR/nt","LC","N","2007",2,1,2007
"Ophiogomphus howei","VU","LC","N","2007",3,1,2007
"Paragomphus cataractae","VU","NT","N","2007",3,2,2007
"Pila occidentalis","LR/nt","LC","N","2007",2,1,2007
"Planilaoma luckmanii","DD","LC","N","2007",0,1,2007
"Progomphus bellei","VU","NT","N","2007",3,2,2007
"Somatochlora hineana","EN","NT","N","2007",4,2,2007
"Afrocarpus dawei","LR/lc","NT","N","2007",1,2,2007
"Afrocarpus usambarensis","DD","VU","N","2007",0,3,2007
"Chlorocardium rodiei","VU","DD","N","2007",3,0,2007
"Dacrydium cornwalliana","DD","LC","N","2007",0,1,2007
"Dacrydium leptophyllum","DD","VU","N","2007",0,3,2007
"Dacrydium spathoides","DD","NT","N","2007",0,2,2007
"Falcatifolium sleumeri","DD","NT","N","2007",0,2,2007
"Hopea subalata","EN","CR","N","2007",4,5,2007
"Microbiota decussata","DD","LC","N","2007",0,1,2007
"Nageia fleuryi","DD","NT","N","2007",0,2,2007
"Pinus bhutanica","DD","LC","N","2007",0,1,2007
"Pinus bungeana","DD","LC","N","2007",0,1,2007
"Pinus dalatensis","VU","DD","N","2007",3,0,2007
"Pinus greggii","DD","NT","N","2007",0,2,2007
"Podocarpus acuminatus","DD","NT","N","2007",0,2,2007
"Podocarpus atjehensis","DD","NT","N","2007",0,2,2007
"Podocarpus barretoi","DD","NT","N","2007",0,2,2007
"Podocarpus borneensis","DD","LC","N","2007",0,1,2007
"Podocarpus capuronii","DD","EN","N","2007",0,4,2007
"Podocarpus costaricensis","DD","VU","N","2007",0,3,2007
"Podocarpus deflexus","DD","EN","N","2007",0,4,2007
"Podocarpus dispermus","DD","NT","N","2007",0,2,2007
"Podocarpus globulus","DD","EN","N","2007",0,4,2007
"Podocarpus guatemalensis","DD","LC","N","2007",0,1,2007
"Podocarpus humbertii","DD","EN","N","2007",0,4,2007
"Podocarpus lambertii","DD","NT","N","2007",0,2,2007
"Podocarpus laubenfelsii","DD","EN","N","2007",0,4,2007
