"count","category","result.taxonid","result.scientific_name","result.subspecies","result.rank","result.subpopulation"
5238,"NT",156989,"Abida gittenbergeri",NA,NA,NA
5238,"NT",190499,"Abida vergniesiana",NA,NA,NA
5238,"NT",34019,"Abies bracteata",NA,NA,NA
5238,"NT",42275,"Abies cilicica",NA,NA,NA
5238,"NT",195504,"Abies cilicica ssp. cilicica","cilicica","ssp.",NA
5238,"NT",191555,"Abies delavayi var. nukiangensis","nukiangensis","var.",NA
5238,"NT",191561,"Abies forrestii var. forrestii","forrestii","var.",NA
5238,"NT",191562,"Abies forrestii var. smithii","smithii","var.",NA
5238,"NT",34121,"Abies guatemalensis var. jaliscana","jaliscana","var.",NA
5238,"NT",42287,"Abies holophylla",NA,NA,NA
5238,"NT",42288,"Abies homolepis",NA,NA,NA
5238,"NT",191563,"Abies homolepis var. homolepis","homolepis","var.",NA
5238,"NT",31362,"Abies kawakamii",NA,NA,NA
5238,"NT",42300,"Abies spectabilis",NA,NA,NA
5238,"NT",42302,"Abies vejarii",NA,NA,NA
5238,"NT",166592,"Aborichthys kempi",NA,NA,NA
5238,"NT",754,"Abrothrix sanborni",NA,NA,NA
5238,"NT",68002824,"Abrus madagascariensis",NA,NA,NA
5238,"NT",22678440,"Aburria aburri",NA,NA,NA
5238,"NT",22483870,"Acacia asepala",NA,NA,NA
5238,"NT",19891997,"Acacia ataxiphylla",NA,NA,NA
5238,"NT",19892821,"Acacia ausfeldii",NA,NA,NA
5238,"NT",19892690,"Acacia jacksonioides",NA,NA,NA
5238,"NT",19893008,"Acacia loderi",NA,NA,NA
5238,"NT",19892073,"Acacia negrii",NA,NA,NA
5238,"NT",30425,"Acacia pennivenia",NA,NA,NA
5238,"NT",19892844,"Acacia somalensis",NA,NA,NA
5238,"NT",195372,"Acalypha cupricola",NA,NA,NA
5238,"NT",45172,"Acalypha dictyoneura",NA,NA,NA
5238,"NT",133106,"Acanthastrea hillae",NA,NA,NA
5238,"NT",133366,"Acanthastrea lordhowensis",NA,NA,NA
5238,"NT",133490,"Acanthastrea maxima",NA,NA,NA
5238,"NT",133386,"Acanthastrea rotundoflora",NA,NA,NA
5238,"NT",132929,"Acanthastrea subechinata",NA,NA,NA
5238,"NT",56054,"Acanthixalus sonjae",NA,NA,NA
5238,"NT",60802,"Acanthobrama lissneri",NA,NA,NA
5238,"NT",61453,"Acanthodactylus bedriagai",NA,NA,NA
5238,"NT",61461,"Acanthodactylus savignyi",NA,NA,NA
5238,"NT",170179,"Acanthopagrus chinshira",NA,NA,NA
5238,"NT",46118,"Acanthosyris annonagustata",NA,NA,NA
5238,"NT",168292,"Acantopsis multistigmatus",NA,NA,NA
5238,"NT",22695568,"Accipiter collaris",NA,NA,NA
5238,"NT",22695596,"Accipiter erythrauchen",NA,NA,NA
5238,"NT",22695541,"Accipiter haplochrous",NA,NA,NA
5238,"NT",22695544,"Accipiter henicogrammus",NA,NA,NA
5238,"NT",22695678,"Accipiter henstii",NA,NA,NA
5238,"NT",22695613,"Accipiter madagascariensis",NA,NA,NA
5238,"NT",22695591,"Accipiter nanus",NA,NA,NA
5238,"NT",22695453,"Accipiter poliogaster",NA,NA,NA
5238,"NT",69618813,"Acella haldemani",NA,NA,NA
5238,"NT",32810,"Acer erythranthum",NA,NA,NA
5238,"NT",161,"Achalinus werneri",NA,NA,NA
5238,"NT",187572,"Achoerodus viridis",NA,NA,NA
5238,"NT",39471,"Achyranthes talbotii",NA,NA,NA
5238,"NT",156488,"Acicula beneckei",NA,NA,NA
5238,"NT",156333,"Acicula disjuncta",NA,NA,NA
5238,"NT",217,"Acicula hausdorfi",NA,NA,NA
5238,"NT",156601,"Acicula vezzanii",NA,NA,NA
5238,"NT",64336659,"Acinipe comptei",NA,NA,NA
5238,"NT",64336679,"Acinipe eulaliae",NA,NA,NA
5238,"NT",47696467,"Acinipe galvagnii",NA,NA,NA
5238,"NT",64336701,"Acinipe mabillei",NA,NA,NA
5238,"NT",233,"Acipenser medirostris",NA,NA,NA
5238,"NT",245,"Acipenser oxyrinchus",NA,NA,NA
5238,"NT",243,"Acipenser oxyrinchus ssp. oxyrinchus","oxyrinchus","ssp.",NA
5238,"NT",31005,"Acmopyle pancheri",NA,NA,NA
5238,"NT",13188360,"Aconitum austrokoreense",NA,NA,NA
5238,"NT",44977877,"Acontias richardi",NA,NA,NA
5238,"NT",22714821,"Acrocephalus kerearako",NA,NA,NA
5238,"NT",22714874,"Acrocephalus rodericanus",NA,NA,NA
5238,"NT",22714882,"Acrocephalus sechellensis",NA,NA,NA
5238,"NT",163808,"Acrogomphus malayanus",NA,NA,NA
5238,"NT",315,"Acroloxus coloradensis",NA,NA,NA
5238,"NT",98988019,"Acropogon chalopiniae",NA,NA,NA
5238,"NT",37421,"Acropogon fatsioides",NA,NA,NA
5238,"NT",98988932,"Acropogon merytifolius",NA,NA,NA
5238,"NT",98989684,"Acropogon schefflerifolius",NA,NA,NA
5238,"NT",133195,"Acropora appressa",NA,NA,NA
5238,"NT",133604,"Acropora arabensis",NA,NA,NA
5238,"NT",133160,"Acropora austera",NA,NA,NA
5238,"NT",132933,"Acropora carduus",NA,NA,NA
5238,"NT",133250,"Acropora digitifera",NA,NA,NA
5238,"NT",132910,"Acropora divaricata",NA,NA,NA
5238,"NT",132869,"Acropora florida",NA,NA,NA
5238,"NT",133644,"Acropora formosa",NA,NA,NA
5238,"NT",133550,"Acropora glauca",NA,NA,NA
5238,"NT",132948,"Acropora granulosa",NA,NA,NA
5238,"NT",132992,"Acropora humilis",NA,NA,NA
5238,"NT",133479,"Acropora hyacinthus",NA,NA,NA
5238,"NT",132976,"Acropora loripes",NA,NA,NA
5238,"NT",133303,"Acropora lutkeni",NA,NA,NA
5238,"NT",133666,"Acropora millepora",NA,NA,NA
5238,"NT",133315,"Acropora monticulosa",NA,NA,NA
5238,"NT",133698,"Acropora nana",NA,NA,NA
5238,"NT",133239,"Acropora nasuta",NA,NA,NA
5238,"NT",133639,"Acropora pichoni",NA,NA,NA
5238,"NT",132888,"Acropora secale",NA,NA,NA
5238,"NT",133080,"Acropora selago",NA,NA,NA
5238,"NT",133020,"Acropora tenuis",NA,NA,NA
5238,"NT",166187,"Acrossocheilus rendahli",NA,NA,NA
5238,"NT",60172,"Acroteriobatus salalah",NA,NA,NA
5238,"NT",60176,"Acroteriobatus zanzibarensis",NA,NA,NA
5238,"NT",22726852,"Actenoides capucinus",NA,NA,NA
5238,"NT",22683532,"Actenoides concretus",NA,NA,NA
5238,"NT",22726844,"Actenoides monachus",NA,NA,NA
5238,"NT",22726858,"Actenoides princeps",NA,NA,NA
5238,"NT",500,"Actinella anaglyptica",NA,NA,NA
5238,"NT",22716552,"Actinodura sodangorum",NA,NA,NA
5238,"NT",34070,"Actinostrobus acuminatus",NA,NA,NA
5238,"NT",22693532,"Actophilornis albinucha",NA,NA,NA
5238,"NT",520,"Adelotus brevis",NA,NA,NA
5238,"NT",19891642,"Adesmia sanjuanensis",NA,NA,NA
5238,"NT",60755628,"Adolfus alleni",NA,NA,NA
5238,"NT",60754279,"Adolfus masavaensis",NA,NA,NA
5238,"NT",43224,"Aechmea napoensis",NA,NA,NA
5238,"NT",178839,"Aegialitis rotundifolia",NA,NA,NA
5238,"NT",178856,"Aegiceras floridum",NA,NA,NA
5238,"NT",172151,"Aegilops bicornis",NA,NA,NA
5238,"NT",110432466,"Aegilops bicornis var. bicornis","bicornis","var.",NA
5238,"NT",38135,"Aegiphila ferruginea",NA,NA,NA
5238,"NT",115943121,"Aegiphila obovata",NA,NA,NA
5238,"NT",22707440,"Aegithina viridissima",NA,NA,NA
5238,"NT",171148,"Aegopis spelaeus",NA,NA,NA
5238,"NT",171035,"Aegopis tenerrimus",NA,NA,NA
5238,"NT",22695231,"Aegypius monachus",NA,NA,NA
5238,"NT",195375,"Aeollanthus saxatilis",NA,NA,NA
5238,"NT",43103,"Aequatorium repandiforme",NA,NA,NA
5238,"NT",50302159,"Aerangis macrocentra",NA,NA,NA
5238,"NT",555,"Aeretes melanopterus",NA,NA,NA
5238,"NT",22686511,"Aerodramus francicus",NA,NA,NA
5238,"NT",22686543,"Aerodramus vulcanorum",NA,NA,NA
5238,"NT",19892408,"Aeschynomene venulosa",NA,NA,NA
5238,"NT",43104,"Aetheolaena cuencana",NA,NA,NA
5238,"NT",43109,"Aetheolaena lingulata",NA,NA,NA
5238,"NT",43111,"Aetheolaena mojandensis",NA,NA,NA
5238,"NT",22718059,"Aethopyga boltoni",NA,NA,NA
5238,"NT",22724518,"Aethopyga linaraborae",NA,NA,NA
5238,"NT",22718048,"Aethopyga primigenia",NA,NA,NA
5238,"NT",39415,"Aetobatus narinari",NA,NA,NA
5238,"NT",56083,"Afrixalus vibekensis",NA,NA,NA
5238,"NT",42437,"Afrocarpus dawei",NA,NA,NA
5238,"NT",612,"Afroedura hawequensis",NA,NA,NA
5238,"NT",196893,"Afroedura major",NA,NA,NA
5238,"NT",165386,"Afropomus balanoidea",NA,NA,NA
5238,"NT",77185986,"Agalychnis terranova",NA,NA,NA
5238,"NT",22685346,"Agapornis fischeri",NA,NA,NA
5238,"NT",22685356,"Agapornis lilianae",NA,NA,NA
5238,"NT",156708,"Agardhiella banatica",NA,NA,NA
5238,"NT",156439,"Agardhiella crassilabris",NA,NA,NA
5238,"NT",156462,"Agardhiella dabovici",NA,NA,NA
5238,"NT",157054,"Agardhiella grossui",NA,NA,NA
5238,"NT",195366,"Agardhiella langaleta",NA,NA,NA
5238,"NT",107884077,"Agardhiella mista",NA,NA,NA
