"name","result.year","state","TSFO","change.status"
"Aaadonta angaurana",1994,3,0,"U"
"Aaadonta angaurana",1996,0,2,"U"
"Aaadonta angaurana",2012,5,18,"N"
"Aaadonta constricta",1994,3,0,"U"
"Aaadonta constricta",1996,0,2,"U"
"Aaadonta constricta",2012,4,18,"N"
"Aaadonta fuscozonata",1994,3,0,"U"
"Aaadonta fuscozonata",1996,0,2,"U"
"Aaadonta fuscozonata",2012,4,18,"N"
"Aaadonta irregularis",1994,3,0,"U"
"Aaadonta irregularis",1996,0,2,"U"
"Aaadonta irregularis",2012,5,18,"N"
"Aaadonta kinlochi",1994,3,0,"U"
"Aaadonta kinlochi",1996,0,2,"U"
"Aaadonta kinlochi",2012,5,18,"N"
"Aaadonta pelewana",1994,3,0,"U"
"Aaadonta pelewana",1996,0,2,"U"
"Aaadonta pelewana",2012,5,18,"N"
"Aaptosyax grypus",1996,0,0,"U"
"Aaptosyax grypus",2011,5,15,"N"
"Abarema cochliocarpos",1998,3,0,"U"
"Abarema cochliocarpos",2012,1,14,"N"
"Abavorana luctuosa",2004,1,0,"U"
"Abavorana luctuosa",2014,1,10,"U"
"Abditomys latidens",1996,1,0,"U"
"Abditomys latidens",2008,0,12,"N"
"Abditomys latidens",2016,0,20,"U"
"Abeillia abeillei",1994,1,0,"U"
"Abeillia abeillei",2000,1,6,"U"
"Abeillia abeillei",2004,1,10,"U"
"Abeillia abeillei",2008,1,14,"U"
"Abeillia abeillei",2009,1,15,"U"
"Abeillia abeillei",2012,1,18,"U"
"Abeillia abeillei",2016,1,22,"U"
"Abeomelomys sevia",1996,1,0,"U"
"Abeomelomys sevia",2008,1,12,"U"
"Abeomelomys sevia",2016,1,20,"U"
"Abies alba",1998,1,0,"U"
"Abies alba",2014,1,16,"U"
"Abies alba",2017,1,19,"U"
"Abies amabilis",1998,1,0,"U"
"Abies amabilis",2013,1,15,"U"
"Abies balsamea",1998,1,0,"U"
"Abies balsamea",2013,1,15,"U"
"Abies beshanzuensis",1998,5,0,"U"
"Abies beshanzuensis",2013,5,15,"U"
"Abies bracteata",1998,2,0,"U"
"Abies bracteata",2013,2,15,"U"
"Abies chensiensis",1998,1,0,"U"
"Abies chensiensis",2011,1,13,"U"
"Abies cilicica",1998,1,0,"U"
"Abies cilicica",2013,2,15,"N"
"Abies concolor",1998,1,0,"U"
"Abies concolor",2013,1,15,"U"
"Abies delavayi",1998,1,0,"U"
"Abies delavayi",2011,1,13,"U"
"Abies densa",1998,1,0,"U"
"Abies densa",2013,1,15,"U"
"Abies durangensis",1998,1,0,"U"
"Abies durangensis",2013,1,15,"U"
"Abies fabri",1998,1,0,"U"
"Abies fabri",2013,3,15,"N"
"Abies fanjingshanensis",1998,4,0,"U"
"Abies fanjingshanensis",2013,4,15,"U"
"Abies fargesii",1998,1,0,"U"
"Abies fargesii",2013,1,15,"U"
"Abies firma",1998,1,0,"U"
"Abies firma",2013,1,15,"U"
"Abies forrestii",1998,1,0,"U"
"Abies forrestii",2013,1,15,"U"
"Abies fraseri",1998,3,0,"U"
"Abies fraseri",2013,4,15,"N"
"Abies grandis",1998,1,0,"U"
"Abies grandis",2013,1,15,"U"
"Abies guatemalensis",1998,3,0,"U"
"Abies guatemalensis",2013,4,15,"N"
"Abies hickelii",1998,3,0,"U"
"Abies hickelii",2013,4,15,"N"
"Abies hidalgensis",1998,0,0,"U"
"Abies hidalgensis",2007,0,9,"U"
"Abies hidalgensis",2013,3,15,"N"
"Abies holophylla",1998,1,0,"U"
"Abies holophylla",2013,2,15,"N"
"Abies homolepis",1998,1,0,"U"
"Abies homolepis",2013,2,15,"N"
"Abies kawakamii",1998,2,0,"U"
"Abies kawakamii",1998.5,1,0.5,"U"
"Abies kawakamii",2013,2,15,"U"
"Abies koreana",1998,2,0,"U"
"Abies koreana",2011,4,13,"N"
"Abies lasiocarpa",1998,1,0,"U"
"Abies lasiocarpa",2013,1,15,"U"
"Abies magnifica",1998,1,0,"U"
"Abies magnifica",2013,1,15,"U"
"Abies mariesii",1998,1,0,"U"
"Abies mariesii",2013,1,15,"U"
"Abies nephrolepis",1998,1,0,"U"
"Abies nephrolepis",2013,1,15,"U"
"Abies nordmanniana",1998,1,0,"U"
"Abies nordmanniana",2011,1,13,"U"
"Abies numidica",1998,3,0,"U"
"Abies numidica",2011,5,13,"N"
"Abies pindrow",1998,1,0,"U"
"Abies pindrow",2013,1,15,"U"
"Abies pinsapo",1998,2,0,"U"
"Abies pinsapo",2011,4,13,"G"
"Abies procera",1998,1,0,"U"
"Abies procera",2013,1,15,"U"
"Abies recurvata",1998,1,0,"U"
"Abies recurvata",2013,3,15,"N"
"Abies religiosa",1998,1,0,"U"
"Abies religiosa",2013,1,15,"U"
"Abies sachalinensis",1998,1,0,"U"
"Abies sachalinensis",2013,1,15,"U"
"Abies sibirica",1998,1,0,"U"
"Abies sibirica",2011,1,13,"U"
"Abies spectabilis",1998,1,0,"U"
"Abies spectabilis",2011,2,13,"N"
"Abies squamata",1998,3,0,"U"
"Abies squamata",2011,3,13,"U"
"Abies veitchii",1998,1,0,"U"
"Abies veitchii",2011,1,13,"U"
"Abies vejarii",1998,1,0,"U"
"Abies vejarii",2013,2,15,"N"
"Abies yuanbaoshanensis",1998,5,0,"U"
"Abies yuanbaoshanensis",2000,5,2,"U"
"Abies yuanbaoshanensis",2011,5,13,"U"
"Abies ziyuanensis",1998,5,0,"U"
"Abies ziyuanensis",2011,4,13,"N"
"Ablepharus budaki",2006,1,0,"U"
"Ablepharus budaki",2009,1,3,"U"
"Ablepharus deserti",2010,1,0,"U"
"Ablepharus deserti",2017,1,7,"U"
"Ablepharus kitaibelii",2006,1,0,"U"
"Ablepharus kitaibelii",2009,1,3,"U"
"Ablepharus kitaibelii",2017,1,11,"U"
"Abrocoma bennettii",1996,1,0,"U"
"Abrocoma bennettii",2008,1,12,"U"
"Abrocoma bennettii",2016,1,20,"U"
"Abrocoma boliviensis",1996,3,0,"U"
"Abrocoma boliviensis",2008,5,12,"N"
"Abrocoma boliviensis",2016,5,20,"U"
"Abrocoma budini",2008,0,0,"U"
"Abrocoma budini",2016,0,8,"U"
"Abrocoma cinerea",1996,1,0,"U"
"Abrocoma cinerea",2008,1,12,"U"
"Abrocoma cinerea",2016,1,20,"U"
"Abrocoma famatina",2008,0,0,"U"
"Abrocoma famatina",2016,0,8,"U"
"Abrocoma shistacea",2008,0,0,"U"
"Abrocoma shistacea",2016,1,8,"N"
"Abrocoma uspallata",2008,0,0,"U"
"Abrocoma uspallata",2016,0,8,"U"
"Abrocoma vaccarum",2008,0,0,"U"
"Abrocoma vaccarum",2016,0,8,"U"
"Abronia matudai",2007,4,0,"U"
"Abronia matudai",2013,4,6,"U"
"Abronia montecristoi",1994,4,0,"U"
"Abronia montecristoi",1996,5,2,"U"
"Abronia montecristoi",2013,4,19,"N"
"Abronia ochoterenai",2007,0,0,"U"
"Abronia ochoterenai",2013,0,6,"U"
"Abroscopus albogularis",1994,1,0,"U"
"Abroscopus albogularis",2000,1,6,"U"
"Abroscopus albogularis",2004,1,10,"U"
"Abroscopus albogularis",2008,1,14,"U"
"Abroscopus albogularis",2009,1,15,"U"
"Abroscopus albogularis",2012,1,18,"U"
"Abroscopus albogularis",2016,1,22,"U"
"Abroscopus schisticeps",1994,1,0,"U"
"Abroscopus schisticeps",2000,1,6,"U"
"Abroscopus schisticeps",2004,1,10,"U"
"Abroscopus schisticeps",2008,1,14,"U"
"Abroscopus schisticeps",2009,1,15,"U"
"Abroscopus schisticeps",2012,1,18,"U"
"Abroscopus schisticeps",2016,1,22,"U"
"Abroscopus superciliaris",1994,1,0,"U"
"Abroscopus superciliaris",2000,1,6,"U"
