"name","result.year","result.code","result.category"
"Abarema abbottii","1998","VU","Vulnerable"
"Abarema bigemina","1998","E","Endangered"
"Abarema bigemina","1998","VU","Vulnerable"
"Abarema callejasii","1998","VU","Vulnerable"
"Abarema centiflora","1998","VU","Vulnerable"
"Abarema filamentosa","1998","VU","Vulnerable"
"Abarema ganymedea","1998","VU","Vulnerable"
"Abarema josephi","1998","VU","Vulnerable"
"Abarema killipii","1998","VU","Vulnerable"
"Abarema lehmannii","1998","VU","Vulnerable"
"Abarema obovata","1998","VU","Vulnerable"
"Abarema oxyphyllidia","1998","VU","Vulnerable"
"Abarema racemiflora","1998","VU","Vulnerable"
"Abarema turbinata","1998","VU","Vulnerable"
"Abdulmajidia chaniana","1998","V","Vulnerable"
"Abdulmajidia chaniana","1998","VU","Vulnerable"
"Abdulmajidia maxwelliana","1998","V","Vulnerable"
"Abdulmajidia maxwelliana","1998","VU","Vulnerable"
"Abida ateni","2011","VU","Vulnerable"
"Abies fabri","2013","VU","Vulnerable"
"Abies fabri","1998","LR/lc","Lower Risk/least concern"
"Abies hidalgensis","2013","VU","Vulnerable"
"Abies hidalgensis","2007","DD","Data Deficient"
"Abies hidalgensis","1998","DD","Data Deficient"
"Abies hidalgensis","1998","R","Rare"
"Abies recurvata","2013","VU","Vulnerable"
"Abies recurvata","1998","LR/lc","Lower Risk/least concern"
"Abies squamata","2011","VU","Vulnerable"
"Abies squamata","1998","V","Vulnerable"
"Abies squamata","1998","VU","Vulnerable"
"Aborichthys garoensis","2010","VU","Vulnerable"
"Aborichthys tikaderi","2010","VU","Vulnerable"
"Abronia anzuetoi","2014","VU","Vulnerable"
"Abronia mixteca","2007","VU","Vulnerable"
"Abronia oaxacae","2007","VU","Vulnerable"
"Abronia taeniata","2007","VU","Vulnerable"
"Abronia vasconcelosii","2013","VU","Vulnerable"
"Abutilon sachetianum","1998","R","Rare"
"Abutilon sachetianum","1998","VU","Vulnerable"
"Acacia albicorticata","1998","VU","Vulnerable"
"Acacia ankokib","2012","VU","Vulnerable"
"Acacia ankokib","1998","LR/nt","Lower Risk/near threatened"
"Acacia ankokib","1998","R","Rare"
"Acacia aphylla","2017","VU","Vulnerable"
"Acacia auratiflora","2017","VU","Vulnerable"
"Acacia campbellii","1998","R","Rare"
"Acacia campbellii","1998","VU","Vulnerable"
"Acacia crassicarpa","1998","VU","Vulnerable"
"Acacia densispina","1998","R","Rare"
"Acacia densispina","1998","VU","Vulnerable"
"Acacia etilis","1998","VU","Vulnerable"
"Acacia ferruginea","1998","VU","Vulnerable"
"Acacia flagellaris","1998","R","Rare"
"Acacia flagellaris","1998","VU","Vulnerable"
"Acacia koaia","2003","VU","Vulnerable"
"Acacia koaia","1998","nt","Not Threatened"
"Acacia koaia","1998","VU","Vulnerable"
"Acacia latispina","2014","VU","Vulnerable"
"Acacia manubensis","1998","R","Rare"
"Acacia manubensis","1998","VU","Vulnerable"
"Acacia octonervia","2012","VU","Vulnerable"
"Acacia prasinata","1998","E","Endangered"
"Acacia prasinata","1998","VU","Vulnerable"
"Acacia pseudonigrescens","1998","E","Endangered"
"Acacia pseudonigrescens","1998","VU","Vulnerable"
"Acacia purpurea","1998","K","Insufficiently Known"
"Acacia purpurea","1998","VU","Vulnerable"
"Acacia venosa","1998","E","Endangered"
"Acacia venosa","1998","VU","Vulnerable"
"Acacia villosa","1998","VU","Vulnerable"
"Acalypha andina","2004","VU","Vulnerable"
"Acalypha guineensis","2017","VU","Vulnerable"
"Acalypha hontauyuensis","1998","V","Vulnerable"
"Acalypha hontauyuensis","1998","VU","Vulnerable"
"Acalypha lepinei","1998","I","Indeterminate"
"Acalypha lepinei","1998","VU","Vulnerable"
"Acalypha suirenbiensis","1998","V","Vulnerable"
"Acalypha suirenbiensis","1998","VU","Vulnerable"
"Acalypha tunguraguae","2004","VU","Vulnerable"
"Acanthastrea bowerbanki","2008","VU","Vulnerable"
"Acanthastrea brevis","2014","VU","Vulnerable"
"Acanthastrea brevis","2008","VU","Vulnerable"
"Acanthastrea faviaformis","2008","VU","Vulnerable"
"Acanthastrea hemprichii","2008","VU","Vulnerable"
"Acanthastrea ishigakiensis","2014","VU","Vulnerable"
"Acanthastrea ishigakiensis","2008","VU","Vulnerable"
"Acanthastrea regularis","2014","VU","Vulnerable"
"Acanthastrea regularis","2008","VU","Vulnerable"
"Acanthemblemaria atrata","2010","VU","Vulnerable"
"Acanthemblemaria castroi","2010","VU","Vulnerable"
"Acanthemblemaria mangognatha","2010","VU","Vulnerable"
"Acanthemblemaria stephensi","2010","VU","Vulnerable"
"Acanthennea erinacea","2009","VU","Vulnerable"
"Acanthobrama telavivensis","2014","VU","Vulnerable"
"Acanthobrama telavivensis","2006","EW","Extinct in the Wild"
"Acanthochlamys bracteata","2017","VU","Vulnerable"
"Acanthocyclops hypogeus","1996","VU","Vulnerable"
"Acanthodactylus felicis","2012","VU","Vulnerable"
"Acanthodactylus pardalis","2006","VU","Vulnerable"
"Acanthodrilus kermadecensis","2017","VU","Vulnerable"
"Acanthomyops latipes","1996","VU","Vulnerable"
"Acanthomyops murphii","1996","VU","Vulnerable"
"Acanthopagrus sivicolus","2014","VU","Vulnerable"
"Acanthopagrus vagus","2014","VU","Vulnerable"
"Acanthopale decempedalis","2014","VU","Vulnerable"
"Acanthopale decempedalis","2004","VU","Vulnerable"
"Acanthophis cryptamydros","2017","VU","Vulnerable"
"Acanthosyris asipapote","1998","VU","Vulnerable"
"Acanthurus chronixis","2012","VU","Vulnerable"
"Acanthus kulalensis","2015","VU","Vulnerable"
"Acantopsis octoactinotos","2009","VU","Vulnerable"
"Acca lanuginosa","1998","V","Vulnerable"
"Acca lanuginosa","1998","VU","Vulnerable"
"Accipiter brachyurus","2016","VU","Vulnerable"
"Accipiter brachyurus","2012","VU","Vulnerable"
"Accipiter brachyurus","2008","VU","Vulnerable"
"Accipiter brachyurus","2004","VU","Vulnerable"
"Accipiter brachyurus","2000","VU","Vulnerable"
"Accipiter brachyurus","1996","VU","Vulnerable"
"Accipiter brachyurus","1994","VU","Vulnerable"
"Accipiter brachyurus","1988","T","Threatened"
"Accipiter butleri","2016","VU","Vulnerable"
"Accipiter butleri","2012","VU","Vulnerable"
"Accipiter butleri","2008","VU","Vulnerable"
"Accipiter butleri","2004","VU","Vulnerable"
"Accipiter butleri","2002","VU","Vulnerable"
"Accipiter butleri","2000","LR/nt","Lower Risk/near threatened"
"Accipiter butleri","1994","LR/nt","Lower Risk/near threatened"
"Accipiter butleri","1988","LR/lc","Lower Risk/least concern"
"Accipiter imitator","2016","VU","Vulnerable"
"Accipiter imitator","2012","VU","Vulnerable"
"Accipiter imitator","2008","VU","Vulnerable"
"Accipiter imitator","2004","VU","Vulnerable"
"Accipiter imitator","2000","VU","Vulnerable"
"Accipiter imitator","1996","EN","Endangered"
"Accipiter imitator","1994","EN","Endangered"
"Accipiter imitator","1988","T","Threatened"
"Accipiter luteoschistaceus","2016","VU","Vulnerable"
"Accipiter luteoschistaceus","2012","VU","Vulnerable"
"Accipiter luteoschistaceus","2008","VU","Vulnerable"
"Accipiter luteoschistaceus","2004","VU","Vulnerable"
"Accipiter luteoschistaceus","2000","VU","Vulnerable"
"Accipiter luteoschistaceus","1994","LR/nt","Lower Risk/near threatened"
"Accipiter luteoschistaceus","1988","LR/lc","Lower Risk/least concern"
"Accipiter princeps","2016","VU","Vulnerable"
"Accipiter princeps","2012","VU","Vulnerable"
"Accipiter princeps","2010","VU","Vulnerable"
"Accipiter princeps","2008","VU","Vulnerable"
"Accipiter princeps","2004","NT","Near Threatened"
"Accipiter princeps","2000","LR/nt","Lower Risk/near threatened"
"Accipiter princeps","1994","LR/nt","Lower Risk/near threatened"
"Accipiter princeps","1988","NT","Near Threatened"
"Acer duplicatoserratum","1998","VU","Vulnerable"
"Acer miaotaiense","2004","VU","Vulnerable"
"Acer miaotaiense","1998","VU","Vulnerable"
"Acerodon celebensis","2016","VU","Vulnerable"
"Acerodon celebensis","2008","LC","Least Concern"
"Acerodon celebensis","1996","LR/nt","Lower Risk/near threatened"
"Acerodon leucotis","2008","VU","Vulnerable"
"Acerodon leucotis","1996","VU","Vulnerable"
"Acerodon mackloti","2016","VU","Vulnerable"
"Acerodon mackloti","2008","VU","Vulnerable"
"Acerodon mackloti","1996","LR/lc","Lower Risk/least concern"
"Aceros nipalensis","2017","VU","Vulnerable"
"Aceros nipalensis","2016","VU","Vulnerable"
"Aceros nipalensis","2012","VU","Vulnerable"
"Aceros nipalensis","2008","VU","Vulnerable"
"Aceros nipalensis","2004","VU","Vulnerable"
"Aceros nipalensis","2000","VU","Vulnerable"
"Aceros nipalensis","1996","VU","Vulnerable"
"Aceros nipalensis","1994","VU","Vulnerable"
"Aceros nipalensis","1988","T","Threatened"
"Achalinus hainanus","2017","VU","Vulnerable"
"Achalinus hainanus","2014","VU","Vulnerable"
"Acharagma roseanum","2017","VU","Vulnerable"
"Acharagma roseanum","2013","VU","Vulnerable"
"Acheilognathus longipinnis","1996","VU","Vulnerable"
"Acheilognathus longipinnis","1994","E","Endangered"
"Achnatherum roshevitzii","2014","VU","Vulnerable"
"Achoerodus gouldii","2010","VU","Vulnerable"
"Achondrostoma arcasii","1996","LR/lc","Lower Risk/least concern"
"Achyranthes splendens","2003","VU","Vulnerable"
"Achyrocline hallii","2003","VU","Vulnerable"
"Acianthera malachantha","2013","VU","Vulnerable"
"Acianthera tokachii","2013","VU","Vulnerable"
"Acicula benoiti","2011","VU","Vulnerable"
"Acicula palaestinensis","1996","VU","Vulnerable"
"Acidocroton verrucosus","1998","R","Rare"
"Acidocroton verrucosus","1998","VU","Vulnerable"
"Acilius duvergeri","1996","VU","Vulnerable"
"Acilius duvergeri","1994","I","Indeterminate"
"Acinolaemus carcharodon","2016","VU","Vulnerable"
"Acinonyx jubatus","2015","VU","Vulnerable"
"Acinonyx jubatus","2008","VU","Vulnerable"
"Acinonyx jubatus","2002","VU","Vulnerable"
"Acinonyx jubatus","1996","VU","Vulnerable"
"Acinonyx jubatus","1994","V","Vulnerable"
"Acinonyx jubatus","1990","V","Vulnerable"
"Acinonyx jubatus","1988","V","Vulnerable"
"Acinonyx jubatus","1986","V","Vulnerable"
"Aciotis asplundii","2004","VU","Vulnerable"
"Acipenser brevirostrum","2004","VU","Vulnerable"
"Acipenser brevirostrum","1996","VU","Vulnerable"
"Acipenser brevirostrum","1994","V","Vulnerable"
"Acipenser brevirostrum","1990","V","Vulnerable"
"Acipenser brevirostrum","1988","V","Vulnerable"
"Acipenser brevirostrum","1986","V","Vulnerable"
"Acipenser ruthenus","2010","VU","Vulnerable"
"Acipenser ruthenus","1996","VU","Vulnerable"
"Acmadenia faucitincta","2016","VU","Vulnerable"
"Acmadenia laxa","2016","VU","Vulnerable"
"Acmadenia laxa","1998","V","Vulnerable"
"Acmella leucantha","2003","VU","Vulnerable"
"Aconitum violaceum","2015","VU","Vulnerable"
"Acrida bara","2013","VU","Vulnerable"
"Acridotheres javanicus","2016","VU","Vulnerable"
"Acrobatornis fonsecai","2017","VU","Vulnerable"
"Acrobatornis fonsecai","2016","VU","Vulnerable"
"Acrobatornis fonsecai","2012","VU","Vulnerable"
"Acrobatornis fonsecai","2008","VU","Vulnerable"
"Acrobatornis fonsecai","2004","VU","Vulnerable"
"Acrobatornis fonsecai","2000","VU","Vulnerable"
"Acrobatornis fonsecai","1994","NR","Not Recognized"
"Acrobatornis fonsecai","1988","NR","Not Recognized"
"Acrocephalus brevipennis","2017","EN","Endangered"
"Acrocephalus brevipennis","2017","VU","Vulnerable"
"Acrocephalus brevipennis","2016","EN","Endangered"
"Acrocephalus brevipennis","2012","EN","Endangered"
"Acrocephalus brevipennis","2008","EN","Endangered"
