"name","result.year","state","TSFO","change.status"
"Aaadonta angaurana",1994,3,0,NA
"Aaadonta angaurana",1996,0,2,NA
"Aaadonta angaurana",2012,5,18,"N"
"Aaadonta constricta",1994,3,0,NA
"Aaadonta constricta",1996,0,2,NA
"Aaadonta constricta",2012,4,18,"N"
"Aaadonta fuscozonata",1994,3,0,NA
"Aaadonta fuscozonata",1996,0,2,NA
"Aaadonta fuscozonata",2012,4,18,"N"
"Aaadonta irregularis",1994,3,0,NA
"Aaadonta irregularis",1996,0,2,NA
"Aaadonta irregularis",2012,5,18,"N"
"Aaadonta kinlochi",1994,3,0,NA
"Aaadonta kinlochi",1996,0,2,NA
"Aaadonta kinlochi",2012,5,18,"N"
"Aaadonta pelewana",1994,3,0,NA
"Aaadonta pelewana",1996,0,2,NA
"Aaadonta pelewana",2012,5,18,"N"
"Aaptosyax grypus",1996,0,0,NA
"Aaptosyax grypus",2011,5,15,"N"
"Abarema cochliocarpos",1998,3,0,NA
"Abarema cochliocarpos",2012,1,14,"N"
"Abavorana luctuosa",2004,1,0,NA
"Abavorana luctuosa",2014,1,10,NA
"Abditomys latidens",1996,1,0,NA
"Abditomys latidens",2008,0,12,"N"
"Abditomys latidens",2016,0,20,NA
"Abeillia abeillei",1994,1,0,NA
"Abeillia abeillei",2000,1,6,NA
"Abeillia abeillei",2004,1,10,NA
"Abeillia abeillei",2008,1,14,NA
"Abeillia abeillei",2009,1,15,NA
"Abeillia abeillei",2012,1,18,NA
"Abeillia abeillei",2016,1,22,NA
"Abeomelomys sevia",1996,1,0,NA
"Abeomelomys sevia",2008,1,12,NA
"Abeomelomys sevia",2016,1,20,NA
"Abies alba",1998,1,0,NA
"Abies alba",2014,1,16,NA
"Abies alba",2017,1,19,NA
"Abies amabilis",1998,1,0,NA
"Abies amabilis",2013,1,15,NA
"Abies balsamea",1998,1,0,NA
"Abies balsamea",2013,1,15,NA
"Abies beshanzuensis",1998,5,0,NA
"Abies beshanzuensis",2013,5,15,NA
