"Excluded_Species"
"1"
"2"
"3"
"4"
"5"
"6"
"7"
"8"
"9"
"10"
"11"
"12"
"13"
"14"
"15"
"16"
"17"
"19"
"18"
"20"
"22"
"23"
"21"
"24"
"25"
"26"
"27"
"28"
"29"
"30"
"31"
"32"
"33"
"34"
"35"
"36"
"37"
"38"
"68"
"69"
"39"
"40"
"41"
"42"
"43"
"44"
"45"
"46"
"47"
"48"
"49"
"50"
"51"
"52"
"53"
"54"
"55"
"56"
"57"
"58"
"59"
"63"
"60"
"61"
"62"
"64"
"65"
"66"
"67"
"Bulinus octaploidus"
"Caecorhamdella brasiliensis"
"Calamoecia zeidleri"
"Calconiscellus gotscheensis"
"Callionymus sanctaehelenae"
"Calotes liocephalus"
"Camptoceras hirasei"
"Canthocamptus campaneri"
"Cardiocondyla zoserka"
"Carinurella paradoxa"
"Castalia martensi"
"Cataglyphis hannae"
"Cerion nanus"
"Ceuthonectes rouchi"
"Chalepoxenus brunneus"
"Chalepoxenus muellerianus"
"Chalepoxenus kutteri"
"Chalepoxenus spinosus"
"Chalepoxenus tarbinskii"
"Chalepoxenus tauricus"
"Chalepoxenus tramieri"
"Chalepoxenus zabelini"
"Chamalychaeus expanstoma"
"Chamalychaeus miyazakii"
"Chamalychaeus takahashii"
"Chamalychaeus yanoshigehumii"
"Chelodina oblonga"
"Cherax parvus"
"Cherax nucifraga"
"Cherax destructor"
"Chirocephalus croaticus"
"Chirocephalus reiseri"
"Chirocephalus pelagonicus"
"Chondropoma callipeplum"
"Christianoconcha quintalia"
"Cipangochalax placeonovitas"
"Cipangocharax okamurai"
"Claudius angustatus"
"Clavator moreleti"
"Actinemys marmorata"
"Cochliopina compacta"
"Cocoharpinia iliffei"
"Collisella edmitchelli"
"Colophon primosi"
"Colophon cassoni"
"Colophon montisatris"
"Colophon berrisfordi"
"Colophon thunbergi"
"Colophon whitei"
"Colophon haughtoni"
"Colophon barnardi"
"Colophon eastmani"
"Colophon westwoodi"
"Colophon neli"
"Colophon cameroni"
"Colophon stokoei"
"Colophon izardi"
"Conozoa hyalina"
"Conus kohni"
"Crassispira sacerdotalis"
"Crematogaster atilanica"
"Cryptazeca kobelti"
"Curassanthura bermudensis"
"Cyathopoma nishinoi"
"Cysticus gutta"
"Cysticus josephinae"
"Danio aequipinnulus"
"Daphnia coronata"
"Dexteria floridana"
"Diaptomus rostripes"
"Diastole tenuistriata"
"Diplodon dunkerianus"
"Diplodon expansus"
"Diplodon fontaineanus"
"Diplodon pfeifferi"
"Diplommatina circumstomata"
"Diplommatina lateralis"
"Dolapex amiculus"
"Doronomyrmex kutteri"
"Doronomyrmex pacis"
"Doronomyrmex pocahontas"
"Draparnaudia anniae"
"Draparnaudia subnecata"
"Drymaeus henseli"
"Dupontia levis"
"Dupontia nitella"
"Dupontia perlucida"
"Dupontia poweri"
"Dupontia proletaria"
"Dussartius baeticus"
"Edentulina usambarensis"
"Elaphoidella amabilis"
"Elaphoidella franci"
"Elaphoidella jeanneli"
"Elaphoidella kieferi"
"Elasmias jaurffreti"
"Elasmias cernicum"
"Eleutherodactylus principalis"
"Elimia acuta"
"Elimia aterina"
"Elimia porrecta"
"Elimia pybasi"
"Elimia strigosa"
"Elimia teres"
