"count","category","result.taxonid","result.scientific_name","result.subspecies","result.rank","result.subpopulation"
43971,"LC",61120,"Abactochromis labrosus",NA,NA,NA
43971,"LC",36560,"Abarema cochliocarpos",NA,NA,NA
43971,"LC",62466,"Abarema curvicarpa",NA,NA,NA
43971,"LC",58647,"Abavorana luctuosa",NA,NA,NA
43971,"LC",22687170,"Abeillia abeillei",NA,NA,NA
43971,"LC",17879,"Abeomelomys sevia",NA,NA,NA
43971,"LC",156905,"Abida attenuata",NA,NA,NA
43971,"LC",156761,"Abida bigerrensis",NA,NA,NA
43971,"LC",156390,"Abida cylindrica",NA,NA,NA
43971,"LC",156823,"Abida occidentalis",NA,NA,NA
43971,"LC",156351,"Abida partioti",NA,NA,NA
43971,"LC",156829,"Abida polyodon",NA,NA,NA
43971,"LC",156755,"Abida pyrenaearia",NA,NA,NA
43971,"LC",157127,"Abida secale",NA,NA,NA
43971,"LC",157170,"Abida vasconica",NA,NA,NA
43971,"LC",42270,"Abies alba",NA,NA,NA
43971,"LC",42271,"Abies amabilis",NA,NA,NA
43971,"LC",42272,"Abies balsamea",NA,NA,NA
43971,"LC",46521861,"Abies balsamea var. balsamea","balsamea","var.",NA
43971,"LC",38320,"Abies cephalonica",NA,NA,NA
43971,"LC",42274,"Abies chensiensis",NA,NA,NA
43971,"LC",34117,"Abies chensiensis ssp. chensiensis","chensiensis","ssp.",NA
43971,"LC",191552,"Abies chensiensis ssp. salouenensis","salouenensis","ssp.",NA
43971,"LC",34118,"Abies chensiensis ssp. yulongxueshanensis","yulongxueshanensis","ssp.",NA
43971,"LC",42276,"Abies concolor",NA,NA,NA
43971,"LC",42277,"Abies delavayi",NA,NA,NA
43971,"LC",191553,"Abies delavayi var. delavayi","delavayi","var.",NA
43971,"LC",191554,"Abies delavayi var. motuoensis","motuoensis","var.",NA
43971,"LC",42278,"Abies densa",NA,NA,NA
43971,"LC",42279,"Abies durangensis",NA,NA,NA
43971,"LC",42281,"Abies fargesii",NA,NA,NA
43971,"LC",191558,"Abies fargesii var. fargesii","fargesii","var.",NA
43971,"LC",46181060,"Abies fargesii var. sutchuensis","sutchuensis","var.",NA
43971,"LC",42282,"Abies firma",NA,NA,NA
43971,"LC",42283,"Abies forrestii",NA,NA,NA
43971,"LC",191560,"Abies forrestii var. ferreana","ferreana","var.",NA
43971,"LC",34124,"Abies forrestii var. georgei","georgei","var.",NA
43971,"LC",42284,"Abies grandis",NA,NA,NA
43971,"LC",42289,"Abies lasiocarpa",NA,NA,NA
43971,"LC",42290,"Abies magnifica",NA,NA,NA
43971,"LC",42291,"Abies mariesii",NA,NA,NA
43971,"LC",42292,"Abies nephrolepis",NA,NA,NA
43971,"LC",42293,"Abies nordmanniana",NA,NA,NA
43971,"LC",196098,"Abies nordmanniana ssp. nordmanniana","nordmanniana","ssp.",NA
43971,"LC",42294,"Abies pindrow",NA,NA,NA
43971,"LC",42296,"Abies procera",NA,NA,NA
43971,"LC",39592,"Abies religiosa",NA,NA,NA
43971,"LC",42298,"Abies sachalinensis",NA,NA,NA
43971,"LC",191571,"Abies sachalinensis var. mayriana","mayriana","var.",NA
43971,"LC",191573,"Abies sachalinensis var. sachalinensis","sachalinensis","var.",NA
43971,"LC",42299,"Abies sibirica",NA,NA,NA
43971,"LC",34144,"Abies sibirica ssp. semenovii","semenovii","ssp.",NA
43971,"LC",191574,"Abies sibirica ssp. sibirica","sibirica","ssp.",NA
43971,"LC",42301,"Abies veitchii",NA,NA,NA
43971,"LC",191575,"Abies veitchii var. veitchii","veitchii","var.",NA
43971,"LC",160511,"Abisara delicata",NA,NA,NA
43971,"LC",160665,"Abisara geza",NA,NA,NA
43971,"LC",159883,"Abisara rutherfordii",NA,NA,NA
43971,"LC",13486514,"Ablennes hians",NA,NA,NA
43971,"LC",48839409,"Ablepharus bivittatus",NA,NA,NA
43971,"LC",61450,"Ablepharus budaki",NA,NA,NA
43971,"LC",164622,"Ablepharus chernovi",NA,NA,NA
43971,"LC",178546,"Ablepharus deserti",NA,NA,NA
43971,"LC",29691,"Ablepharus kitaibelii",NA,NA,NA
43971,"LC",48839132,"Ablepharus lindbergi",NA,NA,NA
43971,"LC",61451,"Ablepharus rueppellii",NA,NA,NA
43971,"LC",166431,"Aborichthys elongatus",NA,NA,NA
43971,"LC",64593919,"Abrahamia grandidieri",NA,NA,NA
43971,"LC",64593943,"Abrahamia sericea",NA,NA,NA
43971,"LC",163184,"Abralia andamanica",NA,NA,NA
43971,"LC",163302,"Abralia astrosticta",NA,NA,NA
43971,"LC",163028,"Abralia redfieldi",NA,NA,NA
43971,"LC",163274,"Abralia similis",NA,NA,NA
43971,"LC",163298,"Abralia steindachneri",NA,NA,NA
43971,"LC",163262,"Abralia trigonura",NA,NA,NA
43971,"LC",163114,"Abralia veranyi",NA,NA,NA
43971,"LC",163300,"Abraliopsis affinis",NA,NA,NA
43971,"LC",163405,"Abraliopsis falco",NA,NA,NA
43971,"LC",163094,"Abraliopsis felis",NA,NA,NA
43971,"LC",163235,"Abraliopsis gilchristi",NA,NA,NA
43971,"LC",163035,"Abraliopsis lineata",NA,NA,NA
43971,"LC",163052,"Abraliopsis morisi",NA,NA,NA
43971,"LC",162933,"Abraliopsis pacificus",NA,NA,NA
43971,"LC",135696,"Abramis brama",NA,NA,NA
43971,"LC",61660294,"Abramites eques",NA,NA,NA
43971,"LC",47760825,"Abrawayaomys ruschii",NA,NA,NA
43971,"LC",42656,"Abrocoma bennettii",NA,NA,NA
43971,"LC",42657,"Abrocoma cinerea",NA,NA,NA
43971,"LC",136525,"Abrocoma shistacea",NA,NA,NA
43971,"LC",63680,"Abronia lythrochila",NA,NA,NA
43971,"LC",63690,"Abronia smithi",NA,NA,NA
43971,"LC",22715451,"Abroscopus albogularis",NA,NA,NA
43971,"LC",22715454,"Abroscopus schisticeps",NA,NA,NA
43971,"LC",22731005,"Abroscopus superciliaris",NA,NA,NA
43971,"LC",4803,"Abrothrix andinus",NA,NA,NA
43971,"LC",735,"Abrothrix illutea",NA,NA,NA
43971,"LC",4804,"Abrothrix jelskii",NA,NA,NA
43971,"LC",740,"Abrothrix lanosus",NA,NA,NA
43971,"LC",743,"Abrothrix longipilis",NA,NA,NA
43971,"LC",751,"Abrothrix olivaceus",NA,NA,NA
43971,"LC",70102613,"Abrus aureus",NA,NA,NA
43971,"LC",19892437,"Abrus schimperi",NA,NA,NA
43971,"LC",188304,"Abudefduf abdominalis",NA,NA,NA
43971,"LC",188532,"Abudefduf bengalensis",NA,NA,NA
43971,"LC",183483,"Abudefduf concolor",NA,NA,NA
43971,"LC",188390,"Abudefduf conformis",NA,NA,NA
43971,"LC",183460,"Abudefduf declivifrons",NA,NA,NA
43971,"LC",188371,"Abudefduf lorenzi",NA,NA,NA
43971,"LC",188419,"Abudefduf luridus",NA,NA,NA
43971,"LC",188542,"Abudefduf natalensis",NA,NA,NA
43971,"LC",188537,"Abudefduf notatus",NA,NA,NA
43971,"LC",188581,"Abudefduf saxatilis",NA,NA,NA
43971,"LC",188453,"Abudefduf septemfasciatus",NA,NA,NA
43971,"LC",188557,"Abudefduf sexfasciatus",NA,NA,NA
43971,"LC",188467,"Abudefduf sordidus",NA,NA,NA
43971,"LC",188401,"Abudefduf sparoides",NA,NA,NA
43971,"LC",188434,"Abudefduf taurus",NA,NA,NA
43971,"LC",183397,"Abudefduf troschelii",NA,NA,NA
43971,"LC",188609,"Abudefduf vaigiensis",NA,NA,NA
43971,"LC",188523,"Abudefduf whitleyi",NA,NA,NA
43971,"LC",63906339,"Abutilon depauperatum",NA,NA,NA
43971,"LC",60469175,"Abyssobrotula galatheae",NA,NA,NA
43971,"LC",22484055,"Acacia aemula",NA,NA,NA
43971,"LC",22483710,"Acacia alpina",NA,NA,NA
43971,"LC",19892695,"Acacia amazonica",NA,NA,NA
43971,"LC",19892219,"Acacia aneura",NA,NA,NA
43971,"LC",22484081,"Acacia argyraea",NA,NA,NA
43971,"LC",19891902,"Acacia auriculiformis",NA,NA,NA
43971,"LC",19891632,"Acacia basedowii",NA,NA,NA
43971,"LC",22483965,"Acacia betchei",NA,NA,NA
43971,"LC",19892420,"Acacia bussei",NA,NA,NA
43971,"LC",19891432,"Acacia caesia",NA,NA,NA
43971,"LC",22483995,"Acacia castanostegia",NA,NA,NA
43971,"LC",22483889,"Acacia confluens",NA,NA,NA
43971,"LC",19891491,"Acacia crassiuscula",NA,NA,NA
43971,"LC",22483855,"Acacia cyperophylla",NA,NA,NA
43971,"LC",19891933,"Acacia dempsteri",NA,NA,NA
43971,"LC",19892054,"Acacia ehrenbergiana",NA,NA,NA
43971,"LC",22484095,"Acacia ensifolia",NA,NA,NA
43971,"LC",19891586,"Acacia eremophila",NA,NA,NA
43971,"LC",22483725,"Acacia euthyphylla",NA,NA,NA
43971,"LC",19891920,"Acacia excelsa",NA,NA,NA
43971,"LC",22483794,"Acacia fimbriata",NA,NA,NA
43971,"LC",22484038,"Acacia formidabilis",NA,NA,NA
43971,"LC",19893037,"Acacia gilliesii",NA,NA,NA
43971,"LC",19892743,"Acacia glaucocarpa",NA,NA,NA
43971,"LC",22483955,"Acacia gracilenta",NA,NA,NA
43971,"LC",22483827,"Acacia graniticola",NA,NA,NA
43971,"LC",22483924,"Acacia hadrophylla",NA,NA,NA
43971,"LC",19892750,"Acacia hecatophylla",NA,NA,NA
43971,"LC",19891424,"Acacia hilliana",NA,NA,NA
43971,"LC",22484107,"Acacia hippuroides",NA,NA,NA
43971,"LC",22484092,"Acacia homaloclada",NA,NA,NA
43971,"LC",19892268,"Acacia hydaspica",NA,NA,NA
43971,"LC",19892559,"Acacia jennerae",NA,NA,NA
43971,"LC",19891713,"Acacia koa",NA,NA,NA
43971,"LC",22483863,"Acacia lanigera",NA,NA,NA
43971,"LC",19891949,"Acacia leucospira",NA,NA,NA
43971,"LC",22483701,"Acacia linearifolia",NA,NA,NA
43971,"LC",22483722,"Acacia longipedunculata",NA,NA,NA
43971,"LC",22483936,"Acacia melvillei",NA,NA,NA
43971,"LC",22483790,"Acacia mitchellii",NA,NA,NA
43971,"LC",22483842,"Acacia mitodes",NA,NA,NA
43971,"LC",19892119,"Acacia montana",NA,NA,NA
43971,"LC",22484002,"Acacia neurophylla",NA,NA,NA
43971,"LC",158379,"Acacia nilotica",NA,NA,NA
43971,"LC",22484043,"Acacia pachycarpa",NA,NA,NA
43971,"LC",22483768,"Acacia pachyphylla",NA,NA,NA
43971,"LC",19892147,"Acacia pendula",NA,NA,NA
43971,"LC",19892264,"Acacia petraea",NA,NA,NA
43971,"LC",22484119,"Acacia phlebocarpa",NA,NA,NA
43971,"LC",22483825,"Acacia phlebopetala",NA,NA,NA
43971,"LC",19891561,"Acacia piauhiensis",NA,NA,NA
43971,"LC",19892745,"Acacia pluricapitata",NA,NA,NA
43971,"LC",22483847,"Acacia preissiana",NA,NA,NA
43971,"LC",22483990,"Acacia quornensis",NA,NA,NA
43971,"LC",22483766,"Acacia resinicostata",NA,NA,NA
43971,"LC",34744,"Acacia richii",NA,NA,NA
43971,"LC",19892630,"Acacia riparia",NA,NA,NA
43971,"LC",19892399,"Acacia semirigida",NA,NA,NA
43971,"LC",19891510,"Acacia sericata",NA,NA,NA
43971,"LC",22484059,"Acacia sericoflora",NA,NA,NA
43971,"LC",22483811,"Acacia shirleyi",NA,NA,NA
43971,"LC",19891788,"Acacia torrei",NA,NA,NA
43971,"LC",22484027,"Acacia trineura",NA,NA,NA
43971,"LC",22484105,"Acacia ulicifolia",NA,NA,NA
43971,"LC",22483762,"Acacia vincentii",NA,NA,NA
43971,"LC",22483937,"Acacia viscidula",NA,NA,NA
43971,"LC",115942985,"Acalypha grisebachiana",NA,NA,NA
43971,"LC",61503245,"Acalypha parvula",NA,NA,NA
43971,"LC",176756,"Acalyptophis peronii",NA,NA,NA
43971,"LC",170000,"Acanthacaris caeca",NA,NA,NA
43971,"LC",169962,"Acanthacaris tenuimana",NA,NA,NA
43971,"LC",22704451,"Acanthagenys rufogularis",NA,NA,NA
43971,"LC",159103,"Acanthagrion ablutum",NA,NA,NA
43971,"LC",159070,"Acanthagrion adustum",NA,NA,NA
43971,"LC",158995,"Acanthagrion chacoense",NA,NA,NA
43971,"LC",159060,"Acanthagrion cuyabae",NA,NA,NA
43971,"LC",159034,"Acanthagrion inexpectum",NA,NA,NA
43971,"LC",158900,"Acanthagrion kennedii",NA,NA,NA
43971,"LC",158827,"Acanthagrion longispinosum",NA,NA,NA
43971,"LC",49254721,"Acanthagrion obsoletum",NA,NA,NA
43971,"LC",158909,"Acanthagrion peruanum",NA,NA,NA
43971,"LC",158994,"Acanthagrion peruvianum",NA,NA,NA
43971,"LC",164919,"Acanthagrion speculum",NA,NA,NA
43971,"LC",158830,"Acanthagrion tepuiense",NA,NA,NA
43971,"LC",159021,"Acanthagrion truncatum",NA,NA,NA
43971,"LC",49254610,"Acanthagrion yungarum",NA,NA,NA
43971,"LC",179021,"Acanthanectes hystrix",NA,NA,NA
43971,"LC",178914,"Acanthanectes rufus",NA,NA,NA
43971,"LC",201938,"Acantharchus pomotis",NA,NA,NA
43971,"LC",185031,"Acantharctus ornatus",NA,NA,NA
43971,"LC",133246,"Acanthastrea echinata",NA,NA,NA
43971,"LC",46104116,"Acanthemblemaria aspera",NA,NA,NA
43971,"LC",183400,"Acanthemblemaria balanorum",NA,NA,NA
43971,"LC",47141289,"Acanthemblemaria betinensis",NA,NA,NA
43971,"LC",47141293,"Acanthemblemaria chaplini",NA,NA,NA
43971,"LC",183505,"Acanthemblemaria crockeri",NA,NA,NA
43971,"LC",183629,"Acanthemblemaria exilispinus",NA,NA,NA
43971,"LC",47141351,"Acanthemblemaria greenfieldi",NA,NA,NA
43971,"LC",183841,"Acanthemblemaria hancocki",NA,NA,NA
43971,"LC",185143,"Acanthemblemaria hastingsi",NA,NA,NA
43971,"LC",47141401,"Acanthemblemaria johnsoni",NA,NA,NA
43971,"LC",183219,"Acanthemblemaria macrospilus",NA,NA,NA
43971,"LC",47141570,"Acanthemblemaria maria",NA,NA,NA
43971,"LC",47141697,"Acanthemblemaria medusa",NA,NA,NA
43971,"LC",47141727,"Acanthemblemaria rivasi",NA,NA,NA
43971,"LC",47141736,"Acanthemblemaria spinosa",NA,NA,NA
43971,"LC",22723128,"Acanthidops bairdi",NA,NA,NA
43971,"LC",156457,"Acanthinula azorica",NA,NA,NA
43971,"LC",22725044,"Acanthis flammea",NA,NA,NA
43971,"LC",22698577,"Acanthisitta chloris",NA,NA,NA
43971,"LC",69584026,"Acanthistius cinctus",NA,NA,NA
43971,"LC",155326,"Acanthistius ocellatus",NA,NA,NA
43971,"LC",183895,"Acanthistius pictus",NA,NA,NA
43971,"LC",56055,"Acanthixalus spinosus",NA,NA,NA
43971,"LC",22731025,"Acanthiza apicalis",NA,NA,NA
43971,"LC",22704647,"Acanthiza chrysorrhoa",NA,NA,NA
43971,"LC",22704665,"Acanthiza cinerea",NA,NA,NA
43971,"LC",22704635,"Acanthiza ewingii",NA,NA,NA
43971,"LC",22704641,"Acanthiza inornata",NA,NA,NA
43971,"LC",22704644,"Acanthiza iredalei",NA,NA,NA
43971,"LC",22704627,"Acanthiza katherina",NA,NA,NA
43971,"LC",22704656,"Acanthiza lineata",NA,NA,NA
43971,"LC",22704624,"Acanthiza murina",NA,NA,NA
43971,"LC",22704653,"Acanthiza nana",NA,NA,NA
43971,"LC",22704630,"Acanthiza pusilla",NA,NA,NA
43971,"LC",22704638,"Acanthiza reguloides",NA,NA,NA
43971,"LC",22704659,"Acanthiza robustirostris",NA,NA,NA
43971,"LC",22704650,"Acanthiza uropygialis",NA,NA,NA
43971,"LC",19017693,"Acanthobrama marmid",NA,NA,NA
43971,"LC",19017703,"Acanthobrama microlepis",NA,NA,NA
43971,"LC",199598,"Acanthocercus adramitanus",NA,NA,NA
43971,"LC",170363,"Acanthocercus annectens",NA,NA,NA
43971,"LC",170364,"Acanthocercus atricollis",NA,NA,NA
