"count","category","result.taxonid","result.scientific_name","result.subspecies","result.rank","result.subpopulation"
729,"LR/lc",36549,"Abarema commutata",NA,NA,NA
729,"LR/lc",30756,"Acacia chiapensis",NA,NA,NA
729,"LR/lc",34654,"Acacia furcatispina",NA,NA,NA
729,"LR/lc",30368,"Acacia hebeclada ssp. chobiensis","chobiensis","ssp.",NA
729,"LR/lc",34223,"Acacia permixta",NA,NA,NA
729,"LR/lc",34360,"Acacia visco",NA,NA,NA
729,"LR/lc",34283,"Actinodaphne malaccensis",NA,NA,NA
729,"LR/lc",36331,"Actinodaphne montana",NA,NA,NA
729,"LR/lc",34534,"Actinodaphne pruinosa",NA,NA,NA
729,"LR/lc",36797,"Aegiphila cordifolia",NA,NA,NA
729,"LR/lc",36799,"Aegiphila sordida",NA,NA,NA
729,"LR/lc",37432,"Agarista mexicana var. pinetorum","pinetorum","var.",NA
729,"LR/lc",36801,"Ageratina macbridei",NA,NA,NA
729,"LR/lc",30537,"Aglaia argentea",NA,NA,NA
729,"LR/lc",33711,"Aglaia elaeagnoidea",NA,NA,NA
729,"LR/lc",33726,"Aglaia elliptica",NA,NA,NA
729,"LR/lc",34362,"Aglaia lawii",NA,NA,NA
729,"LR/lc",33712,"Aglaia odoratissima",NA,NA,NA
729,"LR/lc",34919,"Aglaia sapindina",NA,NA,NA
729,"LR/lc",34363,"Aglaia spectabilis",NA,NA,NA
729,"LR/lc",34765,"Aglaia tomentosa",NA,NA,NA
729,"LR/lc",33285,"Ailanthus integrifolia",NA,NA,NA
729,"LR/lc",35204,"Aiouea acarodomatifera",NA,NA,NA
729,"LR/lc",35206,"Aiouea benthamiana",NA,NA,NA
729,"LR/lc",35209,"Aiouea lehmannii",NA,NA,NA
729,"LR/lc",39019,"Aiphanes hirsuta",NA,NA,NA
729,"LR/lc",38945,"Aiphanes linearis",NA,NA,NA
729,"LR/lc",38183,"Aiphanes ulei",NA,NA,NA
729,"LR/lc",34502,"Alangium griffithi",NA,NA,NA
729,"LR/lc",33707,"Alangium javanicum",NA,NA,NA
729,"LR/lc",34503,"Alangium nobile",NA,NA,NA
729,"LR/lc",36592,"Albizia decandra",NA,NA,NA
729,"LR/lc",36586,"Albizia niopoides var. colombiana","colombiana","var.",NA
729,"LR/lc",36589,"Albizia pistaciifolia",NA,NA,NA
729,"LR/lc",34299,"Alectryon excelsus var. grandis","grandis","var.",NA
729,"LR/lc",37785,"Allantospermum borneense var. borneense","borneense","var.",NA
729,"LR/lc",46583,"Alligator mississippiensis",NA,NA,NA
729,"LR/lc",34277,"Allophylus rhomboidalis",NA,NA,NA
729,"LR/lc",35888,"Alniphyllum eberhardtii",NA,NA,NA
729,"LR/lc",34891,"Alnus glutinosa ssp. betuloides","betuloides","ssp.",NA
729,"LR/lc",30473,"Alphitonia marquesensis",NA,NA,NA
729,"LR/lc",31415,"Alphonsea curtisii",NA,NA,NA
729,"LR/lc",31416,"Alphonsea maingayi",NA,NA,NA
729,"LR/lc",36333,"Alseodaphne foxiana",NA,NA,NA
729,"LR/lc",36335,"Alseodaphne macrantha",NA,NA,NA
729,"LR/lc",36337,"Alseodaphne ridleyi",NA,NA,NA
729,"LR/lc",33175,"Alstonia angustifolia",NA,NA,NA
729,"LR/lc",33194,"Alstonia macrophylla",NA,NA,NA
