"count","category","result.taxonid","result.scientific_name","result.subspecies","result.rank","result.subpopulation"
911,"LR/nt",36561,"Abarema alexandri var. alexandri","alexandri","var.",NA
911,"LR/nt",36562,"Abarema alexandri var. troyana","troyana","var.",NA
911,"LR/nt",36543,"Abarema longipedunculata",NA,NA,NA
911,"LR/nt",36566,"Abarema villifera",NA,NA,NA
911,"LR/nt",38360,"Acacia aulacocarpa",NA,NA,NA
911,"LR/nt",34510,"Acacia caraniana",NA,NA,NA
911,"LR/nt",35158,"Acacia cernua",NA,NA,NA
911,"LR/nt",34432,"Acacia condyloclada",NA,NA,NA
911,"LR/nt",34424,"Acacia dolichostachya",NA,NA,NA
911,"LR/nt",38928,"Acacia gaumeri",NA,NA,NA
911,"LR/nt",35161,"Acacia moggii",NA,NA,NA
911,"LR/nt",30339,"Acacia montis-usti",NA,NA,NA
911,"LR/nt",35162,"Acacia ochracea",NA,NA,NA
911,"LR/nt",35807,"Acacia origena",NA,NA,NA
911,"LR/nt",35038,"Acacia pachyceras var. najdensis","najdensis","var.",NA
911,"LR/nt",34512,"Acacia robynsiana",NA,NA,NA
911,"LR/nt",34513,"Acacia sarcophylla",NA,NA,NA
911,"LR/nt",74,"Acanthochelys macrocephala",NA,NA,NA
911,"LR/nt",78,"Acanthochelys radiolata",NA,NA,NA
911,"LR/nt",76,"Acanthochelys spixii",NA,NA,NA
911,"LR/nt",33003,"Acer undulatum",NA,NA,NA
911,"LR/nt",511,"Actinonaias pectorosa",NA,NA,NA
911,"LR/nt",37681,"Adansonia madagascariensis",NA,NA,NA
911,"LR/nt",37679,"Adansonia rubrostipa",NA,NA,NA
911,"LR/nt",37680,"Adansonia za",NA,NA,NA
911,"LR/nt",38391,"Adinandra forbesii",NA,NA,NA
911,"LR/nt",38747,"Adonidia merrillii",NA,NA,NA
911,"LR/nt",34905,"Aglaia agglomerata",NA,NA,NA
911,"LR/nt",34752,"Aglaia crassinervia",NA,NA,NA
911,"LR/nt",34908,"Aglaia edulis",NA,NA,NA
911,"LR/nt",34906,"Aglaia erythrosperma",NA,NA,NA
911,"LR/nt",36631,"Aglaia euryanthera",NA,NA,NA
911,"LR/nt",34907,"Aglaia exstipulata",NA,NA,NA
911,"LR/nt",34909,"Aglaia flavida",NA,NA,NA
911,"LR/nt",34753,"Aglaia forbesii",NA,NA,NA
911,"LR/nt",34910,"Aglaia foveolata",NA,NA,NA
911,"LR/nt",34758,"Aglaia glabrata",NA,NA,NA
911,"LR/nt",34911,"Aglaia grandis",NA,NA,NA
911,"LR/nt",34912,"Aglaia hiernii",NA,NA,NA
911,"LR/nt",34759,"Aglaia korthalsii",NA,NA,NA
911,"LR/nt",38414,"Aglaia lancilimba",NA,NA,NA
911,"LR/nt",36609,"Aglaia lepidopetala",NA,NA,NA
911,"LR/nt",34672,"Aglaia leptantha",NA,NA,NA
911,"LR/nt",34760,"Aglaia leucophylla",NA,NA,NA
911,"LR/nt",33332,"Aglaia luzoniensis",NA,NA,NA
911,"LR/nt",34761,"Aglaia macrocarpa",NA,NA,NA
911,"LR/nt",33938,"Aglaia malaccensis",NA,NA,NA
911,"LR/nt",36610,"Aglaia meridionalis",NA,NA,NA
911,"LR/nt",36645,"Aglaia monozyga",NA,NA,NA
911,"LR/nt",34535,"Aglaia multinervis",NA,NA,NA
911,"LR/nt",34913,"Aglaia odorata",NA,NA,NA
911,"LR/nt",34536,"Aglaia oligophylla",NA,NA,NA
911,"LR/nt",34673,"Aglaia pachyphylla",NA,NA,NA
911,"LR/nt",34537,"Aglaia palembanica",NA,NA,NA
911,"LR/nt",34914,"Aglaia parviflora",NA,NA,NA
911,"LR/nt",34917,"Aglaia rimosa",NA,NA,NA
911,"LR/nt",33939,"Aglaia rubiginosa",NA,NA,NA
911,"LR/nt",34762,"Aglaia rufinervis",NA,NA,NA
911,"LR/nt",38411,"Aglaia rugulosa",NA,NA,NA
911,"LR/nt",32012,"Aglaia samoensis",NA,NA,NA
911,"LR/nt",37559,"Aglaia sexipetala",NA,NA,NA
911,"LR/nt",34763,"Aglaia silvestris",NA,NA,NA
911,"LR/nt",34764,"Aglaia simplicifolia",NA,NA,NA
911,"LR/nt",38413,"Aglaia squamulosa",NA,NA,NA
911,"LR/nt",34922,"Aglaia subcuprea",NA,NA,NA
911,"LR/nt",38412,"Aglaia teysmanniana",NA,NA,NA
911,"LR/nt",39562,"Agrostis mannii",NA,NA,NA
911,"LR/nt",39934,"Agrostis mannii subsp. mannii","mannii","subsp.",NA
911,"LR/nt",870,"Allocharopa okeana",NA,NA,NA
911,"LR/nt",871,"Allocharopa tarravillensis",NA,NA,NA
911,"LR/nt",30431,"Allophylus rhoidiphyllus",NA,NA,NA
911,"LR/nt",30436,"Alluaudia procera",NA,NA,NA
911,"LR/nt",900,"Alopia bielzii ssp. clathrata","clathrata","ssp.",NA
911,"LR/nt",35041,"Alstonia marquisensis",NA,NA,NA
911,"LR/nt",35893,"Amesiodendron chinense",NA,NA,NA
911,"LR/nt",1167,"Amphidromus cognatus",NA,NA,NA
911,"LR/nt",19044,"Amphinaias asperata",NA,NA,NA
911,"LR/nt",19047,"Amphinaias houstonensis",NA,NA,NA
911,"LR/nt",19049,"Amphinaias refulgens",NA,NA,NA
911,"LR/nt",1176,"Amplirhagada montalivetensis",NA,NA,NA
911,"LR/nt",1286,"Anetia briarea",NA,NA,NA
911,"LR/nt",1287,"Anetia cubana",NA,NA,NA
911,"LR/nt",1288,"Anetia jaegeri",NA,NA,NA
911,"LR/nt",1289,"Anetia pantheratus",NA,NA,NA
911,"LR/nt",35226,"Annona jamaicensis",NA,NA,NA
911,"LR/nt",38332,"Annona trunciflora",NA,NA,NA
911,"LR/nt",39745,"Anthospermum asperuloides",NA,NA,NA
911,"LR/nt",38392,"Apollonias barbujana ssp. barbujana","barbujana","ssp.",NA
911,"LR/nt",31468,"Aporusa isabellina",NA,NA,NA
911,"LR/nt",1921,"Aprasia pseudopulchella",NA,NA,NA
911,"LR/nt",171925,"Archon apollinus",NA,NA,NA
911,"LR/nt",38425,"Ardisia maxonii",NA,NA,NA
911,"LR/nt",36813,"Ardisia nigrovirens",NA,NA,NA
911,"LR/nt",30635,"Ardisia opaca",NA,NA,NA
911,"LR/nt",39025,"Areca hutchinsoniana",NA,NA,NA
911,"LR/nt",36814,"Aristeguietia discolor",NA,NA,NA
911,"LR/nt",2160,"Ashmunella pasonis",NA,NA,NA
911,"LR/nt",34746,"Aspidosperma megalocarpon",NA,NA,NA
911,"LR/nt",35231,"Aspidosperma triternatum",NA,NA,NA
911,"LR/nt",35232,"Asteranthos brasiliensis",NA,NA,NA
911,"LR/nt",38197,"Astrocaryum alatum",NA,NA,NA
911,"LR/nt",34377,"Astronidium macranthum",NA,NA,NA
911,"LR/nt",34380,"Astronidium tomentosum",NA,NA,NA
911,"LR/nt",38200,"Attalea tessmannii",NA,NA,NA
911,"LR/nt",2421,"Austrochloritis ascensa",NA,NA,NA
911,"LR/nt",36815,"Axinaea nitida",NA,NA,NA
911,"LR/nt",38432,"Bactris setulosa",NA,NA,NA
911,"LR/nt",39729,"Bafutia tenuicaulis",NA,NA,NA
911,"LR/nt",33188,"Baikiaea plurijuga",NA,NA,NA
911,"LR/nt",35790,"Balthasaria schliebenii",NA,NA,NA
911,"LR/nt",39568,"Barombia gracillima",NA,NA,NA
911,"LR/nt",2594,"Baronia brevicornis",NA,NA,NA
911,"LR/nt",2603,"Basilichthys australis",NA,NA,NA
911,"LR/nt",2672,"Baudinella baudinensis",NA,NA,NA
911,"LR/nt",2680,"Beckianum sinistrum",NA,NA,NA
911,"LR/nt",20601,"Bentosites macleayi",NA,NA,NA
911,"LR/nt",36817,"Berberis beauverdiana",NA,NA,NA
911,"LR/nt",34894,"Betula recurvata",NA,NA,NA
911,"LR/nt",39007,"Bivinia jalbertii",NA,NA,NA
911,"LR/nt",38265,"Blepharocalyx cruckshanksii",NA,NA,NA
911,"LR/nt",35264,"Boehmeria jamaicensis",NA,NA,NA
911,"LR/nt",36458,"Bonnetia fasciculata",NA,NA,NA
911,"LR/nt",34394,"Boswellia pirottae",NA,NA,NA
911,"LR/nt",34533,"Boswellia sacra",NA,NA,NA
911,"LR/nt",34638,"Bottegoa insignis",NA,NA,NA
911,"LR/nt",35265,"Bourreria baccata",NA,NA,NA
911,"LR/nt",38400,"Brachyglottis perdicioides",NA,NA,NA
911,"LR/nt",33474,"Brachylaena huillensis",NA,NA,NA
911,"LR/nt",8152,"Brachypelma smithi",NA,NA,NA
911,"LR/nt",34285,"Brackenridgea palustris",NA,NA,NA
911,"LR/nt",34646,"Breviea sericea",NA,NA,NA
911,"LR/nt",36820,"Brunellia grandiflora ssp. grandiflora","grandiflora","ssp.",NA
911,"LR/nt",36819,"Brunellia inermis var. inermis","inermis","var.",NA
911,"LR/nt",32877,"Buchenavia kleinii",NA,NA,NA
911,"LR/nt",39572,"Bulbophyllum porphyrostachys",NA,NA,NA
911,"LR/nt",39559,"Bulbostylis schoenoides ssp. erratica","erratica","ssp.",NA
911,"LR/nt",3319,"Bulinus octaploidus",NA,NA,NA
911,"LR/nt",38164,"Burckella sorei",NA,NA,NA
911,"LR/nt",35297,"Bursera lunanii",NA,NA,NA
911,"LR/nt",30579,"Buxus citrifolia",NA,NA,NA
911,"LR/nt",32177,"Buxus colchica",NA,NA,NA
911,"LR/nt",35298,"Cabralea canjerana ssp. polytricha","polytricha","ssp.",NA
911,"LR/nt",36830,"Calyptranthes simulata",NA,NA,NA
911,"LR/nt",34718,"Campomanesia reitziana",NA,NA,NA
911,"LR/nt",36831,"Campomanesia speciosa",NA,NA,NA
911,"LR/nt",37802,"Capparis discolor",NA,NA,NA
911,"LR/nt",3845,"Carabus intricatus",NA,NA,NA
911,"LR/nt",36834,"Caraipa jaramilloi",NA,NA,NA
911,"LR/nt",32385,"Carallia diplopetala",NA,NA,NA
911,"LR/nt",36395,"Carallia euryoides",NA,NA,NA
911,"LR/nt",39560,"Carex preussii",NA,NA,NA
911,"LR/nt",33961,"Cariniana pyriformis",NA,NA,NA
911,"LR/nt",35346,"Casasia longipes",NA,NA,NA
911,"LR/nt",37898,"Castanopsis curtisii",NA,NA,NA
911,"LR/nt",32387,"Castanopsis kawakamii",NA,NA,NA
911,"LR/nt",34748,"Cavanillesia platanifolia",NA,NA,NA
911,"LR/nt",36838,"Cecropia multiflora",NA,NA,NA
911,"LR/nt",35362,"Celtis jamaicensis",NA,NA,NA
911,"LR/nt",32332,"Cercidiphyllum japonicum",NA,NA,NA
911,"LR/nt",4607,"Chelodina oblonga",NA,NA,NA
911,"LR/nt",4610,"Chelodina reimanni",NA,NA,NA
911,"LR/nt",39622,"Chelodina rugosa ssp. siebenrocki","siebenrocki","ssp.",NA
911,"LR/nt",38471,"Chelyocarpus dianeurus",NA,NA,NA
911,"LR/nt",7815,"Chilabothrus angulifer",NA,NA,NA
911,"LR/nt",35366,"Chimarrhis cymosa ssp. jamaicensis","jamaicensis","ssp.",NA
911,"LR/nt",36533,"Chionanthus filiformis",NA,NA,NA
911,"LR/nt",36575,"Chloroleucon mangense var. tetrazyx","tetrazyx","var.",NA
911,"LR/nt",35372,"Chrysophyllum arenarium",NA,NA,NA
911,"LR/nt",35373,"Chrysophyllum bombycinum",NA,NA,NA
911,"LR/nt",37729,"Chrysophyllum hirsutum",NA,NA,NA
911,"LR/nt",35383,"Chrysophyllum ovale",NA,NA,NA
911,"LR/nt",35386,"Chrysophyllum parvulum",NA,NA,NA
911,"LR/nt",37731,"Chrysophyllum viride",NA,NA,NA
911,"LR/nt",4826,"Chrysoritis oreas",NA,NA,NA
911,"LR/nt",37553,"Chytranthus mannii",NA,NA,NA
911,"LR/nt",32390,"Cinnamomum japonicum",NA,NA,NA
911,"LR/nt",35069,"Claoxylon ooumuense",NA,NA,NA
911,"LR/nt",35070,"Claoxylon taitense",NA,NA,NA
911,"LR/nt",4959,"Claudius angustatus",NA,NA,NA
