"name","result.year","result.code","result.category"
"Abida vergniesiana","2011","NT","Near Threatened"
"Abies bracteata","2013","NT","Near Threatened"
"Abies bracteata","1998","LR/cd","Lower Risk/conservation dependent"
"Abies bracteata","1998","R","Rare"
"Abies cilicica","2013","NT","Near Threatened"
"Abies cilicica","1998","LR/lc","Lower Risk/least concern"
"Abies holophylla","2013","NT","Near Threatened"
"Abies holophylla","1998","LR/lc","Lower Risk/least concern"
"Abies homolepis","2013","NT","Near Threatened"
"Abies homolepis","1998","LR/lc","Lower Risk/least concern"
"Abies kawakamii","2013","NT","Near Threatened"
"Abies kawakamii","1998","LR/nt","Lower Risk/near threatened"
"Abies kawakamii","1998","nt","Not Threatened"
"Abies spectabilis","2011","NT","Near Threatened"
"Abies spectabilis","1998","LR/lc","Lower Risk/least concern"
"Abies vejarii","2013","NT","Near Threatened"
"Abies vejarii","1998","LR/lc","Lower Risk/least concern"
"Aborichthys kempi","2010","NT","Near Threatened"
"Abrothrix sanborni","2008","NT","Near Threatened"
"Abrothrix sanborni","1996","LR/lc","Lower Risk/least concern"
"Abrus madagascariensis","2017","NT","Near Threatened"
"Aburria aburri","2016","NT","Near Threatened"
"Aburria aburri","2012","NT","Near Threatened"
"Aburria aburri","2008","NT","Near Threatened"
"Aburria aburri","2004","NT","Near Threatened"
"Aburria aburri","2000","LR/nt","Lower Risk/near threatened"
"Aburria aburri","1994","LR/nt","Lower Risk/near threatened"
"Aburria aburri","1988","LR/lc","Lower Risk/least concern"
"Acacia asepala","2017","NT","Near Threatened"
"Acacia ataxiphylla","2012","NT","Near Threatened"
"Acacia ausfeldii","2012","NT","Near Threatened"
"Acacia jacksonioides","2012","NT","Near Threatened"
"Acacia loderi","2012","NT","Near Threatened"
"Acacia negrii","2012","NT","Near Threatened"
"Acacia pennivenia","2004","NT","Near Threatened"
"Acacia pennivenia","1998","V","Vulnerable"
"Acacia pennivenia","1998","VU","Vulnerable"
"Acacia somalensis","2012","NT","Near Threatened"
"Acalypha cupricola","2014","NT","Near Threatened"
"Acalypha dictyoneura","2004","NT","Near Threatened"
"Acanthastrea hillae","2014","NT","Near Threatened"
"Acanthastrea hillae","2008","NT","Near Threatened"
"Acanthastrea lordhowensis","2008","NT","Near Threatened"
"Acanthastrea maxima","2008","NT","Near Threatened"
"Acanthastrea rotundoflora","2014","NT","Near Threatened"
"Acanthastrea rotundoflora","2008","NT","Near Threatened"
"Acanthastrea subechinata","2008","NT","Near Threatened"
"Acanthixalus sonjae","2006","NT","Near Threatened"
"Acanthixalus sonjae","2004","EN","Endangered"
"Acanthobrama lissneri","2014","NT","Near Threatened"
"Acanthobrama lissneri","2006","LC","Least Concern"
"Acanthodactylus bedriagai","2006","NT","Near Threatened"
"Acanthodactylus savignyi","2006","NT","Near Threatened"
"Acanthopagrus chinshira","2014","NT","Near Threatened"
"Acanthosyris annonagustata","2004","NT","Near Threatened"
"Acantopsis multistigmatus","2010","NT","Near Threatened"
"Accipiter collaris","2016","NT","Near Threatened"
"Accipiter collaris","2012","NT","Near Threatened"
"Accipiter collaris","2008","NT","Near Threatened"
"Accipiter collaris","2004","NT","Near Threatened"
"Accipiter collaris","2000","LR/nt","Lower Risk/near threatened"
"Accipiter collaris","1994","LR/nt","Lower Risk/near threatened"
"Accipiter collaris","1988","T","Threatened"
"Accipiter erythrauchen","2016","NT","Near Threatened"
"Accipiter erythrauchen","2014","NT","Near Threatened"
"Accipiter erythrauchen","2012","LC","Least Concern"
"Accipiter erythrauchen","2009","LC","Least Concern"
"Accipiter erythrauchen","2008","LC","Least Concern"
"Accipiter erythrauchen","2004","LC","Least Concern"
"Accipiter erythrauchen","2000","LR/lc","Lower Risk/least concern"
"Accipiter erythrauchen","1994","LR/lc","Lower Risk/least concern"
