taxonid,year,category
3,2012,CR
3,1996,DD
3,1994,V
4,2012,EN
4,1996,DD
4,1994,V
5,2012,EN
5,1996,DD
5,1994,V
6,2012,CR
6,1996,DD
6,1994,V
7,2012,CR
7,1996,DD
7,1994,V
8,2012,CR
8,1996,DD
8,1994,V
9,2011,CR
9,1996,DD
18,2016,CR
18,2008,CR
18,1996,VU
20,2013,EN
20,1996,CR
20,1994,E
43,2017,EN
43,1996,VU
43,1994,K
43,1990,K
43,1988,V
59,2011,DD
59,1996,DD
59,1994,R
73,2014,EX
73,2006,EX
73,1996,EX
73,1994,Ex?
75,2016,EN
75,1996,VU
75,1994,R
75,1990,R
75,1988,R
75,1986,R
75,1982,R
76,1996,LR/nt
76,1994,K
76,1990,K
76,1988,K
76,1986,K
76,1982,K
79,2019,EN
79,1996,LR/cd
79,1994,V
81,2006,VU
81,1996,VU
82,1996,EX
82,1994,Ex
82,1990,Ex
82,1988,Ex
82,1986,Ex
137,2016,VU
137,2008,LC
137,1996,LR/nt
138,2016,EN
138,2008,EN
138,1996,VU
139,2016,EN
139,2008,EN
139,1996,EN
139,1994,E
140,2008,VU
140,1996,VU
142,2016,VU
142,2008,VU
142,1996,LR/lc
161,2017,NT
161,1996,VU
161,1994,R
167,1996,EX
167,1994,Ex?
167,1990,Ex
167,1983,E
168,1996,CR
168,1994,E
168,1990,E
168,1983,E
169,1996,CR
169,1994,E
169,1990,E
169,1983,E
170,1996,EX
170,1994,Ex
170,1990,Ex
170,1983,E
171,1996,CR
171,1994,E
171,1990,E
171,1983,E
172,1996,CR
172,1994,E
172,1990,E
172,1983,E
173,1996,EX
173,1994,Ex
173,1990,Ex
173,1983,E
174,1996,EX
174,1994,Ex
174,1990,Ex
174,1983,E
175,1996,CR
175,1994,E
175,1990,Ex
175,1983,E
176,1996,CR
176,1994,E
176,1990,E
176,1983,E
177,1996,CR
177,1994,E
177,1990,E
177,1983,E
178,1996,CR
178,1994,E
178,1990,E
178,1983,E
179,1996,EX
179,1994,Ex
179,1990,Ex
179,1983,E
180,1996,EX
180,1994,Ex?
180,1990,Ex
180,1983,E
181,1996,EX
181,1994,Ex?
181,1990,Ex
181,1983,E
182,1996,CR
182,1994,E
182,1990,E
182,1983,E
183,1996,CR
183,1994,E
183,1990,E
183,1983,E
184,1996,EX
184,1994,Ex?
184,1990,Ex
184,1983,E
185,1996,EX
185,1994,Ex?
185,1990,Ex
185,1983,E
186,1996,EX
186,1994,Ex
186,1990,Ex
186,1983,E
188,1996,CR
188,1994,E
188,1990,E
188,1983,E
189,1996,EX
189,1994,Ex
189,1990,Ex
189,1983,E
190,1996,CR
190,1994,E
190,1990,E
190,1983,E
191,1996,CR
191,1994,E
191,1990,E
191,1983,E
192,1996,EX
192,1994,Ex
192,1990,Ex
192,1983,E
193,1996,CR
193,1994,E
193,1990,Ex
193,1983,E
194,1996,CR
194,1994,E
194,1990,E
194,1983,E
195,1996,CR
195,1994,E
195,1990,E
195,1983,E
197,1996,CR
197,1994,E
197,1990,E
197,1983,E
198,1996,EX
