"name","year","category"
"Aaadonta angaurana","2012","CR"
"Aaadonta angaurana","1996","DD"
"Aaadonta angaurana","1994","V"
"Aaadonta constricta","2012","EN"
"Aaadonta constricta","1996","DD"
"Aaadonta constricta","1994","V"
"Aaadonta fuscozonata","2012","EN"
"Aaadonta fuscozonata","1996","DD"
"Aaadonta fuscozonata","1994","V"
"Aaadonta irregularis","2012","CR"
"Aaadonta irregularis","1996","DD"
"Aaadonta irregularis","1994","V"
"Aaadonta kinlochi","2012","CR"
"Aaadonta kinlochi","1996","DD"
"Aaadonta kinlochi","1994","V"
"Aaadonta pelewana","2012","CR"
"Aaadonta pelewana","1996","DD"
"Aaadonta pelewana","1994","V"
"Aaptosyax grypus","2011","CR"
"Aaptosyax grypus","1996","DD"
"Abrocoma boliviensis","2016","CR"
"Abrocoma boliviensis","2008","CR"
"Abrocoma boliviensis","1996","VU"
"Abronia montecristoi","2013","EN"
"Abronia montecristoi","1996","CR"
"Abronia montecristoi","1994","E"
"Acanthaeschna victoria","2017","EN"
"Acanthaeschna victoria","1996","VU"
"Acanthaeschna victoria","1994","K"
"Acanthaeschna victoria","1990","K"
"Acanthaeschna victoria","1988","V"
"Acanthinula spinifera","2011","DD"
"Acanthinula spinifera","1996","DD"
"Acanthinula spinifera","1994","R"
"Mirogrex hulensis","2014","EX"
"Mirogrex hulensis","2006","EX"
"Mirogrex hulensis","1996","EX"
"Mirogrex hulensis","1994","Ex?"
"Acanthochelys pallidipectoris","2016","EN"
"Acanthochelys pallidipectoris","1996","VU"
"Acanthochelys pallidipectoris","1994","R"
"Acanthochelys pallidipectoris","1990","R"
"Acanthochelys pallidipectoris","1988","R"
"Acanthochelys pallidipectoris","1986","R"
"Acanthochelys pallidipectoris","1982","R"
"Acanthochelys spixii","1996","LR/nt"
"Acanthochelys spixii","1994","K"
"Acanthochelys spixii","1990","K"
"Acanthochelys spixii","1988","K"
"Acanthochelys spixii","1986","K"
"Acanthochelys spixii","1982","K"
"Acanthochelys radiolata","1996","LR/nt"
"Paracanthocobitis urophthalma","2019","EN"
"Paracanthocobitis urophthalma","1996","LR/cd"
"Paracanthocobitis urophthalma","1994","V"
"Acanthocyclops hypogeus","1996","VU"
"Salmo ohridanus","2006","VU"
"Salmo ohridanus","1996","VU"
"Acanthametropus pecatonica","1996","EX"
"Acanthametropus pecatonica","1994","Ex"
"Acanthametropus pecatonica","1990","Ex"
"Acanthametropus pecatonica","1988","Ex"
"Acanthametropus pecatonica","1986","Ex"
"Acanthomyops latipes","1996","VU"
"Acerodon celebensis","2016","VU"
"Acerodon celebensis","2008","LC"
"Acerodon celebensis","1996","LR/nt"
"Acerodon humilis","2016","EN"
"Acerodon humilis","2008","EN"
"Acerodon humilis","1996","VU"
"Acerodon jubatus","2016","EN"
"Acerodon jubatus","2008","EN"
"Acerodon jubatus","1996","EN"
"Acerodon jubatus","1994","E"
"Acerodon leucotis","2008","VU"
"Acerodon leucotis","1996","VU"
"Acerodon mackloti","2016","VU"
"Acerodon mackloti","2008","VU"
"Acerodon mackloti","1996","LR/lc"
"Achalinus werneri","2017","NT"
"Achalinus werneri","1996","VU"
"Achalinus werneri","1994","R"
"Achatina vignoniana","1996","DD"
"Achatinella abbreviata","1996","EX"
"Achatinella abbreviata","1994","Ex?"
"Achatinella abbreviata","1990","Ex"
"Achatinella abbreviata","1983","E"
"Achatinella apexfulva","1996","CR"
"Achatinella apexfulva","1994","E"
"Achatinella apexfulva","1990","E"
"Achatinella apexfulva","1983","E"
"Achatinella bellula","1996","CR"
"Achatinella bellula","1994","E"
