"scientific_name","common_name","previous_category","new_category","reason_for_change","year"
"Cephalophus spadix","Abbott’s Duiker","VU","EN","G","2007"
"Gazella spekei","Speke’s Gazelle","VU","EN","G","2007"
"Gorilla gorilla","Western Gorilla","EN","CR","G","2007"
"Lipotes vexillifer","Baiji","CR","CR (PE)","G","2007"
"Mazama chunyi","Dwarf Brocket Deer","DD","VU","N","2007"
"Procapra picticaudata","Tibetan Gazelle","LC","NT","G","2007"
"Ardea insignis","White-bellied Heron","EN","CR","N","2007"
"Aythya innotata","Madagascar Pochard","CR (PE)","CR","N","2007"
"Brachypteryx hyperythra","Rusty-bellied Shortwing","VU","NT","N","2007"
"Branta ruficollis","Red-breasted Goose","VU","EN","G","2007"
"Charadrius pallidus","Chestnut-banded Plover","LC","NT","N","2007"
"Charadrius sanctaehelenae","St Helena Plover","VU","CR","G","2007"
"Chthonicola sagittatus","Speckled Warbler","NT","LC","N","2007"
"Cinclodes pabsti","Long-tailed Cinclodes","LC","NT","N","2007"
"Coeligena orina","Dusky Starfrontlet","LC","CR","N","2007"
"Corvus unicolor","Banggai Crow","CR (PE)","CR","N","2007"
"Euphagus carolinus","Rusty Blackbird","LC","VU","N","2007"
"Eurystomus azureus","Purple Dollarbird","VU","NT","N","2007"
"Ficedula henrici","Damar Flycatcher","VU","NT","N","2007"
"Francolinus streptophorus","Ring-necked Francolin","LC","NT","N","2007"
"Gallicolumba crinigera","Mindanao Bleeding-heart","EN","VU","N","2007"
"Garrulax courtoisi","Blue-crowned Laughingthrush","LC","CR","N","2007"
"Gypopsitta pyrilia","Saffron-headed Parrot","VU","NT","N","2007"
"Gyps africanus","White-backed Vulture","LC","NT","N","2007"
"Gyps rueppellii","Rueppell’s Vulture","LC","NT","N","2007"
"Heteromirafra sidamoensis","Sidamo Lark","VU","EN","N","2007"
"Heteromunia pectoralis","Pictorella Munia","NT","LC","N","2007"
"Houbaropsis bengalensis","Bengal Florican","EN","CR","G","2007"
"Macroagelaius subalaris","Mountain Grackle","CR","EN","N","2007"
"Macronectes giganteus","Southern Giant-petrel","VU","NT","N","2007"
"Melamprosops phaeosoma","Poo-uli","CR","CR (PE)","N","2007"
"Neophron percnopterus","Egyptian Vulture","LC","EN","G","2007"
"Oxyura maccoa","Maccoa Duck","LC","NT","N","2007"
"Pelecanus philippensis","Spot-billed Pelican","VU","NT","N","2007"
"Penelopina nigra","Highland Guan","NT","VU","N","2007"
"Phapitreron cinereiceps","Tawitawi Brown-dove","CR","EN","N","2007"
"Phoebastria irrorata","Waved Albatross","VU","CR","G","2007"
"Procellaria conspicillata","Speckled Petrel","CR","VU","N","2007"
"Psittacula eques","Mauritius Parakeet","CR","EN","G","2007"
"Psittacus erithacus","Grey Parrot","LC","NT","N","2007"
"Sarcogyps calvus","Red-headed Vulture","LC","VU","G","2007"
"Sheppardia gunningi","East Coast Akalat","VU","NT","N","2007"
"Siphonorhis brewsteri","Least Pauraque","DD","NT","N","2007"
"Trigonoceps occipitalis","White-headed Vulture","LC","VU","N","2007"
"Andropadus chlorigula","Green-throated Greenbul","LC","NR","synonym of A. nigriceps","2007"
"Aratinga strenua","Pacific Parakeet","LC","NR","synonym of A. holochlora","2007"
"Asturina plagiata","Grey Hawk","LC","NR","synonym of Buteo nitidus","2007"
"Crypturellus columbianus","Colombian Tinamou","EN","NR","synonym of C. erythropus","2007"
"Crypturellus salutarius","Magdalena Tinamou","CR","NR","synonym of C. erythropus","2007"
"Gerygone hypoxantha","Biak Gerygone","EN","NR","synonym of G. magnirostris","2007"
"Spizella taverneri","Timberline Sparrow","LC","NR","synonym of S. breweri","2007"
"Suiriri affinis","Campo Suiriri","LC","NR","synonym of S. suiriri","2007"
"Sylvietta chapini","Chapin’s Crombec","LC","NR","synonym of S. leucophrys","2007"
"Tangara cyanomelas","Silvery-breasted Tanager","LC","NR","synonym of T. velia","2007"
"Aspidoscelis hyperythra","Orangethroat Whiptail","DD","LC","N","2007"
"Gavialis gangeticus","Gharial","EN","CR","G","2007"
"Heloderma horridum","Beaded Lizard","VU","LC","N","2007"
"Heloderma suspectum","Gila Monster","VU","NT","N","2007"
"Kinosternon creaseri","Yucatan Mud Turtle","LR/nt","LC","N","2007"
"Kinosternon oaxacae","Oaxaca Mud Turtle","LR/nt","DD","N","2007"
"Rhinoclemmys rubida","Mexican Spotted Wood Turtle","VU","NT","N","2007"
