"count","category","result.taxonid","result.scientific_name","result.subspecies","result.rank","result.subpopulation"
12418,"VU",36563,"Abarema abbottii",NA,NA,NA
12418,"VU",30843,"Abarema bigemina",NA,NA,NA
12418,"VU",36553,"Abarema callejasii",NA,NA,NA
12418,"VU",36568,"Abarema centiflora",NA,NA,NA
12418,"VU",36552,"Abarema cochleata var. moniliformis","moniliformis","var.",NA
12418,"VU",36545,"Abarema curvicarpa var. rodriguesii","rodriguesii","var.",NA
12418,"VU",36558,"Abarema filamentosa",NA,NA,NA
12418,"VU",36546,"Abarema ganymedea",NA,NA,NA
12418,"VU",36567,"Abarema josephi",NA,NA,NA
12418,"VU",36555,"Abarema killipii",NA,NA,NA
12418,"VU",36554,"Abarema lehmannii",NA,NA,NA
12418,"VU",36551,"Abarema leucophylla var. vaupesensis","vaupesensis","var.",NA
12418,"VU",36557,"Abarema obovata",NA,NA,NA
12418,"VU",36565,"Abarema oxyphyllidia",NA,NA,NA
12418,"VU",36556,"Abarema racemiflora",NA,NA,NA
12418,"VU",36559,"Abarema turbinata",NA,NA,NA
12418,"VU",31538,"Abdulmajidia chaniana",NA,NA,NA
12418,"VU",31539,"Abdulmajidia maxwelliana",NA,NA,NA
12418,"VU",190498,"Abida ateni",NA,NA,NA
12418,"VU",33002,"Abies cilicica ssp. isaurica","isaurica","ssp.",NA
12418,"VU",34120,"Abies durangensis var. coahuilensis","coahuilensis","var.",NA
12418,"VU",42280,"Abies fabri",NA,NA,NA
12418,"VU",191556,"Abies fabri ssp. fabri","fabri","ssp.",NA
12418,"VU",191557,"Abies fabri ssp. minensis","minensis","ssp.",NA
12418,"VU",191559,"Abies fargesii var. faxoniana","faxoniana","var.",NA
12418,"VU",42554,"Abies hidalgensis",NA,NA,NA
12418,"VU",42297,"Abies recurvata",NA,NA,NA
12418,"VU",191570,"Abies recurvata var. ernestii","ernestii","var.",NA
12418,"VU",34127,"Abies recurvata var. recurvata","recurvata","var.",NA
12418,"VU",34130,"Abies squamata",NA,NA,NA
12418,"VU",34131,"Abies veitchii var. sikokiana","sikokiana","var.",NA
12418,"VU",20460959,"Abies vejarii var. macrocarpa","macrocarpa","var.",NA
12418,"VU",34145,"Abies vejarii var. mexicana","mexicana","var.",NA
12418,"VU",46188898,"Abies vejarii var. vejarii","vejarii","var.",NA
12418,"VU",166624,"Aborichthys garoensis",NA,NA,NA
12418,"VU",166507,"Aborichthys tikaderi",NA,NA,NA
12418,"VU",203012,"Abronia anzuetoi",NA,NA,NA
12418,"VU",63684,"Abronia mixteca",NA,NA,NA
12418,"VU",63685,"Abronia oaxacae",NA,NA,NA
12418,"VU",63691,"Abronia taeniata",NA,NA,NA
12418,"VU",203019,"Abronia vasconcelosii",NA,NA,NA
12418,"VU",35102,"Abutilon sachetianum",NA,NA,NA
12418,"VU",38212,"Acacia albicorticata",NA,NA,NA
12418,"VU",34501,"Acacia ankokib",NA,NA,NA
12418,"VU",22483884,"Acacia aphylla",NA,NA,NA
12418,"VU",22483800,"Acacia auratiflora",NA,NA,NA
12418,"VU",31191,"Acacia campbellii",NA,NA,NA
12418,"VU",38366,"Acacia crassicarpa",NA,NA,NA
12418,"VU",35159,"Acacia densispina",NA,NA,NA
12418,"VU",38211,"Acacia etilis",NA,NA,NA
12418,"VU",34273,"Acacia ferruginea",NA,NA,NA
12418,"VU",35160,"Acacia flagellaris",NA,NA,NA
12418,"VU",30902,"Acacia koaia",NA,NA,NA
12418,"VU",62494299,"Acacia latispina",NA,NA,NA
12418,"VU",32879,"Acacia manubensis",NA,NA,NA
12418,"VU",19891697,"Acacia octonervia",NA,NA,NA
12418,"VU",34384,"Acacia prasinata",NA,NA,NA
12418,"VU",34388,"Acacia pseudonigrescens",NA,NA,NA
12418,"VU",34511,"Acacia purpurea",NA,NA,NA
12418,"VU",34397,"Acacia venosa",NA,NA,NA
12418,"VU",33696,"Acacia villosa",NA,NA,NA
12418,"VU",45171,"Acalypha andina",NA,NA,NA
12418,"VU",15368484,"Acalypha guineensis",NA,NA,NA
12418,"VU",33617,"Acalypha hontauyuensis",NA,NA,NA
12418,"VU",35065,"Acalypha lepinei",NA,NA,NA
12418,"VU",34804,"Acalypha suirenbiensis",NA,NA,NA
12418,"VU",45176,"Acalypha tunguraguae",NA,NA,NA
12418,"VU",133411,"Acanthastrea bowerbanki",NA,NA,NA
12418,"VU",133557,"Acanthastrea brevis",NA,NA,NA
12418,"VU",133624,"Acanthastrea faviaformis",NA,NA,NA
12418,"VU",133642,"Acanthastrea hemprichii",NA,NA,NA
12418,"VU",133376,"Acanthastrea ishigakiensis",NA,NA,NA
12418,"VU",133326,"Acanthastrea regularis",NA,NA,NA
12418,"VU",183583,"Acanthemblemaria atrata",NA,NA,NA
12418,"VU",183873,"Acanthemblemaria castroi",NA,NA,NA
12418,"VU",183525,"Acanthemblemaria mangognatha",NA,NA,NA
12418,"VU",183968,"Acanthemblemaria stephensi",NA,NA,NA
12418,"VU",168135,"Acanthennea erinacea",NA,NA,NA
12418,"VU",61249,"Acanthobrama telavivensis",NA,NA,NA
12418,"VU",22486366,"Acanthochlamys bracteata",NA,NA,NA
12418,"VU",80,"Acanthocyclops hypogeus",NA,NA,NA
12418,"VU",199610,"Acanthodactylus felicis",NA,NA,NA
12418,"VU",61460,"Acanthodactylus pardalis",NA,NA,NA
12418,"VU",103105862,"Acanthodrilus kermadecensis",NA,NA,NA
12418,"VU",83,"Acanthomyops latipes",NA,NA,NA
12418,"VU",40729,"Acanthomyops murphii",NA,NA,NA
12418,"VU",170199,"Acanthopagrus sivicolus",NA,NA,NA
12418,"VU",170173,"Acanthopagrus vagus",NA,NA,NA
12418,"VU",45402,"Acanthopale decempedalis",NA,NA,NA
12418,"VU",102703587,"Acanthophis cryptamydros",NA,NA,NA
12418,"VU",39032,"Acanthosyris asipapote",NA,NA,NA
12418,"VU",177966,"Acanthurus chronixis",NA,NA,NA
12418,"VU",48153858,"Acanthus kulalensis",NA,NA,NA
12418,"VU",185473,"Acanthus latisepalus",NA,NA,NA
12418,"VU",169500,"Acantopsis octoactinotos",NA,NA,NA
12418,"VU",35203,"Acca lanuginosa",NA,NA,NA
12418,"VU",22695605,"Accipiter brachyurus",NA,NA,NA
12418,"VU",22695494,"Accipiter butleri",NA,NA,NA
12418,"VU",22695553,"Accipiter imitator",NA,NA,NA
12418,"VU",22695547,"Accipiter luteoschistaceus",NA,NA,NA
12418,"VU",22695561,"Accipiter princeps",NA,NA,NA
12418,"VU",36540,"Acer amplum subsp. catalpifolium","catalpifolium","subsp.",NA
12418,"VU",36476,"Acer duplicatoserratum",NA,NA,NA
12418,"VU",46387,"Acer miaotaiense",NA,NA,NA
12418,"VU",32480,"Acer negundo subsp. mexicanum","mexicanum","subsp.",NA
12418,"VU",32855,"Acer oblongum var. microcarpum","microcarpum","var.",NA
12418,"VU",137,"Acerodon celebensis",NA,NA,NA
12418,"VU",140,"Acerodon leucotis",NA,NA,NA
12418,"VU",142,"Acerodon mackloti",NA,NA,NA
12418,"VU",22682510,"Aceros nipalensis",NA,NA,NA
12418,"VU",192028,"Achalinus hainanus",NA,NA,NA
12418,"VU",152561,"Acharagma roseanum",NA,NA,NA
12418,"VU",213,"Acheilognathus longipinnis",NA,NA,NA
12418,"VU",199866,"Achnatherum roshevitzii",NA,NA,NA
12418,"VU",187520,"Achoerodus gouldii",NA,NA,NA
12418,"VU",61192,"Achondrostoma arcasii",NA,NA,NA
12418,"VU",44145,"Achyranthes splendens",NA,NA,NA
12418,"VU",44146,"Achyranthes splendens var. splendens","splendens","var.",NA
12418,"VU",43094,"Achyrocline hallii",NA,NA,NA
12418,"VU",44393155,"Acianthera malachantha",NA,NA,NA
12418,"VU",44392841,"Acianthera tokachii",NA,NA,NA
12418,"VU",156820,"Acicula benoiti",NA,NA,NA
12418,"VU",156661,"Acicula multilineata",NA,NA,NA
12418,"VU",215,"Acicula norrisi",NA,NA,NA
12418,"VU",216,"Acicula palaestinensis",NA,NA,NA
12418,"VU",33743,"Acidocroton verrucosus",NA,NA,NA
12418,"VU",218,"Acilius duvergeri",NA,NA,NA
