"name","result.year","state","TSFO","change.status"
"Abavorana luctuosa",2004,1,0,NA
"Abavorana luctuosa",2014,1,10,NA
"Abditomys latidens",2008,0,0,"N"
"Abditomys latidens",2016,0,8,NA
"Abeillia abeillei",2004,1,0,NA
"Abeillia abeillei",2008,1,4,NA
"Abeillia abeillei",2009,1,5,NA
"Abeillia abeillei",2012,1,8,NA
"Abeillia abeillei",2016,1,12,NA
"Abeomelomys sevia",2008,1,0,NA
"Abeomelomys sevia",2016,1,8,NA
"Abies alba",2014,1,0,NA
"Abies alba",2017,1,3,NA
"Abies hidalgensis",2007,0,0,NA
"Abies hidalgensis",2013,3,6,"N"
"Ablepharus budaki",2006,1,0,NA
"Ablepharus budaki",2009,1,3,NA
"Ablepharus deserti",2010,1,0,NA
"Ablepharus deserti",2017,1,7,NA
"Ablepharus kitaibelii",2006,1,0,NA
"Ablepharus kitaibelii",2009,1,3,NA
"Ablepharus kitaibelii",2017,1,11,NA
"Abrocoma bennettii",2008,1,0,NA
"Abrocoma bennettii",2016,1,8,NA
"Abrocoma boliviensis",2008,5,0,"N"
"Abrocoma boliviensis",2016,5,8,NA
"Abrocoma budini",2008,0,0,NA
"Abrocoma budini",2016,0,8,NA
"Abrocoma cinerea",2008,1,0,NA
"Abrocoma cinerea",2016,1,8,NA
"Abrocoma famatina",2008,0,0,NA
"Abrocoma famatina",2016,0,8,NA
"Abrocoma shistacea",2008,0,0,NA
"Abrocoma shistacea",2016,1,8,"N"
"Abrocoma uspallata",2008,0,0,NA
"Abrocoma uspallata",2016,0,8,NA
"Abrocoma vaccarum",2008,0,0,NA
"Abrocoma vaccarum",2016,0,8,NA
"Abronia matudai",2007,4,0,NA
"Abronia matudai",2013,4,6,NA
"Abronia ochoterenai",2007,0,0,NA
"Abronia ochoterenai",2013,0,6,NA
"Abroscopus albogularis",2004,1,0,NA
"Abroscopus albogularis",2008,1,4,NA
"Abroscopus albogularis",2009,1,5,NA
"Abroscopus albogularis",2012,1,8,NA
"Abroscopus albogularis",2016,1,12,NA
"Abroscopus schisticeps",2004,1,0,NA
"Abroscopus schisticeps",2008,1,4,NA
"Abroscopus schisticeps",2009,1,5,NA
"Abroscopus schisticeps",2012,1,8,NA
"Abroscopus schisticeps",2016,1,12,NA
"Abroscopus superciliaris",2004,1,0,NA
"Abroscopus superciliaris",2008,1,4,NA
"Abroscopus superciliaris",2009,1,5,NA
"Abroscopus superciliaris",2012,1,8,NA
"Abroscopus superciliaris",2016,1,12,NA
"Abrothrix andinus",2008,1,0,NA
"Abrothrix andinus",2016,1,8,NA
"Abrothrix illutea",2008,2,0,"N"
"Abrothrix illutea",2016,1,8,"N"
"Abrothrix jelskii",2008,1,0,NA
"Abrothrix jelskii",2016,1,8,NA
"Abrothrix lanosus",2008,1,0,NA
"Abrothrix lanosus",2016,1,8,NA
"Abrothrix longipilis",2008,1,0,NA
"Abrothrix longipilis",2016,1,8,NA
"Abrothrix olivaceus",2008,1,0,NA
"Abrothrix olivaceus",2017,1,9,NA
"Aburria aburri",2004,2,0,NA
"Aburria aburri",2008,2,4,NA
"Aburria aburri",2012,2,8,NA
"Aburria aburri",2016,2,12,NA
"Acacia torrei",2012,0,0,NA
"Acacia torrei",2014,1,2,"N"
"Acaena exigua",2003,7,0,NA
"Acaena exigua",2016,7,13,NA
"Acanthagenys rufogularis",2004,1,0,NA
"Acanthagenys rufogularis",2008,1,4,NA
"Acanthagenys rufogularis",2009,1,5,NA
